
8 Mot inconnu : acer_aspire_es1_512_c4fr => ====== acer_aspire_es1_512_c4fr  ====== | acer_aspire_es1_512_c4fr
8 Espace(s) surnuméraire(s) à supprimer. => ====== acer_aspire_es1_512_c4fr  ====== |    => suggestions : [' ']

22 Mot inconnu : Touchpad => ^ Version ^ Installation ^ Carte graphique ^ Son ^ Casque audio ^ Wifi ^ Bluetooth ^ Webcam ^ Touchpad ^ Raccourcis multimédia ^ Autres ^ | touchpad

41 Mot inconnu : Exctinction => ==== Exctinction et mise en veille ==== | exctinction

43 Espace(s) en fin de ligne à supprimer. => Lors de l'extinction, l'ordinateur reste bloqué sur le splash Ubuntu, lors de la sortie de veille, l'ordinateur  |   => suggestions : ['']

45 Mot inconnu : Touchpad => ==== Touchpad  ==== | touchpad
45 Espace(s) surnuméraire(s) à supprimer. => ==== Touchpad  ==== |    => suggestions : [' ']

49 Espace(s) surnuméraire(s) à supprimer. => ==== Pavé tactile vu comme une souris  ==== |    => suggestions : [' ']

53 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']
