
4 Mot inconnu : Airis => ======  Tablette Airis Kira Slimpad ====== | airis
4 Mot inconnu : Slimpad => ======  Tablette Airis Kira Slimpad ====== | slimpad

12 Mot inconnu : Airis => Cette page traite de l'installation et de la configuration d'Ubuntu sur une tablette Airis Kira Slimpad. | airis
12 Mot inconnu : Slimpad => Cette page traite de l'installation et de la configuration d'Ubuntu sur une tablette Airis Kira Slimpad. | slimpad

25 Si « mais » est la conjonction de coordination, une virgule est souhaitable si elle introduit une nouvelle proposition. => Sous Debian (mai 2012), l'hibernation fonctionne mais l'écran tactile est inutilisable au réveil. Il y a peut-être une solution plus ou moins facile mais je n'ai pas chercher plus loin : de toute façon, l'hibernation ne m'apporte pas grand chose sur tablette. La veille fonctionne en revanche bien. Le fonctionnement de l'hibernation est à vérifier sous Ubuntu. |  mais => suggestions : [', mais']
25 Incohérence probable avec “ai” : “chercher” n’est pas un participe passé. => Sous Debian (mai 2012), l'hibernation fonctionne mais l'écran tactile est inutilisable au réveil. Il y a peut-être une solution plus ou moins facile mais je n'ai pas chercher plus loin : de toute façon, l'hibernation ne m'apporte pas grand chose sur tablette. La veille fonctionne en revanche bien. Le fonctionnement de l'hibernation est à vérifier sous Ubuntu. | chercher => suggestions : ['cherché']
25 Il manque un trait d’union. => Sous Debian (mai 2012), l'hibernation fonctionne mais l'écran tactile est inutilisable au réveil. Il y a peut-être une solution plus ou moins facile mais je n'ai pas chercher plus loin : de toute façon, l'hibernation ne m'apporte pas grand chose sur tablette. La veille fonctionne en revanche bien. Le fonctionnement de l'hibernation est à vérifier sous Ubuntu. | grand chose => suggestions : ['grand-chose']

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Cette tablette fonctionne bien sous Debian testing/sid (mai 2012) |    => suggestions : ['']
29 Mot inconnu : testing =>   * Cette tablette fonctionne bien sous Debian testing/sid (mai 2012) | testing
29 Mot inconnu : sid =>   * Cette tablette fonctionne bien sous Debian testing/sid (mai 2012) | sid

37 Si “Go” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => <note help>La tablette tournant sur une clef de 32 Go, il est possible que l'installation la gèle. Patientez car en général, elle se débloque toute seule.</note> | 32 go => suggestions : ['32\xa0Go']

41 Espace(s) surnuméraire(s) à supprimer. => ==== À la première entrée en session  ==== |    => suggestions : [' ']

43 Guillemets typographiques ouvrants. => Pensez à cliquer sur la petite icône "Accessibilité" pour demander le clavier virtuel sur la fenêtre de démarrage. | " => suggestions : ['«\xa0', '“']
43 Guillemets typographiques fermants. => Pensez à cliquer sur la petite icône "Accessibilité" pour demander le clavier virtuel sur la fenêtre de démarrage. | " => suggestions : ['\xa0»', '”']

45 Mot inconnu : Unity => ==== Ne pas utiliser Unity ==== | unity

50 Mot inconnu : KDE4 => KDE4 est probablement le meilleur environnement de bureau pour une tablette. Le clic droit n'est tout simplement quasiment jamais requis (je n'ai pas d'exemple d'obligation de clic droit). La luminosité est réglable de base très simplement via l'icône de gestion de l'alimentation (la batterie). Je suggère de régler l'icône de gestion d'énergie afin qu'elle s'affiche en permanence, même quand la tablette est sur secteur et la batterie complètement chargée, afin de garder le réglage de la luminosité à porté de main. Le seul gros problème est l'utilisation de lanceurs sur le bureau. Cliquer est difficile car on bouge et ça déplace l'icône au lieu de la lancer la plupart du temps. On peut s'en passer. | kde4
50 Confusion probable : “à” est une préposition. Pour le verbe “avoir”, écrivez “a”. => KDE4 est probablement le meilleur environnement de bureau pour une tablette. Le clic droit n'est tout simplement quasiment jamais requis (je n'ai pas d'exemple d'obligation de clic droit). La luminosité est réglable de base très simplement via l'icône de gestion de l'alimentation (la batterie). Je suggère de régler l'icône de gestion d'énergie afin qu'elle s'affiche en permanence, même quand la tablette est sur secteur et la batterie complètement chargée, afin de garder le réglage de la luminosité à porté de main. Le seul gros problème est l'utilisation de lanceurs sur le bureau. Cliquer est difficile car on bouge et ça déplace l'icône au lieu de la lancer la plupart du temps. On peut s'en passer. | à => suggestions : ['a']
50 Le verbe devrait être à l’infinitif. => KDE4 est probablement le meilleur environnement de bureau pour une tablette. Le clic droit n'est tout simplement quasiment jamais requis (je n'ai pas d'exemple d'obligation de clic droit). La luminosité est réglable de base très simplement via l'icône de gestion de l'alimentation (la batterie). Je suggère de régler l'icône de gestion d'énergie afin qu'elle s'affiche en permanence, même quand la tablette est sur secteur et la batterie complètement chargée, afin de garder le réglage de la luminosité à porté de main. Le seul gros problème est l'utilisation de lanceurs sur le bureau. Cliquer est difficile car on bouge et ça déplace l'icône au lieu de la lancer la plupart du temps. On peut s'en passer. | porté => suggestions : ['porter']
