
4 Mot inconnu : Akonadi => ====== Akonadi ====== | akonadi

16 Mot inconnu : akonadi => Les fichiers de configurations des ressources se trouvent dans **~/.config/akonadi/** | akonadi

22 Espace(s) surnuméraire(s) à supprimer. => La base de données se trouve  dans **~/.local/share/akonadi/** |    => suggestions : [' ']
22 Mot inconnu : share => La base de données se trouve  dans **~/.local/share/akonadi/** | share
22 Mot inconnu : akonadi => La base de données se trouve  dans **~/.local/share/akonadi/** | akonadi

24 Mot inconnu : db_ => ce sont les dossiers qui commencent par **db_** | db_

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * arrêter le service Akonadi; |    => suggestions : ['']
30 Mot inconnu : Akonadi =>   * arrêter le service Akonadi; | akonadi

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * se rendre dans **~/.config/akonadi/**; |    => suggestions : ['']
31 Mot inconnu : akonadi =>   * se rendre dans **~/.config/akonadi/**; | akonadi

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * supprimer tous les fichiers contenant ressource_X (où X est le numéro de la ressource) ou les déplacer dans un sous dossiers (Akonadi ne lit pas les sous dossier); |    => suggestions : ['']
32 Mot inconnu : ressource_X =>   * supprimer tous les fichiers contenant ressource_X (où X est le numéro de la ressource) ou les déplacer dans un sous dossiers (Akonadi ne lit pas les sous dossier); | ressource_x
32 Mot inconnu : Akonadi =>   * supprimer tous les fichiers contenant ressource_X (où X est le numéro de la ressource) ou les déplacer dans un sous dossiers (Akonadi ne lit pas les sous dossier); | akonadi

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * démarrer le service Akonadi. |    => suggestions : ['']
33 Mot inconnu : Akonadi =>   * démarrer le service Akonadi. | akonadi

36 Mot inconnu : Akonadi => S'il y a des erreurs dans la base de données, Akonadi peut refuser de démarrer ainsi que les clients de messagerie. | akonadi
41 Espace(s) en fin de ligne à supprimer. => Si cela n'est pas suffisant :  |   => suggestions : ['']

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * arrêter le service Akonadi; |    => suggestions : ['']
42 Mot inconnu : Akonadi =>   * arrêter le service Akonadi; | akonadi

43 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * se rendre dans **~/.local/share/akonadi/**; |    => suggestions : ['']
43 Mot inconnu : share =>   * se rendre dans **~/.local/share/akonadi/**; | share
43 Mot inconnu : akonadi =>   * se rendre dans **~/.local/share/akonadi/**; | akonadi

44 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * supprimer les dossiers: db_data, db_misc et file_db_data; |    => suggestions : ['']
44 Mot inconnu : db_data =>   * supprimer les dossiers: db_data, db_misc et file_db_data; | db_data
44 Mot inconnu : db_misc =>   * supprimer les dossiers: db_data, db_misc et file_db_data; | db_misc
44 Mot inconnu : file_db_data =>   * supprimer les dossiers: db_data, db_misc et file_db_data; | file_db_data

45 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * démarrer le service Akonadi. Le démarrage sera assez long, Akonadi va recréer la base de données en fonction des informations stockées sur le disque dur et celle venant des serveurs. |    => suggestions : ['']
45 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. =>   * démarrer le service Akonadi. Le démarrage sera assez long, Akonadi va recréer la base de données en fonction des informations stockées sur le disque dur et celle venant des serveurs. | démarrer => suggestions : ['Démarrer']
45 Mot inconnu : Akonadi =>   * démarrer le service Akonadi. Le démarrage sera assez long, Akonadi va recréer la base de données en fonction des informations stockées sur le disque dur et celle venant des serveurs. | akonadi
45 Mot inconnu : Akonadi =>   * démarrer le service Akonadi. Le démarrage sera assez long, Akonadi va recréer la base de données en fonction des informations stockées sur le disque dur et celle venant des serveurs. | akonadi
52 Espace(s) en fin de ligne à supprimer. => Pour l’arrêter :  |   => suggestions : ['']

55 Accord erroné : “commandes” et “exécuté” ne sont pas accordés. Mettez au féminin pluriel. => <note tip>Les commandes doivent être exécuté par l’utilisateur et non pas par sudo. Si c'est le cas akonadi refusera de démarrer en signalant qu'il n'est pas autorisé à démarrer en mode root | exécuté => suggestions : ['exécutées']
55 Mot inconnu : sudo => <note tip>Les commandes doivent être exécuté par l’utilisateur et non pas par sudo. Si c'est le cas akonadi refusera de démarrer en signalant qu'il n'est pas autorisé à démarrer en mode root | sudo
55 Mot inconnu : akonadi => <note tip>Les commandes doivent être exécuté par l’utilisateur et non pas par sudo. Si c'est le cas akonadi refusera de démarrer en signalant qu'il n'est pas autorisé à démarrer en mode root | akonadi
55 Mot inconnu : root => <note tip>Les commandes doivent être exécuté par l’utilisateur et non pas par sudo. Si c'est le cas akonadi refusera de démarrer en signalant qu'il n'est pas autorisé à démarrer en mode root | root

64 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[https://techbase.kde.org/Projects/PIM/Akonadi|Akonadi]] |    => suggestions : ['']
