
5 Mot inconnu : Anjuta => ====== IDE Anjuta et OpenCV ====== <|> anjuta
5 Mot inconnu : OpenCV => ====== IDE Anjuta et OpenCV ====== <|> opencv

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   <|>   => suggestions : ['']




32 Mot inconnu : Flags => Ajouter à Flags Compilateur : (CFLAGS):  <|> flags
32 Mot inconnu : CFLAGS => Ajouter à Flags Compilateur : (CFLAGS):  <|> cflags
34 Mot inconnu : LDFLAGS => Ajouter à l'éditeur de liens : (LDFLAGS):  <|> ldflags

39 Mot inconnu : Autogénérer => Pour mettre à jour la configuration, faire Construire->Autogénérer .\\ <|> autogénérer

40 Mot inconnu : opencv => Cela doit se terminer par un succès si toutes les bibliothèques d'opencv sont installées. <|> opencv

42 Conjugaison erronée. Accord avec “un…”. Le verbe devrait être à la 3ᵉ personne du singulier. => Puis un Construire->make doit marcher. <|> construire => suggestions : ['Construisait', 'Construit', 'Construisit']
42 Mot inconnu : make => Puis un Construire->make doit marcher. <|> make
