
7 Mot inconnu : Aptana => ====== Aptana Studio ====== | aptana

11 Mot inconnu : Aptana => Aptana Studio est un IDE complet qui permet de gérer ses projets, le transfert des fichiers par FTP, qui intègre la coloration syntaxique et l'//auto-completion// du code source, etc. | aptana
11 Mot inconnu : auto-completion => Aptana Studio est un IDE complet qui permet de gérer ses projets, le transfert des fichiers par FTP, qui intègre la coloration syntaxique et l'//auto-completion// du code source, etc. | auto-completion

21 Mot inconnu : Aptana => Pour l'instant, Aptana Studio n'est pas disponible dans les dépôts. | aptana

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Rendez vous sur la [[http://www.aptana.com/products/studio3/download|page de téléchargement d'Aptana Studio]]. |    => suggestions : ['']
25 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Rendez vous sur la [[http://www.aptana.com/products/studio3/download|page de téléchargement d'Aptana Studio]]. |  -  => suggestions : [' – ', ' — ', ' − ']
25 Forme interrogative ? Mettez un trait d’union. =>   - Rendez vous sur la [[http://www.aptana.com/products/studio3/download|page de téléchargement d'Aptana Studio]]. | rendez vous => suggestions : ['Rendez-vous']
25 Mot inconnu : Aptana =>   - Rendez vous sur la [[http://www.aptana.com/products/studio3/download|page de téléchargement d'Aptana Studio]]. | aptana

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Dans la partie « Step 1 », la version //Standalone// et le système //Linux// devraient déjà être sélectionnés, cliquez sur le bouton « Download now » |    => suggestions : ['']
26 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Dans la partie « Step 1 », la version //Standalone// et le système //Linux// devraient déjà être sélectionnés, cliquez sur le bouton « Download now » |  -  => suggestions : [' – ', ' — ', ' − ']
26 Mot inconnu : Standalone =>   - Dans la partie « Step 1 », la version //Standalone// et le système //Linux// devraient déjà être sélectionnés, cliquez sur le bouton « Download now » | standalone
26 Mot inconnu : Download =>   - Dans la partie « Step 1 », la version //Standalone// et le système //Linux// devraient déjà être sélectionnés, cliquez sur le bouton « Download now » | download
26 Mot inconnu : now =>   - Dans la partie « Step 1 », la version //Standalone// et le système //Linux// devraient déjà être sélectionnés, cliquez sur le bouton « Download now » | now

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Extrayez alors le fichier **Aptana_Studio_3_Setup_Linux.zip** téléchargé. Vous obtenez un dossier **aptana** |    => suggestions : ['']
27 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Extrayez alors le fichier **Aptana_Studio_3_Setup_Linux.zip** téléchargé. Vous obtenez un dossier **aptana** |  -  => suggestions : [' – ', ' — ', ' − ']
27 Mot inconnu : Aptana_Studio_3_Setup_Linux =>   - Extrayez alors le fichier **Aptana_Studio_3_Setup_Linux.zip** téléchargé. Vous obtenez un dossier **aptana** | aptana_studio_3_setup_linux
27 Il manque un espace. =>   - Extrayez alors le fichier **Aptana_Studio_3_Setup_Linux.zip** téléchargé. Vous obtenez un dossier **aptana** | zip => suggestions : [' zip']
27 Mot inconnu : aptana =>   - Extrayez alors le fichier **Aptana_Studio_3_Setup_Linux.zip** téléchargé. Vous obtenez un dossier **aptana** | aptana

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Ouvrez ce dossier et double-cliquez sur le fichier **AptanaStudio** pour lancer le programme. |    => suggestions : ['']
28 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Ouvrez ce dossier et double-cliquez sur le fichier **AptanaStudio** pour lancer le programme. |  -  => suggestions : [' – ', ' — ', ' − ']
28 Mot inconnu : AptanaStudio =>   - Ouvrez ce dossier et double-cliquez sur le fichier **AptanaStudio** pour lancer le programme. | aptanastudio
30 Mot inconnu : Workspace => Au lancement du programme, une fenêtre « Workspace Launcher » vous demande de renseigner un répertoire de travail. Vous pouvez choisir (en cochant la case) de toujours utiliser le même, ou alors le renseigner à chaque lancement. | workspace
30 Mot inconnu : Launcher => Au lancement du programme, une fenêtre « Workspace Launcher » vous demande de renseigner un répertoire de travail. Vous pouvez choisir (en cochant la case) de toujours utiliser le même, ou alors le renseigner à chaque lancement. | launcher

36 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => L'installation consiste grossièrement à télécharger une archive .zip et décompresser son contenu. Vous obtenez donc un dossier où tout est pré-installé. |  . => suggestions : ['. ', '.']

38 Typographie : points de suspension. Utilisez le caractère dédié. => Si vous voulez respecter la philosophie GNU/Linux sur l'installation des logiciels (au niveau arborescence), vous ne voudrez sûrement pas (mais vous pouvez ...) laisser un simple dossier « aptana » dans votre Dossier Personnel. | ... => suggestions : ['…']
38 Mot inconnu : aptana => Si vous voulez respecter la philosophie GNU/Linux sur l'installation des logiciels (au niveau arborescence), vous ne voudrez sûrement pas (mais vous pouvez ...) laisser un simple dossier « aptana » dans votre Dossier Personnel. | aptana

51 Mot inconnu : KDE => Sous KDE Aptana apparaît dans le menu des applications, il est probable qu'il en soit de même avec les autres environnements de bureau, avant de suivre ce qui suis faites le test. | kde
51 Mot inconnu : Aptana => Sous KDE Aptana apparaît dans le menu des applications, il est probable qu'il en soit de même avec les autres environnements de bureau, avant de suivre ce qui suis faites le test. | aptana
51 Conjugaison erronée. Accord avec “ce qui”. Le verbe devrait être à la 3ᵉ personne du singulier. => Sous KDE Aptana apparaît dans le menu des applications, il est probable qu'il en soit de même avec les autres environnements de bureau, avant de suivre ce qui suis faites le test. | suis => suggestions : ['est', 'suit']
51 Accord avec le sujet “ce qui” : “faites” devrait être au masculin singulier. => Sous KDE Aptana apparaît dans le menu des applications, il est probable qu'il en soit de même avec les autres environnements de bureau, avant de suivre ce qui suis faites le test. | faites => suggestions : ['fait']

57 Mot inconnu : Desktop => [Desktop Entry] | desktop
57 Mot inconnu : Entry => [Desktop Entry] | entry

58 Mot inconnu : Name => Name=Aptana Studio | name
58 Mot inconnu : Aptana => Name=Aptana Studio | aptana

59 Mot inconnu : projects => Comment=An IDE for web applications projects | projects

61 Mot inconnu : Icon => Icon=/opt/Aptana_Studio_3/icon.xpm | icon

62 Mot inconnu : Exec => Exec='/opt/Aptana_Studio_3/AptanaStudio3' | exec

64 Mot inconnu : Categories => Categories=Application;GTK;Development;IDE; | categories
64 Il manque un espace. => Categories=Application;GTK;Development;IDE; | development => suggestions : [' Development']
64 Mot inconnu : Development => Categories=Application;GTK;Development;IDE; | development
64 Il manque un espace. => Categories=Application;GTK;Development;IDE; | ide => suggestions : [' IDE']

65 Mot inconnu : Encoding => Encoding=UTF-8 | encoding

66 Mot inconnu : StartupNotify => StartupNotify=false | startupnotify
66 Mot inconnu : false => StartupNotify=false | false

72 Mot inconnu : Aptana => Vous voudrez sûrement installer des plugins en plus dans Aptana. Voici ceux qui sont disponibles pour l'instant. | aptana

79 Mot inconnu : RadRails => ==== RadRails ==== | radrails

87 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Dans la section « Languages » de la « Aptana Start Page » |    => suggestions : ['']
87 Mot inconnu : Languages =>   * Dans la section « Languages » de la « Aptana Start Page » | languages
87 Mot inconnu : Aptana =>   * Dans la section « Languages » de la « Aptana Start Page » | aptana
87 Mot inconnu : Start =>   * Dans la section « Languages » de la « Aptana Start Page » | start

88 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Dans le « plugin manager » : **Aptana Radrails** |    => suggestions : ['']
88 Mot inconnu : Aptana =>   * Dans le « plugin manager » : **Aptana Radrails** | aptana
88 Mot inconnu : Radrails =>   * Dans le « plugin manager » : **Aptana Radrails** | radrails
90 Mot inconnu : providing => <note warning>À l'installation du plugin déployez l'arborescence de «  Site providing Aptana RadRails » et décochez « Aptana RadRails Integration » sans quoi vous ne pouvez pas poursuivre l'installation.</note> | providing
90 Mot inconnu : Aptana => <note warning>À l'installation du plugin déployez l'arborescence de «  Site providing Aptana RadRails » et décochez « Aptana RadRails Integration » sans quoi vous ne pouvez pas poursuivre l'installation.</note> | aptana
90 Mot inconnu : RadRails => <note warning>À l'installation du plugin déployez l'arborescence de «  Site providing Aptana RadRails » et décochez « Aptana RadRails Integration » sans quoi vous ne pouvez pas poursuivre l'installation.</note> | radrails
90 Mot inconnu : Aptana => <note warning>À l'installation du plugin déployez l'arborescence de «  Site providing Aptana RadRails » et décochez « Aptana RadRails Integration » sans quoi vous ne pouvez pas poursuivre l'installation.</note> | aptana
90 Mot inconnu : RadRails => <note warning>À l'installation du plugin déployez l'arborescence de «  Site providing Aptana RadRails » et décochez « Aptana RadRails Integration » sans quoi vous ne pouvez pas poursuivre l'installation.</note> | radrails
90 Mot inconnu : Integration => <note warning>À l'installation du plugin déployez l'arborescence de «  Site providing Aptana RadRails » et décochez « Aptana RadRails Integration » sans quoi vous ne pouvez pas poursuivre l'installation.</note> | integration

92 Mot inconnu : Aptana => Ensuite, quittez et redémarrez Aptana Studio. | aptana
96 Mot inconnu : Unable => Vous aurez sûrement une fenêtre d'erreur « Unable to detect Ruby install ». Il faut donc indiquer à Aptana Studio où trouver ruby sur notre système. | unable
96 Mot inconnu : to => Vous aurez sûrement une fenêtre d'erreur « Unable to detect Ruby install ». Il faut donc indiquer à Aptana Studio où trouver ruby sur notre système. | to
96 Mot inconnu : detect => Vous aurez sûrement une fenêtre d'erreur « Unable to detect Ruby install ». Il faut donc indiquer à Aptana Studio où trouver ruby sur notre système. | detect
96 Mot inconnu : install => Vous aurez sûrement une fenêtre d'erreur « Unable to detect Ruby install ». Il faut donc indiquer à Aptana Studio où trouver ruby sur notre système. | install
96 Mot inconnu : Aptana => Vous aurez sûrement une fenêtre d'erreur « Unable to detect Ruby install ». Il faut donc indiquer à Aptana Studio où trouver ruby sur notre système. | aptana
96 Mot inconnu : ruby => Vous aurez sûrement une fenêtre d'erreur « Unable to detect Ruby install ». Il faut donc indiquer à Aptana Studio où trouver ruby sur notre système. | ruby
98 Mot inconnu : Setup => Cliquez alors sur le bouton « Setup prefernces ». | setup
98 Mot inconnu : prefernces => Cliquez alors sur le bouton « Setup prefernces ». | prefernces

99 Mot inconnu : Window => Sinon allez dans **Window => Preferences**. | window
99 Mot inconnu : Preferences => Sinon allez dans **Window => Preferences**. | preferences

103 Forme interrogative ? Mettez un trait d’union. => Rendez vous à la section **Ruby => Installed Interpreters**. | rendez vous => suggestions : ['Rendez-vous']
103 Mot inconnu : Installed => Rendez vous à la section **Ruby => Installed Interpreters**. | installed
103 Mot inconnu : Interpreters => Rendez vous à la section **Ruby => Installed Interpreters**. | interpreters
105 Mot inconnu : Add => Cliquez sur « Add » pour ajouter la version de ruby installée sur votre système. | add
105 Mot inconnu : ruby => Cliquez sur « Add » pour ajouter la version de ruby installée sur votre système. | ruby

108 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * RubyVM type : **Standard VM** |    => suggestions : ['']
108 Mot inconnu : RubyVM =>   * RubyVM type : **Standard VM** | rubyvm
108 Mot inconnu : VM =>   * RubyVM type : **Standard VM** | vm

109 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * RubyVM home directory : **/usr** |    => suggestions : ['']
109 Mot inconnu : RubyVM =>   * RubyVM home directory : **/usr** | rubyvm
109 Mot inconnu : directory =>   * RubyVM home directory : **/usr** | directory

110 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * RubyVM display name : **ruby** |    => suggestions : ['']
110 Mot inconnu : RubyVM =>   * RubyVM display name : **ruby** | rubyvm
110 Mot inconnu : display =>   * RubyVM display name : **ruby** | display
110 Mot inconnu : name =>   * RubyVM display name : **ruby** | name
110 Mot inconnu : ruby =>   * RubyVM display name : **ruby** | ruby

111 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * RubyVM Arguments : -vide- |    => suggestions : ['']
111 Mot inconnu : RubyVM =>   * RubyVM Arguments : -vide- | rubyvm

115 Mot inconnu : VM => Après être revenu sur le choix de la VM (virtual machine), cochez la case devant la machine virtuelle **ruby** que vous venez d'ajouter. | vm
115 Mot inconnu : virtual => Après être revenu sur le choix de la VM (virtual machine), cochez la case devant la machine virtuelle **ruby** que vous venez d'ajouter. | virtual
115 Mot inconnu : ruby => Après être revenu sur le choix de la VM (virtual machine), cochez la case devant la machine virtuelle **ruby** que vous venez d'ajouter. | ruby

119 Forme interrogative ? Mettez un trait d’union. => Rendez vous ensuite à la section **Rails => configuration** et entrez : | rendez vous => suggestions : ['Rendez-vous']

120 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Rails path : **/usr/bin/rails** |    => suggestions : ['']
120 Mot inconnu : path =>   * Rails path : **/usr/bin/rails** | path

121 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Rake path : **/usr/bin/rake** |    => suggestions : ['']
121 Mot inconnu : Rake =>   * Rake path : **/usr/bin/rake** | rake
121 Mot inconnu : path =>   * Rake path : **/usr/bin/rake** | path

122 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Mongrel_rails path (si vous voulez utiliser Mongrel au lieu de WebRICK) : FIXME |    => suggestions : ['']
122 Mot inconnu : Mongrel_rails =>   * Mongrel_rails path (si vous voulez utiliser Mongrel au lieu de WebRICK) : FIXME | mongrel_rails
122 Mot inconnu : path =>   * Mongrel_rails path (si vous voulez utiliser Mongrel au lieu de WebRICK) : FIXME | path
122 Mot inconnu : Mongrel =>   * Mongrel_rails path (si vous voulez utiliser Mongrel au lieu de WebRICK) : FIXME | mongrel
122 Mot inconnu : WebRICK =>   * Mongrel_rails path (si vous voulez utiliser Mongrel au lieu de WebRICK) : FIXME | webrick
122 Mot inconnu : FIXME =>   * Mongrel_rails path (si vous voulez utiliser Mongrel au lieu de WebRICK) : FIXME | fixme

125 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Avant toute chose, rendez-vous dans Window/Preferences. Sélectionnez ensuite Install/Update, puis available software. Utilisez le bouton "Add" pour ajouter le site suivant "http://download.eclipse.org/releases/galileo" .Validez, et poursuivez la procédure d'installation. |    => suggestions : ['']
125 Mot inconnu : Window =>   * Avant toute chose, rendez-vous dans Window/Preferences. Sélectionnez ensuite Install/Update, puis available software. Utilisez le bouton "Add" pour ajouter le site suivant "http://download.eclipse.org/releases/galileo" .Validez, et poursuivez la procédure d'installation. | window
125 Mot inconnu : Preferences =>   * Avant toute chose, rendez-vous dans Window/Preferences. Sélectionnez ensuite Install/Update, puis available software. Utilisez le bouton "Add" pour ajouter le site suivant "http://download.eclipse.org/releases/galileo" .Validez, et poursuivez la procédure d'installation. | preferences
125 Mot inconnu : Install =>   * Avant toute chose, rendez-vous dans Window/Preferences. Sélectionnez ensuite Install/Update, puis available software. Utilisez le bouton "Add" pour ajouter le site suivant "http://download.eclipse.org/releases/galileo" .Validez, et poursuivez la procédure d'installation. | install
125 Mot inconnu : Update =>   * Avant toute chose, rendez-vous dans Window/Preferences. Sélectionnez ensuite Install/Update, puis available software. Utilisez le bouton "Add" pour ajouter le site suivant "http://download.eclipse.org/releases/galileo" .Validez, et poursuivez la procédure d'installation. | update
125 Mot inconnu : available =>   * Avant toute chose, rendez-vous dans Window/Preferences. Sélectionnez ensuite Install/Update, puis available software. Utilisez le bouton "Add" pour ajouter le site suivant "http://download.eclipse.org/releases/galileo" .Validez, et poursuivez la procédure d'installation. | available
125 Guillemets typographiques ouvrants. =>   * Avant toute chose, rendez-vous dans Window/Preferences. Sélectionnez ensuite Install/Update, puis available software. Utilisez le bouton "Add" pour ajouter le site suivant "http://download.eclipse.org/releases/galileo" .Validez, et poursuivez la procédure d'installation. | " => suggestions : ['«\xa0', '“']
125 Mot inconnu : Add =>   * Avant toute chose, rendez-vous dans Window/Preferences. Sélectionnez ensuite Install/Update, puis available software. Utilisez le bouton "Add" pour ajouter le site suivant "http://download.eclipse.org/releases/galileo" .Validez, et poursuivez la procédure d'installation. | add
125 Guillemets typographiques fermants. =>   * Avant toute chose, rendez-vous dans Window/Preferences. Sélectionnez ensuite Install/Update, puis available software. Utilisez le bouton "Add" pour ajouter le site suivant "http://download.eclipse.org/releases/galileo" .Validez, et poursuivez la procédure d'installation. | " => suggestions : ['\xa0»', '”']
125 Guillemets typographiques ouvrants. =>   * Avant toute chose, rendez-vous dans Window/Preferences. Sélectionnez ensuite Install/Update, puis available software. Utilisez le bouton "Add" pour ajouter le site suivant "http://download.eclipse.org/releases/galileo" .Validez, et poursuivez la procédure d'installation. | " => suggestions : ['«\xa0', '“']
125 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). =>   * Avant toute chose, rendez-vous dans Window/Preferences. Sélectionnez ensuite Install/Update, puis available software. Utilisez le bouton "Add" pour ajouter le site suivant "http://download.eclipse.org/releases/galileo" .Validez, et poursuivez la procédure d'installation. |  . => suggestions : ['. ', '.']

126 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Dans la section « Languages » de la « Aptana Start Page » |    => suggestions : ['']
126 Mot inconnu : Languages =>   * Dans la section « Languages » de la « Aptana Start Page » | languages
126 Mot inconnu : Aptana =>   * Dans la section « Languages » de la « Aptana Start Page » | aptana
126 Mot inconnu : Start =>   * Dans la section « Languages » de la « Aptana Start Page » | start

127 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Dans le « plugin manager » : **Aptana Support for PHP** |    => suggestions : ['']
127 Mot inconnu : Aptana =>   * Dans le « plugin manager » : **Aptana Support for PHP** | aptana

129 Mot inconnu : Aptana => Suivez les instructions de la fenêtre d'installation puis redémarrez Aptana Studio, comme ça l'est demandé. | aptana

133 Mot inconnu : Project => Vous pouvez créer un nouveau projet PHP depuis le menu **File => New => Project**, puis en choisissant **Aptana Projects => PHP Project**.\\ Ceci va créer un projet avec seulement un fichier contenant : | project
133 Mot inconnu : Aptana => Vous pouvez créer un nouveau projet PHP depuis le menu **File => New => Project**, puis en choisissant **Aptana Projects => PHP Project**.\\ Ceci va créer un projet avec seulement un fichier contenant : | aptana
133 Mot inconnu : Projects => Vous pouvez créer un nouveau projet PHP depuis le menu **File => New => Project**, puis en choisissant **Aptana Projects => PHP Project**.\\ Ceci va créer un projet avec seulement un fichier contenant : | projects
133 Mot inconnu : Project => Vous pouvez créer un nouveau projet PHP depuis le menu **File => New => Project**, puis en choisissant **Aptana Projects => PHP Project**.\\ Ceci va créer un projet avec seulement un fichier contenant : | project

140 Mot inconnu : iPhone => ==== iPhone ==== | iphone

142 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Dans la section « Plugins » de la « Aptana Start Page » |    => suggestions : ['']
142 Mot inconnu : Aptana =>   * Dans la section « Plugins » de la « Aptana Start Page » | aptana
142 Mot inconnu : Start =>   * Dans la section « Plugins » de la « Aptana Start Page » | start

143 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Dans le « plugin manager » : **Aptana Support for Apple iPhone** |    => suggestions : ['']
143 Mot inconnu : Aptana =>   * Dans le « plugin manager » : **Aptana Support for Apple iPhone** | aptana
