

7 Mot inconnu : Filesystems [[105:116]] => Ubuntu adhère à [[https://www.pathname.com/fhs/|la norme sur la hiérarchie des systèmes de fichiers]] (//Filesystems Hierarchy Standard//, //FHS//) qui définit le nom, le rôle et l'arborescence des fichiers et des répertoires dans un système de fichiers. <|> filesystems
7 Mot inconnu : Filesystems [[105:116]] => Ubuntu adhère à [[https://www.pathname.com/fhs/|la norme sur la hiérarchie des systèmes de fichiers]] (//Filesystems Hierarchy Standard//, //FHS//) qui définit le nom, le rôle et l'arborescence des fichiers et des répertoires dans un système de fichiers. <|> filesystems
7 Mot inconnu : Hierarchy [[117:126]] => Ubuntu adhère à [[https://www.pathname.com/fhs/|la norme sur la hiérarchie des systèmes de fichiers]] (//Filesystems Hierarchy Standard//, //FHS//) qui définit le nom, le rôle et l'arborescence des fichiers et des répertoires dans un système de fichiers. <|> hierarchy
7 Mot inconnu : Hierarchy [[117:126]] => Ubuntu adhère à [[https://www.pathname.com/fhs/|la norme sur la hiérarchie des systèmes de fichiers]] (//Filesystems Hierarchy Standard//, //FHS//) qui définit le nom, le rôle et l'arborescence des fichiers et des répertoires dans un système de fichiers. <|> hierarchy
7 Mot inconnu : FHS [[141:144]] => Ubuntu adhère à [[https://www.pathname.com/fhs/|la norme sur la hiérarchie des systèmes de fichiers]] (//Filesystems Hierarchy Standard//, //FHS//) qui définit le nom, le rôle et l'arborescence des fichiers et des répertoires dans un système de fichiers. <|> fhs
7 Mot inconnu : FHS [[141:144]] => Ubuntu adhère à [[https://www.pathname.com/fhs/|la norme sur la hiérarchie des systèmes de fichiers]] (//Filesystems Hierarchy Standard//, //FHS//) qui définit le nom, le rôle et l'arborescence des fichiers et des répertoires dans un système de fichiers. <|> fhs


29 Guillemets typographiques ouvrants. [[138:139]] => <note>C'est ce dossier qui s'ouvre par défaut quand vous ouvrez votre gestionnaire de fichiers. Pour trouver la racine, il vous faut donc "remonter"</note> <|> " => suggestions : ['«\xa0', '“']
29 Guillemets typographiques fermants. [[147:148]] => <note>C'est ce dossier qui s'ouvre par défaut quand vous ouvrez votre gestionnaire de fichiers. Pour trouver la racine, il vous faut donc "remonter"</note> <|> " => suggestions : ['\xa0»', '”']


35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>  ===== La norme selon la FHS ===== <|>   => suggestions : ['']
35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>  ===== La norme selon la FHS ===== <|>   => suggestions : ['']
35 Mot inconnu : FHS [[25:28]] =>  ===== La norme selon la FHS ===== <|> fhs
35 Mot inconnu : FHS [[25:28]] =>  ===== La norme selon la FHS ===== <|> fhs


37 Espace(s) en fin de ligne à supprimer. [[308:309]] => La norme sur la hiérarchie des systèmes de fichiers définit une organisation standard concernant ces répertoires. Ainsi, peu importe la distribution GNU/Linux (ou tout autre système d’exploitation adhérant à cette norme) que vous utilisez, vous serez en mesure de retrouver l’information que vous recherchez.  <|>   => suggestions : ['']
37 Espace(s) en fin de ligne à supprimer. [[308:309]] => La norme sur la hiérarchie des systèmes de fichiers définit une organisation standard concernant ces répertoires. Ainsi, peu importe la distribution GNU/Linux (ou tout autre système d’exploitation adhérant à cette norme) que vous utilisez, vous serez en mesure de retrouver l’information que vous recherchez.  <|>   => suggestions : ['']


39 Espace(s) surnuméraire(s) à supprimer. [[12:14]] => ^ Répertoire  ^ Signification ^^ Contenu ^ <|>    => suggestions : [' ']
39 Espace(s) surnuméraire(s) à supprimer. [[12:14]] => ^ Répertoire  ^ Signification ^^ Contenu ^ <|>    => suggestions : [' ']


40 Espace(s) surnuméraire(s) à supprimer. [[14:16]] => ^  ^  Français  ^  Anglais  ^  ^  <|>    => suggestions : [' ']
40 Espace(s) surnuméraire(s) à supprimer. [[14:16]] => ^  ^  Français  ^  Anglais  ^  ^  <|>    => suggestions : [' ']
40 Espace(s) surnuméraire(s) à supprimer. [[26:28]] => ^  ^  Français  ^  Anglais  ^  ^  <|>    => suggestions : [' ']
40 Espace(s) surnuméraire(s) à supprimer. [[26:28]] => ^  ^  Français  ^  Anglais  ^  ^  <|>    => suggestions : [' ']
40 Espace(s) en fin de ligne à supprimer. [[32:33]] => ^  ^  Français  ^  Anglais  ^  ^  <|>   => suggestions : ['']
40 Espace(s) en fin de ligne à supprimer. [[32:33]] => ^  ^  Français  ^  Anglais  ^  ^  <|>   => suggestions : ['']


44 Espace(s) surnuméraire(s) à supprimer. [[6:14]] => | /dev        | périphérique | **dev**ice | Fichiers spéciaux des périphériques | <|>          => suggestions : [' ']
44 Espace(s) surnuméraire(s) à supprimer. [[6:14]] => | /dev        | périphérique | **dev**ice | Fichiers spéciaux des périphériques | <|>          => suggestions : [' ']
44 Mot inconnu : dev [[33:36]] => | /dev        | périphérique | **dev**ice | Fichiers spéciaux des périphériques | <|> dev
44 Mot inconnu : dev [[33:36]] => | /dev        | périphérique | **dev**ice | Fichiers spéciaux des périphériques | <|> dev
44 Mot inconnu : ice [[38:41]] => | /dev        | périphérique | **dev**ice | Fichiers spéciaux des périphériques | <|> ice
44 Mot inconnu : ice [[38:41]] => | /dev        | périphérique | **dev**ice | Fichiers spéciaux des périphériques | <|> ice


45 Espace(s) surnuméraire(s) à supprimer. [[6:14]] => | /etc        | configuration éditable en mode texte | **e**diting **t**ext **c**onfig | Fichiers de configuration au format textuel de plusieurs programmes et services du système  | <|>          => suggestions : [' ']
45 Espace(s) surnuméraire(s) à supprimer. [[6:14]] => | /etc        | configuration éditable en mode texte | **e**diting **t**ext **c**onfig | Fichiers de configuration au format textuel de plusieurs programmes et services du système  | <|>          => suggestions : [' ']
45 Mot inconnu : diting [[60:66]] => | /etc        | configuration éditable en mode texte | **e**diting **t**ext **c**onfig | Fichiers de configuration au format textuel de plusieurs programmes et services du système  | <|> diting
45 Mot inconnu : diting [[60:66]] => | /etc        | configuration éditable en mode texte | **e**diting **t**ext **c**onfig | Fichiers de configuration au format textuel de plusieurs programmes et services du système  | <|> diting
45 Mot inconnu : ext [[72:75]] => | /etc        | configuration éditable en mode texte | **e**diting **t**ext **c**onfig | Fichiers de configuration au format textuel de plusieurs programmes et services du système  | <|> ext
45 Mot inconnu : ext [[72:75]] => | /etc        | configuration éditable en mode texte | **e**diting **t**ext **c**onfig | Fichiers de configuration au format textuel de plusieurs programmes et services du système  | <|> ext
45 Mot inconnu : onfig [[81:86]] => | /etc        | configuration éditable en mode texte | **e**diting **t**ext **c**onfig | Fichiers de configuration au format textuel de plusieurs programmes et services du système  | <|> onfig
45 Mot inconnu : onfig [[81:86]] => | /etc        | configuration éditable en mode texte | **e**diting **t**ext **c**onfig | Fichiers de configuration au format textuel de plusieurs programmes et services du système  | <|> onfig
45 Espace(s) surnuméraire(s) à supprimer. [[179:181]] => | /etc        | configuration éditable en mode texte | **e**diting **t**ext **c**onfig | Fichiers de configuration au format textuel de plusieurs programmes et services du système  | <|>    => suggestions : [' ']
45 Espace(s) surnuméraire(s) à supprimer. [[179:181]] => | /etc        | configuration éditable en mode texte | **e**diting **t**ext **c**onfig | Fichiers de configuration au format textuel de plusieurs programmes et services du système  | <|>    => suggestions : [' ']


46 Espace(s) surnuméraire(s) à supprimer. [[7:14]] => | /home       | maison | **home** directory | Répertoires personnels des utilisateurs | <|>         => suggestions : [' ']
46 Espace(s) surnuméraire(s) à supprimer. [[7:14]] => | /home       | maison | **home** directory | Répertoires personnels des utilisateurs | <|>         => suggestions : [' ']
46 Mot inconnu : directory [[34:43]] => | /home       | maison | **home** directory | Répertoires personnels des utilisateurs | <|> directory
46 Mot inconnu : directory [[34:43]] => | /home       | maison | **home** directory | Répertoires personnels des utilisateurs | <|> directory


47 Espace(s) surnuméraire(s) à supprimer. [[6:14]] => | /lib        | bibliothèques | **lib**rairies | Bibliothèques partagées essentielles et modules du noyau | <|>          => suggestions : [' ']
47 Espace(s) surnuméraire(s) à supprimer. [[6:14]] => | /lib        | bibliothèques | **lib**rairies | Bibliothèques partagées essentielles et modules du noyau | <|>          => suggestions : [' ']
47 Mot inconnu : lib [[34:37]] => | /lib        | bibliothèques | **lib**rairies | Bibliothèques partagées essentielles et modules du noyau | <|> lib
47 Mot inconnu : lib [[34:37]] => | /lib        | bibliothèques | **lib**rairies | Bibliothèques partagées essentielles et modules du noyau | <|> lib
47 Mot inconnu : rairies [[39:46]] => | /lib        | bibliothèques | **lib**rairies | Bibliothèques partagées essentielles et modules du noyau | <|> rairies
47 Mot inconnu : rairies [[39:46]] => | /lib        | bibliothèques | **lib**rairies | Bibliothèques partagées essentielles et modules du noyau | <|> rairies


48 Espace(s) surnuméraire(s) à supprimer. [[8:14]] => | /media      | | | Contient les points de montages pour les médias amovibles | <|>        => suggestions : [' ']
48 Espace(s) surnuméraire(s) à supprimer. [[8:14]] => | /media      | | | Contient les points de montages pour les médias amovibles | <|>        => suggestions : [' ']


49 Espace(s) surnuméraire(s) à supprimer. [[6:14]] => | /mnt        | montage | **m**ou**nt** | Point de montage pour monter temporairement un système de fichiers | <|>          => suggestions : [' ']
