
4 Mot inconnu : Assault [[7:14]] => ====== Assault Cube ====== <|> assault

19 Mot inconnu : Counter-Strike [[43:57]] => ==== Clavier français et même touches qu'à Counter-Strike ==== <|> counter-strike

23 Guillemets typographiques ouvrants. [[61:62]] => Dans le fichier ouvert, supprimez tout ce qui commence par **"bind"** et remplacez-le par ce qui suit : <|> " => suggestions : ['«\xa0', '“']
23 Mot inconnu : bind [[62:66]] => Dans le fichier ouvert, supprimez tout ce qui commence par **"bind"** et remplacez-le par ce qui suit : <|> bind
23 Guillemets typographiques fermants. [[66:67]] => Dans le fichier ouvert, supprimez tout ce qui commence par **"bind"** et remplacez-le par ce qui suit : <|> " => suggestions : ['\xa0»', '”']

90 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']

94 Mot inconnu : voicecom [[23:31]] => Attention, la fonction voicecom ne semble pas fonctionner sous Ubuntu. <|> voicecom

96 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']

98 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']
