
5 Mot inconnu : Eee => ======  Asus Eee PC 1011PX ====== | eee

16 Mot inconnu : Touchpad => ^ Version ^ Installation ^ Carte graphique ^ Son ^ Wifi ^ Bluetooth ^ Webcam ^ Touchpad ^ Raccourcis multimédia ^ Autres ^ | touchpad

33 Typographie des composés chimiques. => Sur certains modèles, il est impossible d'accéder au BIOS pour démarrer sur un support USB (Les touches F2 ou Echap sont inactives durant le boot). Le système démarre soit sur windows, soit sur ExpressGate Cloud. Pour accéder au BIOS, il faut effacer la mémoire CMOS. Pour cela, enlevez la batterie et débranchez complètement l'appareil. Ensuite, ouvrez la trappe située au dos de l'ordinateur et enlevez la barrette mémoire. Sur la carte mère, il vous faut trouver 2 petits triangles couleur cuivre juxtaposés par leur base. A côté il est écrit "SCLRTC1". Il faut mettre en contact les 2 petits triangles, par exemple avec un fil électrique (les tournevis font souvent de mauvais contact). Enfin, remontez le tout. Au redémarrage, en appuyant sur la touche Echap vous aurez accès au choix pour le boot et sur la touche F2 à la configuration du BIOS. | f2 => suggestions : ['F₂']
33 Mot inconnu : F2 => Sur certains modèles, il est impossible d'accéder au BIOS pour démarrer sur un support USB (Les touches F2 ou Echap sont inactives durant le boot). Le système démarre soit sur windows, soit sur ExpressGate Cloud. Pour accéder au BIOS, il faut effacer la mémoire CMOS. Pour cela, enlevez la batterie et débranchez complètement l'appareil. Ensuite, ouvrez la trappe située au dos de l'ordinateur et enlevez la barrette mémoire. Sur la carte mère, il vous faut trouver 2 petits triangles couleur cuivre juxtaposés par leur base. A côté il est écrit "SCLRTC1". Il faut mettre en contact les 2 petits triangles, par exemple avec un fil électrique (les tournevis font souvent de mauvais contact). Enfin, remontez le tout. Au redémarrage, en appuyant sur la touche Echap vous aurez accès au choix pour le boot et sur la touche F2 à la configuration du BIOS. | f2
33 Mot inconnu : Echap => Sur certains modèles, il est impossible d'accéder au BIOS pour démarrer sur un support USB (Les touches F2 ou Echap sont inactives durant le boot). Le système démarre soit sur windows, soit sur ExpressGate Cloud. Pour accéder au BIOS, il faut effacer la mémoire CMOS. Pour cela, enlevez la batterie et débranchez complètement l'appareil. Ensuite, ouvrez la trappe située au dos de l'ordinateur et enlevez la barrette mémoire. Sur la carte mère, il vous faut trouver 2 petits triangles couleur cuivre juxtaposés par leur base. A côté il est écrit "SCLRTC1". Il faut mettre en contact les 2 petits triangles, par exemple avec un fil électrique (les tournevis font souvent de mauvais contact). Enfin, remontez le tout. Au redémarrage, en appuyant sur la touche Echap vous aurez accès au choix pour le boot et sur la touche F2 à la configuration du BIOS. | echap
33 Mot inconnu : boot => Sur certains modèles, il est impossible d'accéder au BIOS pour démarrer sur un support USB (Les touches F2 ou Echap sont inactives durant le boot). Le système démarre soit sur windows, soit sur ExpressGate Cloud. Pour accéder au BIOS, il faut effacer la mémoire CMOS. Pour cela, enlevez la batterie et débranchez complètement l'appareil. Ensuite, ouvrez la trappe située au dos de l'ordinateur et enlevez la barrette mémoire. Sur la carte mère, il vous faut trouver 2 petits triangles couleur cuivre juxtaposés par leur base. A côté il est écrit "SCLRTC1". Il faut mettre en contact les 2 petits triangles, par exemple avec un fil électrique (les tournevis font souvent de mauvais contact). Enfin, remontez le tout. Au redémarrage, en appuyant sur la touche Echap vous aurez accès au choix pour le boot et sur la touche F2 à la configuration du BIOS. | boot
33 Mot inconnu : ExpressGate => Sur certains modèles, il est impossible d'accéder au BIOS pour démarrer sur un support USB (Les touches F2 ou Echap sont inactives durant le boot). Le système démarre soit sur windows, soit sur ExpressGate Cloud. Pour accéder au BIOS, il faut effacer la mémoire CMOS. Pour cela, enlevez la batterie et débranchez complètement l'appareil. Ensuite, ouvrez la trappe située au dos de l'ordinateur et enlevez la barrette mémoire. Sur la carte mère, il vous faut trouver 2 petits triangles couleur cuivre juxtaposés par leur base. A côté il est écrit "SCLRTC1". Il faut mettre en contact les 2 petits triangles, par exemple avec un fil électrique (les tournevis font souvent de mauvais contact). Enfin, remontez le tout. Au redémarrage, en appuyant sur la touche Echap vous aurez accès au choix pour le boot et sur la touche F2 à la configuration du BIOS. | expressgate
33 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => Sur certains modèles, il est impossible d'accéder au BIOS pour démarrer sur un support USB (Les touches F2 ou Echap sont inactives durant le boot). Le système démarre soit sur windows, soit sur ExpressGate Cloud. Pour accéder au BIOS, il faut effacer la mémoire CMOS. Pour cela, enlevez la batterie et débranchez complètement l'appareil. Ensuite, ouvrez la trappe située au dos de l'ordinateur et enlevez la barrette mémoire. Sur la carte mère, il vous faut trouver 2 petits triangles couleur cuivre juxtaposés par leur base. A côté il est écrit "SCLRTC1". Il faut mettre en contact les 2 petits triangles, par exemple avec un fil électrique (les tournevis font souvent de mauvais contact). Enfin, remontez le tout. Au redémarrage, en appuyant sur la touche Echap vous aurez accès au choix pour le boot et sur la touche F2 à la configuration du BIOS. | a => suggestions : ['À']
33 Guillemets typographiques ouvrants. => Sur certains modèles, il est impossible d'accéder au BIOS pour démarrer sur un support USB (Les touches F2 ou Echap sont inactives durant le boot). Le système démarre soit sur windows, soit sur ExpressGate Cloud. Pour accéder au BIOS, il faut effacer la mémoire CMOS. Pour cela, enlevez la batterie et débranchez complètement l'appareil. Ensuite, ouvrez la trappe située au dos de l'ordinateur et enlevez la barrette mémoire. Sur la carte mère, il vous faut trouver 2 petits triangles couleur cuivre juxtaposés par leur base. A côté il est écrit "SCLRTC1". Il faut mettre en contact les 2 petits triangles, par exemple avec un fil électrique (les tournevis font souvent de mauvais contact). Enfin, remontez le tout. Au redémarrage, en appuyant sur la touche Echap vous aurez accès au choix pour le boot et sur la touche F2 à la configuration du BIOS. | " => suggestions : ['«\xa0', '“']
