
6 Mot inconnu : Eee => ====== Asus Eee PC 1201 ====== | eee

18 Mot inconnu : Touchpad => ^ Version ^ Installation ^ Carte graphique ^ Son ^ Wifi ^ Bluetooth ^ Webcam ^ Touchpad ^ Raccourcis multimédia ^ Autres ^ Ethernet ^ | touchpad

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Disque dur :** 250 Go ; |    => suggestions : ['']
28 Si “Go” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   * **Disque dur :** 250 Go ; | 250 go => suggestions : ['250\xa0Go']

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Ethernet** : FIXME((nom du matériel)), |    => suggestions : ['']
29 Mot inconnu : FIXME =>   * **Ethernet** : FIXME((nom du matériel)), | fixme
29 Il manque un espace avant la parenthèse. =>   * **Ethernet** : FIXME((nom du matériel)), | ( => suggestions : [' (']

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Sans fil** : |    => suggestions : ['']

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Carte wifi : Atheros FIXME((nom du matériel)), |      => suggestions : ['']
31 Mot inconnu : Atheros =>     * Carte wifi : Atheros FIXME((nom du matériel)), | atheros
31 Mot inconnu : FIXME =>     * Carte wifi : Atheros FIXME((nom du matériel)), | fixme
31 Il manque un espace avant la parenthèse. =>     * Carte wifi : Atheros FIXME((nom du matériel)), | ( => suggestions : [' (']

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * BlueTooth : 2.1 FIXME((nom du matériel)), |      => suggestions : ['']
32 Mot inconnu : BlueTooth =>     * BlueTooth : 2.1 FIXME((nom du matériel)), | bluetooth
32 Mot inconnu : FIXME =>     * BlueTooth : 2.1 FIXME((nom du matériel)), | fixme
32 Il manque un espace avant la parenthèse. =>     * BlueTooth : 2.1 FIXME((nom du matériel)), | ( => suggestions : [' (']

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Carte son** : FIXME((nom du matériel)) |    => suggestions : ['']
33 Mot inconnu : FIXME =>   * **Carte son** : FIXME((nom du matériel)) | fixme
33 Il manque un espace avant la parenthèse. =>   * **Carte son** : FIXME((nom du matériel)) | ( => suggestions : [' (']

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Webcam :** 0,3 Mégapixels ; |    => suggestions : ['']

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Écran** :  |    => suggestions : ['']
35 Espace(s) en fin de ligne à supprimer. =>   * **Écran** :  |   => suggestions : ['']

36 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Diagonale : 12 pouces, |      => suggestions : ['']

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Résolution : 1366 x 768, |      => suggestions : ['']
37 Signe de multiplication typographique. =>     * Résolution : 1366 x 768, | 1366 x 768 => suggestions : ['1366\xa0×\xa0768']

38 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Périphériques de sorties** :  |    => suggestions : ['']
38 Espace(s) en fin de ligne à supprimer. =>   * **Périphériques de sorties** :  |   => suggestions : ['']

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * 3 ports USB, |      => suggestions : ['']

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * 1 port VGA, |      => suggestions : ['']
40 Mot inconnu : VGA =>     * 1 port VGA, | vga

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Lecteur de cartes SD |      => suggestions : ['']
41 Mot inconnu : SD =>     * Lecteur de cartes SD | sd

43 Si “HA” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => ==== Modèle 1201 HA ==== | 1201 ha => suggestions : ['1\xa0201\xa0HA']

45 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Processeur** : Intel® Atom™ Z520 de 1,33 Ghz ; |    => suggestions : ['']
45 Mot inconnu : Atom =>   * **Processeur** : Intel® Atom™ Z520 de 1,33 Ghz ; | atom
45 Mot inconnu : Z520 =>   * **Processeur** : Intel® Atom™ Z520 de 1,33 Ghz ; | z520
45 Si “Ghz” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   * **Processeur** : Intel® Atom™ Z520 de 1,33 Ghz ; | 1,33 ghz => suggestions : ['1,33\xa0Ghz']
45 Mot inconnu : Ghz =>   * **Processeur** : Intel® Atom™ Z520 de 1,33 Ghz ; | ghz

47 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Mémoire :** 2 Go |    => suggestions : ['']
47 Si “Go” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   * **Mémoire :** 2 Go | 2 go => suggestions : ['2\xa0Go']

48 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Batterie :** 6 cellules 4400 mAh - 47 Wh, 6 ~ 7 heures. |    => suggestions : ['']
48 Si “mAh” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   * **Batterie :** 6 cellules 4400 mAh - 47 Wh, 6 ~ 7 heures. | 4400 mah => suggestions : ['4\xa0400\xa0mAh']
48 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” s’il s’agit d’une soustraction [3] ou de représenter un nombre négatif [4].) =>   * **Batterie :** 6 cellules 4400 mAh - 47 Wh, 6 ~ 7 heures. |  -  => suggestions : [' – ', ' — ', ' − ', ' −']
48 Avec une unité de mesure, mettez un espace insécable. =>   * **Batterie :** 6 cellules 4400 mAh - 47 Wh, 6 ~ 7 heures. | 47 wh => suggestions : ['47\xa0Wh']
48 Avec une unité de mesure, mettez un espace insécable. =>   * **Batterie :** 6 cellules 4400 mAh - 47 Wh, 6 ~ 7 heures. | 7 heures => suggestions : ['7\xa0heures']

50 Avec une unité de mesure, mettez un espace insécable. => ==== Modèle 1201 K ====   | 1201 k => suggestions : ['1\xa0201\xa0K']
50 Espace(s) en fin de ligne à supprimer. => ==== Modèle 1201 K ====   |    => suggestions : ['']

