
3 Mot inconnu : X53T => ======  ASUS X53T ====== | x53t

19 Mot inconnu : Touchpad => ^ Version ^ Installation ^ Carte graphique ^ Son ^ Wifi ^ Bluetooth ^ Webcam ^ Touchpad ^ Raccourcis multimédia ^ Autres ^ | touchpad

24 Mot inconnu : live_usb => Il faut utiliser une [[live_usb]] ou un live cd [[live_cd]]. \\ Pour démarrer sur l'un de ces médias, il faut appuyer sur la touche ECHAP au démarrage puis sélectionner le bon média. \\ | live_usb
24 Mot inconnu : live_cd => Il faut utiliser une [[live_usb]] ou un live cd [[live_cd]]. \\ Pour démarrer sur l'un de ces médias, il faut appuyer sur la touche ECHAP au démarrage puis sélectionner le bon média. \\ | live_cd
24 Mot inconnu : ECHAP => Il faut utiliser une [[live_usb]] ou un live cd [[live_cd]]. \\ Pour démarrer sur l'un de ces médias, il faut appuyer sur la touche ECHAP au démarrage puis sélectionner le bon média. \\ | echap

31 Mot inconnu : recovery_mode => Pour pouvoir installer le pilote propriétaire qui, lui, fonctionne correctement, il faut contourner l'écran noir en démarrant en [[recovery_mode]].\\ | recovery_mode

42 Forme interrogative ? Mettez un trait d’union. => Connectez vous avec votre compte et ouvrez un terminal.\\ | connectez vous => suggestions : ['Connectez-vous']

43 Mot inconnu : gestionnaire_de_pilotes_proprietaires => Le [[gestionnaire_de_pilotes_proprietaires]] ne permet pas de résoudre le problème directement. En effet, suite à la sélection du pilote propriétaire, et après validation, c'est toujours le pilote libre (non fonctionnel) qui est activé. Il conduit alors à un écran noir au démarrage suivant.\\ | gestionnaire_de_pilotes_proprietaires

44 Mot inconnu : catalyst => Avant il faut donc installer le pilote propriétaire [[catalyst]] en saisissant la commande suivante : | catalyst

46 Mot inconnu : gestionnaire_de_pilotes_proprietaires => Ensuite dans le [[gestionnaire_de_pilotes_proprietaires]] il suffit de sélectionner le pilote propriétaire.\\ | gestionnaire_de_pilotes_proprietaires
50 Mot inconnu : numlockx => Au démarrage, le pavé numérique n'est pas activé. Cela peut être pénible lorsque le mot de passe de connexion comporte des chiffres. Pour résoudre ce problème, il faut effectuer les manipulations disponibles sur cette page : [[numlockx]]. | numlockx
54 Mot inconnu : doraste => //Contributeur principal : doraste// | doraste
