
3 Mot inconnu : Atom => ====== Atom ====== | atom

6 Mot inconnu : Atom => Atom gère la plupart des langages de programmation, dont Python, Javascript, Bash, Ruby, Perl, C, C++, Java et bien d'autres.   | atom
6 Mot inconnu : Javascript => Atom gère la plupart des langages de programmation, dont Python, Javascript, Bash, Ruby, Perl, C, C++, Java et bien d'autres.   | javascript
6 Espace(s) en fin de ligne à supprimer. => Atom gère la plupart des langages de programmation, dont Python, Javascript, Bash, Ruby, Perl, C, C++, Java et bien d'autres.   |    => suggestions : ['']

9 Mot inconnu : Atom => Atom Text Editor n'est pas pour l'instant présent dans les dépôts Ubuntu. | atom
9 Mot inconnu : Text => Atom Text Editor n'est pas pour l'instant présent dans les dépôts Ubuntu. | text
9 Mot inconnu : Editor => Atom Text Editor n'est pas pour l'instant présent dans les dépôts Ubuntu. | editor

11 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => ==== En téléchargeant le .deb ==== |  . => suggestions : ['. ', '.']
11 Mot inconnu : deb => ==== En téléchargeant le .deb ==== | deb

12 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => L'installation d'un .deb est simple, mais aucune mise à jour ne se fera par cette méthode. |  . => suggestions : ['. ', '.']
12 Mot inconnu : deb => L'installation d'un .deb est simple, mais aucune mise à jour ne se fera par cette méthode. | deb

24 Mot inconnu : Atom => Atom peut ensuite simplement s'installer comme d'habitude : | atom

28 Mot inconnu : Flatpak => ==== Avec Flatpak==== | flatpak
38 Mot inconnu : Atom => En vous rendant sur [[https://snapcraft.io/atom|Snapcraft]], installez **Atom**. | atom

49 Mot inconnu : Atom => Si vous aviez installé Atom Text Editor via son ppa, pensez à le supprimer. | atom
49 Mot inconnu : Text => Si vous aviez installé Atom Text Editor via son ppa, pensez à le supprimer. | text
49 Mot inconnu : Editor => Si vous aviez installé Atom Text Editor via son ppa, pensez à le supprimer. | editor
