5 Mot inconnu : Bourne [[14:20]] => ====== BASH : Bourne Again Shell ====== <|> bourne
5 Mot inconnu : Again [[21:26]] => ====== BASH : Bourne Again Shell ====== <|> again

23 Accord de nombre erroné : après « l’ », « IFS » devrait être au singulier. [[2:5]] => L'IFS est le ou les caractères qui servent de séparateur. Voici un bout de code pour comprendre par l'exemple. <|> ifs => suggestions : None

58 Guillemets typographiques ouvrants. [[20:21]] => ==== Fonctionnalité "push-line", édition d'une deuxième ligne puis revenir à la première ==== <|> " => suggestions : None
58 Mot inconnu : push-line [[21:30]] => ==== Fonctionnalité "push-line", édition d'une deuxième ligne puis revenir à la première ==== <|> push-line
58 Guillemets typographiques fermants. [[30:31]] => ==== Fonctionnalité "push-line", édition d'une deuxième ligne puis revenir à la première ==== <|> " => suggestions : None

65 Mot inconnu : bashrc [[7:13]] => ====~/.bashrc==== <|> bashrc

69 Guillemets typographiques ouvrants. [[46:47]] => dans votre éditeur de texte préférer chercher "PS1"((sigle de prompt shell 1)). <|> " => suggestions : None
69 Mot inconnu : PS1 [[47:50]] => dans votre éditeur de texte préférer chercher "PS1"((sigle de prompt shell 1)). <|> ps1
69 Guillemets typographiques fermants. [[50:51]] => dans votre éditeur de texte préférer chercher "PS1"((sigle de prompt shell 1)). <|> " => suggestions : None

75 Accord de nombre erroné : « dollars » est au pluriel. [[41:43]] => En ajoutant **\n** (saut de ligne) avant le dollars le curseur ira sur une nouvelle ligne. <|> le => suggestions : None
75 Accord de nombre erroné : « dollars » devrait être au singulier. [[44:51]] => En ajoutant **\n** (saut de ligne) avant le dollars le curseur ira sur une nouvelle ligne. <|> dollars => suggestions : None

79 Mot inconnu : bash_aliases [[7:19]] => ====~/.bash_aliases==== <|> bash_aliases

83 Mot inconnu : tips [[6:10]] => petit tips, vous pouvez mettre de la couleur dans les pages du man plutôt que d'avoir du blanc. <|> tips

86 Mot inconnu : bash_history [[7:19]] => ====~/.bash_history==== <|> bash_history

95 Mot inconnu : PATH [[82:86]] => il permet de prendre en compte de nouveau chemin pour la variable d'environnement PATH. <|> path

97 Guillemets typographiques ouvrants. [[99:100]] => Par exemple si vous créez un programme, il vous suffira de le mettre dans un nouveau dossier nommé "bin" : <|> " => suggestions : None
97 Mot inconnu : bin [[100:103]] => Par exemple si vous créez un programme, il vous suffira de le mettre dans un nouveau dossier nommé "bin" : <|> bin
97 Guillemets typographiques fermants. [[103:104]] => Par exemple si vous créez un programme, il vous suffira de le mettre dans un nouveau dossier nommé "bin" : <|> " => suggestions : None
