
4 Mot inconnu : BricsCAD => ======BricsCAD====== | bricscad

7 Mot inconnu : BricsCAD => **BricsCAD** est un logiciel de [[CAO]] commercial multiplateforme (Windows, Mac et Linux). Il est pleinement compatible avec AutoCAD, dont il reprend le format de fichier DWG (R2.5 à 2012) et le DXF (R2.5 à 2012), ainsi que l'interface classique pré-2009 (dont la ligne de commande) et la plupart des fonctionnalités. | bricscad
7 Mot inconnu : AutoCAD => **BricsCAD** est un logiciel de [[CAO]] commercial multiplateforme (Windows, Mac et Linux). Il est pleinement compatible avec AutoCAD, dont il reprend le format de fichier DWG (R2.5 à 2012) et le DXF (R2.5 à 2012), ainsi que l'interface classique pré-2009 (dont la ligne de commande) et la plupart des fonctionnalités. | autocad
7 Mot inconnu : DWG => **BricsCAD** est un logiciel de [[CAO]] commercial multiplateforme (Windows, Mac et Linux). Il est pleinement compatible avec AutoCAD, dont il reprend le format de fichier DWG (R2.5 à 2012) et le DXF (R2.5 à 2012), ainsi que l'interface classique pré-2009 (dont la ligne de commande) et la plupart des fonctionnalités. | dwg
7 Mot inconnu : R2 => **BricsCAD** est un logiciel de [[CAO]] commercial multiplateforme (Windows, Mac et Linux). Il est pleinement compatible avec AutoCAD, dont il reprend le format de fichier DWG (R2.5 à 2012) et le DXF (R2.5 à 2012), ainsi que l'interface classique pré-2009 (dont la ligne de commande) et la plupart des fonctionnalités. | r2
7 Mot inconnu : DXF => **BricsCAD** est un logiciel de [[CAO]] commercial multiplateforme (Windows, Mac et Linux). Il est pleinement compatible avec AutoCAD, dont il reprend le format de fichier DWG (R2.5 à 2012) et le DXF (R2.5 à 2012), ainsi que l'interface classique pré-2009 (dont la ligne de commande) et la plupart des fonctionnalités. | dxf
7 Mot inconnu : R2 => **BricsCAD** est un logiciel de [[CAO]] commercial multiplateforme (Windows, Mac et Linux). Il est pleinement compatible avec AutoCAD, dont il reprend le format de fichier DWG (R2.5 à 2012) et le DXF (R2.5 à 2012), ainsi que l'interface classique pré-2009 (dont la ligne de commande) et la plupart des fonctionnalités. | r2

37 Mot inconnu : Cannot => ==== Erreur « Cannot set locale to 'en_US' » ==== | cannot
37 Mot inconnu : to => ==== Erreur « Cannot set locale to 'en_US' » ==== | to
37 Guillemets typographiques ouvrants. => ==== Erreur « Cannot set locale to 'en_US' » ==== | ' => suggestions : ['“', '‘', '‹']
37 Mot inconnu : en_US => ==== Erreur « Cannot set locale to 'en_US' » ==== | en_us
37 Guillemets typographiques fermants. => ==== Erreur « Cannot set locale to 'en_US' » ==== | ' => suggestions : ['”', '’', '›']

39 Mot inconnu : Cannot => Avec la version anglophone, un message d'erreur « Cannot set locale to 'en_US' » pourrait apparaître au lancement. Il suffit de fermer la fenêtre, et l'application se lancera ensuite. | cannot
39 Mot inconnu : to => Avec la version anglophone, un message d'erreur « Cannot set locale to 'en_US' » pourrait apparaître au lancement. Il suffit de fermer la fenêtre, et l'application se lancera ensuite. | to
39 Guillemets typographiques ouvrants. => Avec la version anglophone, un message d'erreur « Cannot set locale to 'en_US' » pourrait apparaître au lancement. Il suffit de fermer la fenêtre, et l'application se lancera ensuite. | ' => suggestions : ['“', '‘', '‹']
39 Mot inconnu : en_US => Avec la version anglophone, un message d'erreur « Cannot set locale to 'en_US' » pourrait apparaître au lancement. Il suffit de fermer la fenêtre, et l'application se lancera ensuite. | en_us
39 Guillemets typographiques fermants. => Avec la version anglophone, un message d'erreur « Cannot set locale to 'en_US' » pourrait apparaître au lancement. Il suffit de fermer la fenêtre, et l'application se lancera ensuite. | ' => suggestions : ['”', '’', '›']
