
17 Mot inconnu : indicator-ip => On peut installer facilement un outil pour voir son adresse IP dans la barre des tâches avec indicator-ip ! <|> indicator-ip

23 Mot inconnu : ip => [[http://www.monip.org/|il manque un bouton pour connaître votre ip a transmettre à votre interlocuteur]].  <|> ip
23 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. => [[http://www.monip.org/|il manque un bouton pour connaître votre ip a transmettre à votre interlocuteur]].  <|> a => suggestions : ['à']
23 Espace(s) en fin de ligne à supprimer. => [[http://www.monip.org/|il manque un bouton pour connaître votre ip a transmettre à votre interlocuteur]].  <|>   => suggestions : ['']
32 Mot inconnu : Monocaffe =>   * [[https://sourceforge.net/projects/monocaffecm/|Monocaffe Connections Manager]] : Gestionnaire de connexions multi-protocole : SSH, VNC, RDP, FTP, telnet. <|> monocaffe
32 Mot inconnu : SSH =>   * [[https://sourceforge.net/projects/monocaffecm/|Monocaffe Connections Manager]] : Gestionnaire de connexions multi-protocole : SSH, VNC, RDP, FTP, telnet. <|> ssh
32 Mot inconnu : VNC =>   * [[https://sourceforge.net/projects/monocaffecm/|Monocaffe Connections Manager]] : Gestionnaire de connexions multi-protocole : SSH, VNC, RDP, FTP, telnet. <|> vnc
32 Mot inconnu : RDP =>   * [[https://sourceforge.net/projects/monocaffecm/|Monocaffe Connections Manager]] : Gestionnaire de connexions multi-protocole : SSH, VNC, RDP, FTP, telnet. <|> rdp
32 Mot inconnu : telnet =>   * [[https://sourceforge.net/projects/monocaffecm/|Monocaffe Connections Manager]] : Gestionnaire de connexions multi-protocole : SSH, VNC, RDP, FTP, telnet. <|> telnet
34 Mot inconnu : iTalc =>   * [[https://veyon.io/|veyon]] : successeur d'iTalc <|> italc
40 Mot inconnu : Teamviewer =>   * [[https://anydesk.fr/download|AnyDesk]]: aussi simple que Teamviewer mais léger et rapide. Non libre. Il est possible de l'installer via un dépot DEB, les instructions sont sur la même page. <|> teamviewer
40 Mot inconnu : dépot =>   * [[https://anydesk.fr/download|AnyDesk]]: aussi simple que Teamviewer mais léger et rapide. Non libre. Il est possible de l'installer via un dépot DEB, les instructions sont sur la même page. <|> dépot
40 Mot inconnu : DEB =>   * [[https://anydesk.fr/download|AnyDesk]]: aussi simple que Teamviewer mais léger et rapide. Non libre. Il est possible de l'installer via un dépot DEB, les instructions sont sur la même page. <|> deb
43 Mot inconnu : ThinLinc =>   * [[wp>ThinLinc]] : logiciel propriétaire, multi-plateforme (Linux, Windows, Android en mode client). <|> thinlinc
58 Mot inconnu : x2go =>   * [[x2go| x2go : protocole libre issu de freenx]]. <|> x2go
58 Mot inconnu : x2go =>   * [[x2go| x2go : protocole libre issu de freenx]]. <|> x2go
58 Mot inconnu : freenx =>   * [[x2go| x2go : protocole libre issu de freenx]]. <|> freenx

60 Typographie : points de suspension. Utilisez le caractère dédié. => ===== Pour aller plus loin... ===== <|> ... => suggestions : ['…']
75 Guillemets typographiques ouvrants. =>   * [[https://forum.ubuntu-fr.org/viewtopic.php?id=60417|Discussion "Contrôle à distance depuis un navigateur"]] sur le forum ubuntu-fr, <|> " => suggestions : ['«\xa0', '“']
75 Guillemets typographiques fermants. =>   * [[https://forum.ubuntu-fr.org/viewtopic.php?id=60417|Discussion "Contrôle à distance depuis un navigateur"]] sur le forum ubuntu-fr, <|> " => suggestions : ['\xa0»', '”']
75 Mot inconnu : ubuntu-fr =>   * [[https://forum.ubuntu-fr.org/viewtopic.php?id=60417|Discussion "Contrôle à distance depuis un navigateur"]] sur le forum ubuntu-fr, <|> ubuntu-fr
76 Guillemets typographiques ouvrants. =>   * [[http://forum.ubuntu-fr.org/viewtopic.php?pid=3637493#p3637493|Discussion "administrer à distance l'ubuntu de mes parents"]] sur le forum ubuntu-fr, <|> " => suggestions : ['«\xa0', '“']
76 Guillemets typographiques fermants. =>   * [[http://forum.ubuntu-fr.org/viewtopic.php?pid=3637493#p3637493|Discussion "administrer à distance l'ubuntu de mes parents"]] sur le forum ubuntu-fr, <|> " => suggestions : ['\xa0»', '”']
76 Mot inconnu : ubuntu-fr =>   * [[http://forum.ubuntu-fr.org/viewtopic.php?pid=3637493#p3637493|Discussion "administrer à distance l'ubuntu de mes parents"]] sur le forum ubuntu-fr, <|> ubuntu-fr
77 Guillemets typographiques ouvrants. =>   * [[https://forum.ubuntu-fr.org/viewtopic.php?pid=3637786|Discussion "un outil permettant de prendre la main a distance sur pc?"]] sur le forum ubuntu-fr. <|> " => suggestions : ['«\xa0', '“']
77 Confusion probable : “a” est une forme conjuguée du verbe “avoir”. Pour la préposition, écrivez “à”. =>   * [[https://forum.ubuntu-fr.org/viewtopic.php?pid=3637786|Discussion "un outil permettant de prendre la main a distance sur pc?"]] sur le forum ubuntu-fr. <|> a => suggestions : ['à']
77 Guillemets typographiques fermants. =>   * [[https://forum.ubuntu-fr.org/viewtopic.php?pid=3637786|Discussion "un outil permettant de prendre la main a distance sur pc?"]] sur le forum ubuntu-fr. <|> " => suggestions : ['\xa0»', '”']
77 Mot inconnu : ubuntu-fr =>   * [[https://forum.ubuntu-fr.org/viewtopic.php?pid=3637786|Discussion "un outil permettant de prendre la main a distance sur pc?"]] sur le forum ubuntu-fr. <|> ubuntu-fr
