
7 Mot inconnu : linux => Cette page concerne la CAO (Conception Assistée par Ordinateur) sur linux. | linux

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[Architecture|Logiciels CAO orientés "Architecture"]] |    => suggestions : ['']
11 Guillemets typographiques ouvrants. =>   * [[Architecture|Logiciels CAO orientés "Architecture"]] | " => suggestions : ['«\xa0', '“']
11 Guillemets typographiques fermants. =>   * [[Architecture|Logiciels CAO orientés "Architecture"]] | " => suggestions : ['\xa0»', '”']

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[Mécanique|Logiciels CAO orientés "Mécanique"]] |    => suggestions : ['']
12 Guillemets typographiques ouvrants. =>   * [[Mécanique|Logiciels CAO orientés "Mécanique"]] | " => suggestions : ['«\xa0', '“']
12 Guillemets typographiques fermants. =>   * [[Mécanique|Logiciels CAO orientés "Mécanique"]] | " => suggestions : ['\xa0»', '”']

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[conception_electronique|Logiciels CAO orientés "Électronique"]] |    => suggestions : ['']
13 Mot inconnu : conception_electronique =>   * [[conception_electronique|Logiciels CAO orientés "Électronique"]] | conception_electronique
13 Guillemets typographiques ouvrants. =>   * [[conception_electronique|Logiciels CAO orientés "Électronique"]] | " => suggestions : ['«\xa0', '“']
13 Guillemets typographiques fermants. =>   * [[conception_electronique|Logiciels CAO orientés "Électronique"]] | " => suggestions : ['\xa0»', '”']
