
6 Une de ces ponctuations est superflue. => ====== Code::Blocks ====== | :: => suggestions : [':', ':']
6 Mot inconnu : Blocks => ====== Code::Blocks ====== | blocks

15 S’il s’agit d’une interrogation, il manque un trait d’union. => ==== Qu'est ce qu'un IDE ? ==== | est ce => suggestions : ['est-ce']

37 Une de ces ponctuations est superflue. => ==== Code::blocks en français ====  | :: => suggestions : [':', ':']
37 Mot inconnu : blocks => ==== Code::blocks en français ====  | blocks
37 Espace(s) en fin de ligne à supprimer. => ==== Code::blocks en français ====  |   => suggestions : ['']

43 Il manque un trait d’union. => Tout d'abord, rendez vous sur [[https://translations.launchpad.net/codeblocks/trunk/+pots/codeblocks|le Launchpad de code:blocks]] | rendez vous => suggestions : ['rendez-vous']
43 Mot inconnu : Launchpad => Tout d'abord, rendez vous sur [[https://translations.launchpad.net/codeblocks/trunk/+pots/codeblocks|le Launchpad de code:blocks]] | launchpad

47 Guillemets typographiques ouvrants. => Sélectionnez la langue française (cliquez sur "french") et téléchargez la traduction (cliquez sur "Download translation") | " => suggestions : ['«\xa0', '“']
47 Guillemets typographiques fermants. => Sélectionnez la langue française (cliquez sur "french") et téléchargez la traduction (cliquez sur "Download translation") | " => suggestions : ['\xa0»', '”']
47 Guillemets typographiques ouvrants. => Sélectionnez la langue française (cliquez sur "french") et téléchargez la traduction (cliquez sur "Download translation") | " => suggestions : ['«\xa0', '“']
47 Mot inconnu : Download => Sélectionnez la langue française (cliquez sur "french") et téléchargez la traduction (cliquez sur "Download translation") | download
47 Guillemets typographiques fermants. => Sélectionnez la langue française (cliquez sur "french") et téléchargez la traduction (cliquez sur "Download translation") | " => suggestions : ['\xa0»', '”']

49 Guillemets typographiques ouvrants. => Dans format choisir "MO format" puis demander le téléchargement (cliquez sur "Request Download"). | " => suggestions : ['«\xa0', '“']
49 Guillemets typographiques fermants. => Dans format choisir "MO format" puis demander le téléchargement (cliquez sur "Request Download"). | " => suggestions : ['\xa0»', '”']
49 Guillemets typographiques ouvrants. => Dans format choisir "MO format" puis demander le téléchargement (cliquez sur "Request Download"). | " => suggestions : ['«\xa0', '“']
49 Mot inconnu : Request => Dans format choisir "MO format" puis demander le téléchargement (cliquez sur "Request Download"). | request
49 Mot inconnu : Download => Dans format choisir "MO format" puis demander le téléchargement (cliquez sur "Request Download"). | download
49 Guillemets typographiques fermants. => Dans format choisir "MO format" puis demander le téléchargement (cliquez sur "Request Download"). | " => suggestions : ['\xa0»', '”']

51 Guillemets typographiques ouvrants. => Vous devriez recevoir rapidement un mail avec un lien pour télécharger le fichier "fr_LC_MESSAGES_codeblocks.mo" | " => suggestions : ['«\xa0', '“']
51 Mot inconnu : fr_LC_MESSAGES_codeblocks => Vous devriez recevoir rapidement un mail avec un lien pour télécharger le fichier "fr_LC_MESSAGES_codeblocks.mo" | fr_lc_messages_codeblocks
51 Mot inconnu : mo => Vous devriez recevoir rapidement un mail avec un lien pour télécharger le fichier "fr_LC_MESSAGES_codeblocks.mo" | mo
51 Guillemets typographiques fermants. => Vous devriez recevoir rapidement un mail avec un lien pour télécharger le fichier "fr_LC_MESSAGES_codeblocks.mo" | " => suggestions : ['\xa0»', '”']

62 Une de ces ponctuations est superflue. => Maintenant que notre fichier est en place il faut relancer Code::Blocks puis aller dans le menu: | :: => suggestions : [':', ':']
62 Mot inconnu : Blocks => Maintenant que notre fichier est en place il faut relancer Code::Blocks puis aller dans le menu: | blocks

64 Mot inconnu : Settings => Settings -> Environment -> View, cochez la case "Internationalization" et sélectionner "French" | settings
64 Mot inconnu : Environment => Settings -> Environment -> View, cochez la case "Internationalization" et sélectionner "French" | environment
64 Mot inconnu : View => Settings -> Environment -> View, cochez la case "Internationalization" et sélectionner "French" | view
64 Guillemets typographiques ouvrants. => Settings -> Environment -> View, cochez la case "Internationalization" et sélectionner "French" | " => suggestions : ['«\xa0', '“']
64 Mot inconnu : Internationalization => Settings -> Environment -> View, cochez la case "Internationalization" et sélectionner "French" | internationalization
