
4 Mot inconnu : NOTOC [[2:7]] => ~~NOTOC~~ <|> notoc
22 Mot inconnu : install [[188:195]] => Ce code de conduite concerne votre comportement en tant que **membre de la Communauté d'Ubuntu** pour tous les forums, les listes de diffusion, le Wiki, le site Web, les canaux IRC, les //install party//, les réunions publiques et la correspondance privée. Le Conseil de la Communauté d'Ubuntu arbitrera dans n'importe quel conflit la conduite d'un membre de la communauté. <|> install

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>  == Soyez prévenant == <|>  

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>  Votre travail sera employé par d'autres et vous, à votre tour, dépendrez du travail des autres. Toute décision que vous prendrez affectera des utilisateurs et des collègues et nous attendons de vous que vous teniez compte de ces conséquences lorsque vous prenez une décision. Des millions de gens utilisent Ubuntu et des milliers y contribuent. En particulier, si cela ne semble pas évident à l'instant, vos contributions affecterons le travail des autres. Par exemple, les changements dans le code, l'infrastructure, les politiques, la documentation ou la traduction pendant le processus de sortie peuvent endommager le travail d'autrui. <|>  
26 Conjugaison erronée. Accord avec “vos contributions…”. Le verbe devrait être à la 3ᵉ personne du pluriel. [[423:434]] =>  Votre travail sera employé par d'autres et vous, à votre tour, dépendrez du travail des autres. Toute décision que vous prendrez affectera des utilisateurs et des collègues et nous attendons de vous que vous teniez compte de ces conséquences lorsque vous prenez une décision. Des millions de gens utilisent Ubuntu et des milliers y contribuent. En particulier, si cela ne semble pas évident à l'instant, vos contributions affecterons le travail des autres. Par exemple, les changements dans le code, l'infrastructure, les politiques, la documentation ou la traduction pendant le processus de sortie peuvent endommager le travail d'autrui. <|> affecterons => suggestions : affecteront

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>  == Soyez respectueux == <|>  

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>  La communauté d'Ubuntu et ses membres considèrent les autres avec respect. Chacun peut apporter une contribution valable à Ubuntu. Nous pouvons ne pas être toujours en accord, mais le désaccord ne peut être une excuse pour un comportement désagréable et impoli. Nous pouvons être anéantis par des frustrations aujourd'hui ou demain, mais nous ne pouvons pas permettre à cet anéantissement de se transformer en attaque personnelle. Il est important de se rappeler qu'une communauté où les gens se sentent mal ou menacés n'est pas productive. Nous attendons des membres de la communauté d'Ubuntu qu'ils soient respectueux en travaillant aussi bien avec les autres contributeurs qu'avec les personnes en dehors du projet Ubuntu ou avec les utilisateurs d'Ubuntu. <|>  

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>  == Soyez collaboratif == <|>  

