
4 Mot inconnu : ser => Un agent d'utilisation des courriels (**M**ail **U**ser **A**gent), est une application pour lire, rédiger, recevoir et expédier des courriels. Pour comprendre ce qu'est un client MUA lire [[comment_fonctionne_le_courriel_sous_linux|Comment fonctionne le courriel sous Linux ?]] | ser
4 Mot inconnu : comment_fonctionne_le_courriel_sous_linux => Un agent d'utilisation des courriels (**M**ail **U**ser **A**gent), est une application pour lire, rédiger, recevoir et expédier des courriels. Pour comprendre ce qu'est un client MUA lire [[comment_fonctionne_le_courriel_sous_linux|Comment fonctionne le courriel sous Linux ?]] | comment_fonctionne_le_courriel_sous_linux

33 Espace(s) surnuméraire(s) à supprimer. => ==== Configurer un courrielleur  graphique ==== |    => suggestions : [' ']

51 Mot inconnu : webmails => Les webmails, sont ceux qui ne disposent d'aucun mode de réception de courriels, hors leur propre site internet... | webmails
51 Typographie : points de suspension. Utilisez le caractère dédié. => Les webmails, sont ceux qui ne disposent d'aucun mode de réception de courriels, hors leur propre site internet... | ... => suggestions : ['…']

53 Typographie : points de suspension. Utilisez le caractère dédié. => Il existe tout de même une méthode pour les faire marcher... | ... => suggestions : ['…']

55 Accord avec “sont”. => Elle sont décrites dans les pages concernant le client courriel : [[Thunderbird]] et [[Evolution]]. | elle => suggestions : ['Elles']
55 Conjugaison erronée. Accord avec “Elle”. Le verbe devrait être à la 3ᵉ personne du singulier. => Elle sont décrites dans les pages concernant le client courriel : [[Thunderbird]] et [[Evolution]]. | sont => suggestions : ['est']
55 Mot inconnu : Evolution => Elle sont décrites dans les pages concernant le client courriel : [[Thunderbird]] et [[Evolution]]. | evolution

57 Mot inconnu : Webmails => === Webmails === | webmails

65 Mot inconnu : notificateur => ==== Configurer un notificateur de courriels ==== | notificateur

77 Mot inconnu : comment_configurer_sa_distribution_de_courriels_locale_mda => Un client de messagerie doit pouvoir lire le courrier local, le rapatrier d'un [[comment_configurer_sa_distribution_de_courriels_locale_mda|serveur de messagerie MTA distant avec le protocole POP3 ou IMAP]]. | comment_configurer_sa_distribution_de_courriels_locale_mda
77 Mot inconnu : MTA => Un client de messagerie doit pouvoir lire le courrier local, le rapatrier d'un [[comment_configurer_sa_distribution_de_courriels_locale_mda|serveur de messagerie MTA distant avec le protocole POP3 ou IMAP]]. | mta
77 Mot inconnu : POP3 => Un client de messagerie doit pouvoir lire le courrier local, le rapatrier d'un [[comment_configurer_sa_distribution_de_courriels_locale_mda|serveur de messagerie MTA distant avec le protocole POP3 ou IMAP]]. | pop3

79 Mot inconnu : POP3 => Donc il faudra pour l'utilisateur paramétrer le lieu local de stockage des courriels à l'arrivée. Et éventuellement rapatrier localement les courriels distants avec POP3, ou encore avec le protocole IMAP pour travailler à distance sur son courriel ou localement. | pop3

81 Mot inconnu : POP3 => ==== Les comptes POP3 ==== | pop3

83 Mot inconnu : POP3 => Le POP3 est un (vieux) standard de diffusion courriels, il est disponible chez un grand nombre de serveur courriel, essentiellement ceux fournis par les fournisseurs d'accès internet. | pop3

87 Mot inconnu : Yahoo => <note tip>Il faut parfois, pour certains sites internet comme Yahoo, ou Gmail, activer le support POP sur leur site Web.</note> | yahoo
87 Mot inconnu : Gmail => <note tip>Il faut parfois, pour certains sites internet comme Yahoo, ou Gmail, activer le support POP sur leur site Web.</note> | gmail

89 Typographie : points de suspension. Utilisez le caractère dédié. => Ainsi, si vous ne trouvez pas, il faudra chercher pendant un long moment sur le site de votre serveur courriel... | ... => suggestions : ['…']

91 Mot inconnu : SSL => Le serveur POP est protégé par un nom d'utilisateur et un mot de passe, et les données peuvent en option être cryptées (SSL). | ssl

100 Mot inconnu : pop3 => L'IMAP est un (nouveau) standard de diffusion courriels, il est de plus en plus répandu, contrairement au pop3, mais Google s'y est mis très récemment, AOL est un des initiateurs de ce protocole... | pop3
100 Mot inconnu : AOL => L'IMAP est un (nouveau) standard de diffusion courriels, il est de plus en plus répandu, contrairement au pop3, mais Google s'y est mis très récemment, AOL est un des initiateurs de ce protocole... | aol
100 Typographie : points de suspension. Utilisez le caractère dédié. => L'IMAP est un (nouveau) standard de diffusion courriels, il est de plus en plus répandu, contrairement au pop3, mais Google s'y est mis très récemment, AOL est un des initiateurs de ce protocole... | ... => suggestions : ['…']

102 Mot inconnu : POP3 => C'est un serveur qui fait réception et envoi, il n'envoie pas tous les messages vers le client comme le POP3, mais il les synchronise. | pop3

104 Mot inconnu : Gmail => <note tip>Il faut parfois pour certains sites internet comme Gmail, activer le support IMAP, sur leur site internet</note> | gmail

106 Mot inconnu : SSL => Le serveur IMAP est protégé par un nom d'utilisateur et un mot de passe, et les données doivent être cryptées (appelé SSL encore aujourd'hui même si c'est du TLS). Se reporter aux obligations légales de protection de la vie privée faites aux principaux fournisseurs de services de messagerie, suite aux [[https://www.ssi.gouv.fr/particulier/precautions-elementaires/charte-pour-la-securite-des-courriers-electroniques/|premiers accords]]. | ssl
106 Mot inconnu : TLS => Le serveur IMAP est protégé par un nom d'utilisateur et un mot de passe, et les données doivent être cryptées (appelé SSL encore aujourd'hui même si c'est du TLS). Se reporter aux obligations légales de protection de la vie privée faites aux principaux fournisseurs de services de messagerie, suite aux [[https://www.ssi.gouv.fr/particulier/precautions-elementaires/charte-pour-la-securite-des-courriers-electroniques/|premiers accords]]. | tls

112 Accord de genre erroné : « contenue » est féminin. => Le client de messagerie doit disposer d'outils pour visualiser les courriels et pour visualiser le contenue de façon texte ou graphique avec du HTML. | le => suggestions : ['la']
112 Accord de genre erroné : « le » est un déterminant masculin. => Le client de messagerie doit disposer d'outils pour visualiser les courriels et pour visualiser le contenue de façon texte ou graphique avec du HTML. | contenue => suggestions : ['contenu']

134 Mot inconnu : comment_configurer_un_serveur_de_messagerie_mta => Le client de messagerie met à disposition de l'utilisateur les moyens de dépose dans une boite d'expédition d'[[comment_configurer_un_serveur_de_messagerie_mta|un serveur MTA]] les courriels rédigés par l'utilisateur. | comment_configurer_un_serveur_de_messagerie_mta
134 Mot inconnu : MTA => Le client de messagerie met à disposition de l'utilisateur les moyens de dépose dans une boite d'expédition d'[[comment_configurer_un_serveur_de_messagerie_mta|un serveur MTA]] les courriels rédigés par l'utilisateur. | mta

136 Mot inconnu : MTA => L'utilisateur devra configurer ici quels serveurs MTA SMTP il compte utiliser comme boite d'expédition pour envoyer ses courriels. | mta

140 Typographie : points de suspension. Utilisez le caractère dédié. => Il n'a pas forcément besoin d'un mot de passe... | ... => suggestions : ['…']

141 Mot inconnu : SSL => Les messages doivent être chiffrés avec SSL (du TLS "explicite" en fait: STARTTLS ). | ssl
141 Mot inconnu : TLS => Les messages doivent être chiffrés avec SSL (du TLS "explicite" en fait: STARTTLS ). | tls
141 Guillemets typographiques ouvrants. => Les messages doivent être chiffrés avec SSL (du TLS "explicite" en fait: STARTTLS ). | " => suggestions : ['«\xa0', '“']
141 Guillemets typographiques fermants. => Les messages doivent être chiffrés avec SSL (du TLS "explicite" en fait: STARTTLS ). | " => suggestions : ['\xa0»', '”']
141 Mot inconnu : STARTTLS => Les messages doivent être chiffrés avec SSL (du TLS "explicite" en fait: STARTTLS ). | starttls
141 Pas d’espace avant ce signe. => Les messages doivent être chiffrés avec SSL (du TLS "explicite" en fait: STARTTLS ). |  ) => suggestions : [')']

143 Espace(s) en fin de ligne à supprimer. => Le serveur SMTP n'est pas obligatoirement cohérent avec votre compte courriel. D'ailleurs sur Thunderbird, vous pouvez n'utiliser qu'un seul serveur SMTP, et cela même si vous avez 72 comptes courriel.  |   => suggestions : ['']

152 Mot inconnu : smtp => **Solution :** utilisez toujours le serveur smtp du fournisseur d'accès par lequel vous vous connectez. | smtp

154 Mot inconnu : yahoo => **Exemple :** si vous avez un compte yahoo et que vous avez une Freebox, utilisez smtp.free.fr au lieu de smtp.mail.yahoo.fr. | yahoo
154 Mot inconnu : Freebox => **Exemple :** si vous avez un compte yahoo et que vous avez une Freebox, utilisez smtp.free.fr au lieu de smtp.mail.yahoo.fr. | freebox

156 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => A noter qu'il faudra peut-être utiliser l'identifiant de messagerie de votre FAI, ainsi que son mot de passe propre, qui est bien entendu différent de celui de votre compte yahoo ou Gmail par exemple. | a => suggestions : ['À']
