
5 Mot inconnu : SMV => ====== SMV Encoder : convertir une vidéo au format SMV ====== | smv
5 Mot inconnu : SMV => ====== SMV Encoder : convertir une vidéo au format SMV ====== | smv

7 Mot inconnu : SMV => Le format SMV (Sigmatel Motion Video) est un format vidéo utilisé par certains baladeurs multimédia. Des applications existent sous Windows, mais peu sous Linux. En voici une, très efficace. | smv
7 Mot inconnu : Sigmatel => Le format SMV (Sigmatel Motion Video) est un format vidéo utilisé par certains baladeurs multimédia. Des applications existent sous Windows, mais peu sous Linux. En voici une, très efficace. | sigmatel
7 Mot inconnu : Video => Le format SMV (Sigmatel Motion Video) est un format vidéo utilisé par certains baladeurs multimédia. Des applications existent sous Windows, mais peu sous Linux. En voici une, très efficace. | video

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Avoir installé [[FFmpeg]]. |    => suggestions : ['']
15 Mot inconnu : FFmpeg =>   * Avoir installé [[FFmpeg]]. | ffmpeg

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   smv_encode /chemin/vers/la/video.avi |    => suggestions : ['']
24 Mot inconnu : smv_encode =>   smv_encode /chemin/vers/la/video.avi | smv_encode
24 Mot inconnu : video =>   smv_encode /chemin/vers/la/video.avi | video
24 Mot inconnu : avi =>   smv_encode /chemin/vers/la/video.avi | avi

26 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Un fichier avec une extension .smv supplémentaire (par exemple video.avi.smv) est créé dans le même répertoire. |  . => suggestions : ['. ', '.']
26 Mot inconnu : smv => Un fichier avec une extension .smv supplémentaire (par exemple video.avi.smv) est créé dans le même répertoire. | smv

28 Signe de multiplication typographique. => Différentes options existent, je n'ai eu besoin que de celle indiquant le format (128x160 pour mon lecteur ZicPlay Xenn), par exemple : | 128x160 => suggestions : ['128\xa0×\xa0160']
28 Mot inconnu : x160 => Différentes options existent, je n'ai eu besoin que de celle indiquant le format (128x160 pour mon lecteur ZicPlay Xenn), par exemple : | x160
28 Mot inconnu : ZicPlay => Différentes options existent, je n'ai eu besoin que de celle indiquant le format (128x160 pour mon lecteur ZicPlay Xenn), par exemple : | zicplay
28 Mot inconnu : Xenn => Différentes options existent, je n'ai eu besoin que de celle indiquant le format (128x160 pour mon lecteur ZicPlay Xenn), par exemple : | xenn

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   smv_encode -g 128x160 video.avi |    => suggestions : ['']
29 Mot inconnu : smv_encode =>   smv_encode -g 128x160 video.avi | smv_encode
29 Il manque un espace à côté du tiret. =>   smv_encode -g 128x160 video.avi |  - => suggestions : [' – ', ' — ']
29 Signe de multiplication typographique. =>   smv_encode -g 128x160 video.avi | 128x160 => suggestions : ['128\xa0×\xa0160']
29 Mot inconnu : x160 =>   smv_encode -g 128x160 video.avi | x160
29 Mot inconnu : video =>   smv_encode -g 128x160 video.avi | video
29 Mot inconnu : avi =>   smv_encode -g 128x160 video.avi | avi

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   smv_encode -l |    => suggestions : ['']
32 Mot inconnu : smv_encode =>   smv_encode -l | smv_encode
32 Il manque un espace à côté du tiret. =>   smv_encode -l |  - => suggestions : [' – ', ' — ']

34 Un seul point après « etc. » => donne l'ensemble des options (en anglais). On peut notamment régler le nombre d'images par seconde, la rotation de l'image, etc… | etc… => suggestions : ['etc.']

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   smv_encode -g 128x128 -r -1 -q 85 video.mp4 |    => suggestions : ['']
40 Mot inconnu : smv_encode =>   smv_encode -g 128x128 -r -1 -q 85 video.mp4 | smv_encode
40 Il manque un espace à côté du tiret. =>   smv_encode -g 128x128 -r -1 -q 85 video.mp4 |  - => suggestions : [' – ', ' — ']
40 Signe de multiplication typographique. =>   smv_encode -g 128x128 -r -1 -q 85 video.mp4 | 128x128 => suggestions : ['128\xa0×\xa0128']
40 Mot inconnu : x128 =>   smv_encode -g 128x128 -r -1 -q 85 video.mp4 | x128
40 Il manque un espace à côté du tiret. =>   smv_encode -g 128x128 -r -1 -q 85 video.mp4 |  - => suggestions : [' – ', ' — ']
40 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. =>   smv_encode -g 128x128 -r -1 -q 85 video.mp4 | -1 => suggestions : ['−1', '– 1', '— 1']
40 Mot inconnu : video =>   smv_encode -g 128x128 -r -1 -q 85 video.mp4 | video
40 Mot inconnu : mp4 =>   smv_encode -g 128x128 -r -1 -q 85 video.mp4 | mp4

43 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   alias smv_encode='smv_encode -g 128x128 -r -1 -q 85' |    => suggestions : ['']
43 Mot inconnu : smv_encode =>   alias smv_encode='smv_encode -g 128x128 -r -1 -q 85' | smv_encode
43 Mot inconnu : smv_encode =>   alias smv_encode='smv_encode -g 128x128 -r -1 -q 85' | smv_encode
43 Il manque un espace à côté du tiret. =>   alias smv_encode='smv_encode -g 128x128 -r -1 -q 85' |  - => suggestions : [' – ', ' — ']
43 Signe de multiplication typographique. =>   alias smv_encode='smv_encode -g 128x128 -r -1 -q 85' | 128x128 => suggestions : ['128\xa0×\xa0128']
43 Mot inconnu : x128 =>   alias smv_encode='smv_encode -g 128x128 -r -1 -q 85' | x128
43 Il manque un espace à côté du tiret. =>   alias smv_encode='smv_encode -g 128x128 -r -1 -q 85' |  - => suggestions : [' – ', ' — ']
43 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. =>   alias smv_encode='smv_encode -g 128x128 -r -1 -q 85' | -1 => suggestions : ['−1', '– 1', '— 1']
43 Guillemets typographiques fermants. =>   alias smv_encode='smv_encode -g 128x128 -r -1 -q 85' | ' => suggestions : ['”', '’', '›']

50 Mot inconnu : smv_gui => En principe smv_gui se trouve dans un dossier /usr/bin/smv_gui, d'ailleurs par une simple recherche par exemple dans système de fichier, on retrouve le binaire et son adresse dans propriété, il suffit après de faire dans un terminal en mode administrateur : | smv_gui

51 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   chmod 777 /usr/bin/smv_gui |    => suggestions : ['']
51 Mot inconnu : chmod =>   chmod 777 /usr/bin/smv_gui | chmod

53 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   smv_gui |    => suggestions : ['']
53 Mot inconnu : smv_gui =>   smv_gui | smv_gui

60 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[https://www.cs.bgu.ac.il/~yurac/|Site du concepteur]] |    => suggestions : ['']
60 Mot inconnu : yurac =>   * **(en)** [[https://www.cs.bgu.ac.il/~yurac/|Site du concepteur]] | yurac

61 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[FFmpeg]] |    => suggestions : ['']
61 Mot inconnu : FFmpeg =>   * [[FFmpeg]] | ffmpeg
