
4 Mot inconnu : createusers => ====== Script createusers ====== <|> createusers

9 Mot inconnu : Edubuntu => Quand on utilise Edubuntu (ou tout serveur Linux) dans une école, on est amené à créer de nombreux utilisateurs. <|> edubuntu

11 Mot inconnu : Zenity => <note tip>En utilisant Zenity, j'ai pu donner un début d'interface graphique à ce script. <|> zenity


42 Mot inconnu : Edubuntu => (un grand merci à Phil Jones pour ses encouragements) pour l'adapter à Edubuntu et aux besoins d'une classe tels que je les concevais. <|> edubuntu

65 Guillemets typographiques ouvrants. => Le script est donné avec deux fichiers exemple "noms.ex" et "utilisateurs.ex" <|> " => suggestions : ['«\xa0', '“']
65 Il manque un espace. => Le script est donné avec deux fichiers exemple "noms.ex" et "utilisateurs.ex" <|> ex => suggestions : [' ex']
65 Guillemets typographiques fermants. => Le script est donné avec deux fichiers exemple "noms.ex" et "utilisateurs.ex" <|> " => suggestions : ['\xa0»', '”']
65 Guillemets typographiques ouvrants. => Le script est donné avec deux fichiers exemple "noms.ex" et "utilisateurs.ex" <|> " => suggestions : ['«\xa0', '“']
65 Il manque un espace. => Le script est donné avec deux fichiers exemple "noms.ex" et "utilisateurs.ex" <|> ex => suggestions : [' ex']
65 Guillemets typographiques fermants. => Le script est donné avec deux fichiers exemple "noms.ex" et "utilisateurs.ex" <|> " => suggestions : ['\xa0»', '”']

78 Mot inconnu : MySQL => On peut éditer le fichier de configuration si l'on veut créer des entrées Samba, MySQL, PostGres, un espace web personnel, modifier la longueur des noms d'utilisateurs ou les mots de passe générés. <|> mysql
78 Mot inconnu : PostGres => On peut éditer le fichier de configuration si l'on veut créer des entrées Samba, MySQL, PostGres, un espace web personnel, modifier la longueur des noms d'utilisateurs ou les mots de passe générés. <|> postgres

92 Mot inconnu : Evolution => Il faudrait créer automatiquement une configuration de Evolution pour accéder à cette boîte "mbox". <|> evolution
92 Guillemets typographiques ouvrants. => Il faudrait créer automatiquement une configuration de Evolution pour accéder à cette boîte "mbox". <|> " => suggestions : ['«\xa0', '“']
92 Mot inconnu : mbox => Il faudrait créer automatiquement une configuration de Evolution pour accéder à cette boîte "mbox". <|> mbox
92 Guillemets typographiques fermants. => Il faudrait créer automatiquement une configuration de Evolution pour accéder à cette boîte "mbox". <|> " => suggestions : ['\xa0»', '”']
94 Mot inconnu : messagerie_intranet => Pour le moment, il faut faire cette opération à la main, voir l'article : [[messagerie_intranet]]. <|> messagerie_intranet
