
5 Mot inconnu : DAViCal => ====== DAViCal, serveur de calendrier CalDAV ====== | davical
5 Mot inconnu : CalDAV => ====== DAViCal, serveur de calendrier CalDAV ====== | caldav

9 Mot inconnu : CalDAV => Un nombre croissant de gestionnaire d'agenda supporte le protocole CalDAV, par exemple Mozilla Calendar (Sunbird / Lightning), Evolution, Mulberry, Chandler, Rainlendar Pro et divers autres produits propriétaire tels que Apple iCal et iPhone.  | caldav
9 Mot inconnu : Calendar => Un nombre croissant de gestionnaire d'agenda supporte le protocole CalDAV, par exemple Mozilla Calendar (Sunbird / Lightning), Evolution, Mulberry, Chandler, Rainlendar Pro et divers autres produits propriétaire tels que Apple iCal et iPhone.  | calendar
9 Mot inconnu : Sunbird => Un nombre croissant de gestionnaire d'agenda supporte le protocole CalDAV, par exemple Mozilla Calendar (Sunbird / Lightning), Evolution, Mulberry, Chandler, Rainlendar Pro et divers autres produits propriétaire tels que Apple iCal et iPhone.  | sunbird
9 Mot inconnu : Lightning => Un nombre croissant de gestionnaire d'agenda supporte le protocole CalDAV, par exemple Mozilla Calendar (Sunbird / Lightning), Evolution, Mulberry, Chandler, Rainlendar Pro et divers autres produits propriétaire tels que Apple iCal et iPhone.  | lightning
9 Mot inconnu : Evolution => Un nombre croissant de gestionnaire d'agenda supporte le protocole CalDAV, par exemple Mozilla Calendar (Sunbird / Lightning), Evolution, Mulberry, Chandler, Rainlendar Pro et divers autres produits propriétaire tels que Apple iCal et iPhone.  | evolution
9 Mot inconnu : Mulberry => Un nombre croissant de gestionnaire d'agenda supporte le protocole CalDAV, par exemple Mozilla Calendar (Sunbird / Lightning), Evolution, Mulberry, Chandler, Rainlendar Pro et divers autres produits propriétaire tels que Apple iCal et iPhone.  | mulberry
9 Mot inconnu : Chandler => Un nombre croissant de gestionnaire d'agenda supporte le protocole CalDAV, par exemple Mozilla Calendar (Sunbird / Lightning), Evolution, Mulberry, Chandler, Rainlendar Pro et divers autres produits propriétaire tels que Apple iCal et iPhone.  | chandler
9 Mot inconnu : Rainlendar => Un nombre croissant de gestionnaire d'agenda supporte le protocole CalDAV, par exemple Mozilla Calendar (Sunbird / Lightning), Evolution, Mulberry, Chandler, Rainlendar Pro et divers autres produits propriétaire tels que Apple iCal et iPhone.  | rainlendar
9 Mot inconnu : iCal => Un nombre croissant de gestionnaire d'agenda supporte le protocole CalDAV, par exemple Mozilla Calendar (Sunbird / Lightning), Evolution, Mulberry, Chandler, Rainlendar Pro et divers autres produits propriétaire tels que Apple iCal et iPhone.  | ical
9 Mot inconnu : iPhone => Un nombre croissant de gestionnaire d'agenda supporte le protocole CalDAV, par exemple Mozilla Calendar (Sunbird / Lightning), Evolution, Mulberry, Chandler, Rainlendar Pro et divers autres produits propriétaire tels que Apple iCal et iPhone.  | iphone
9 Espace(s) en fin de ligne à supprimer. => Un nombre croissant de gestionnaire d'agenda supporte le protocole CalDAV, par exemple Mozilla Calendar (Sunbird / Lightning), Evolution, Mulberry, Chandler, Rainlendar Pro et divers autres produits propriétaire tels que Apple iCal et iPhone.  |   => suggestions : ['']
15 Mot inconnu : postgresql => Il faudra sans doute aussi installer le paquet **[[apt>postgresql]]**. | postgresql

19 Mot inconnu : postgresql => ==== Configuration de postgresql ===== | postgresql

21 Mot inconnu : DAViCal => DAViCal utilise une base de données SQL, sous PostgreSQL. | davical
21 Mot inconnu : PostgreSQL => DAViCal utilise une base de données SQL, sous PostgreSQL. | postgresql

23 Mot inconnu : PostgreSQL => Pour se connecter à PostgreSQL : | postgresql

27 Mot inconnu : PostgreSQL => Création du mot de passe administrateur de PostgreSQL : | postgresql

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  puis taper |   => suggestions : ['']

44 Mot inconnu : PostgreSQL => pour sortir de la console PostgreSQL. | postgresql

50 Mot inconnu : all => local all all trust | all
50 Doublon. => local all all trust | all all => suggestions : ['all']
50 Mot inconnu : all => local all all trust | all

51 Mot inconnu : davical => local davical davical_dba trust | davical
51 Mot inconnu : davical_dba => local davical davical_dba trust | davical_dba

52 Mot inconnu : davical => local davical davical_app trust | davical
52 Mot inconnu : davical_app => local davical davical_app trust | davical_app

53 Mot inconnu : host => host davical davical_app 127.0.0.1/32 trust | host
53 Mot inconnu : davical => host davical davical_app 127.0.0.1/32 trust | davical
53 Mot inconnu : davical_app => host davical davical_app 127.0.0.1/32 trust | davical_app

