
5 Mot inconnu : G3-3779 [[13:20]] => ======  Dell G3-3779 ====== <|> g3-3779
9 Il manque les traits d’union. [[84:96]] => C'est une solution de facilité pour la prise en charge complète de nVidia Optimus : c'est à dire la commutation automatique entre carte Intel intégrée et carte nVidia additionnelle selon les besoins en autonomie/performance. <|> c'est à dire => suggestions : c’est-à-dire
11 Il manque un espace avant la parenthèse. [[194:195]] => Par défaut, seul le disque SSD est utilisé, avec une partition EFI, une partition avec le logiciel Dell de réinitialisation, une partition pour tout Ubuntu 16.04.3, incluant le dossier personnel((dossier /home)) et enfin, une partition swap de 16 Go environ.\\ <|> ( => suggestions :  (
14 Il manque un espace avant la parenthèse. [[192:193]] => Dès le premier démarrage, il est proposé de créer une **clé USB de récupération** : vivement recommandé, surtout si vous souhaitez changer de variante, de version ou refaire le partitionnement((per exemple pour créer une partition /home dédiée)).\\ <|> ( => suggestions :  (
14 Mot inconnu : per [[194:197]] => Dès le premier démarrage, il est proposé de créer une **clé USB de récupération** : vivement recommandé, surtout si vous souhaitez changer de variante, de version ou refaire le partitionnement((per exemple pour créer une partition /home dédiée)).\\ <|> per

47 Mot inconnu : gpu-manager [[53:64]] => En mode console, le chargement boucle sur le service gpu-manager. <|> gpu-manager
51 Mot inconnu : xxx [[36:39]] =>   * Lorsque le menu Grub ou l'icône xxx s'affiche, appuyer sur la touche Echap pour afficher le menu grub. <|> xxx
51 Mot inconnu : Echap [[73:78]] =>   * Lorsque le menu Grub ou l'icône xxx s'affiche, appuyer sur la touche Echap pour afficher le menu grub. <|> echap
52 Mot inconnu : Try [[66:69]] =>   * Sur le titre //Essayer Kubuntu sans installer//((En anglais //Try Kubuntu without installing//)) appuyer sur le touche 'e'. <|> try
52 Mot inconnu : without [[78:85]] =>   * Sur le titre //Essayer Kubuntu sans installer//((En anglais //Try Kubuntu without installing//)) appuyer sur le touche 'e'. <|> without
52 Mot inconnu : installing [[86:96]] =>   * Sur le titre //Essayer Kubuntu sans installer//((En anglais //Try Kubuntu without installing//)) appuyer sur le touche 'e'. <|> installing
52 Accord de genre erroné : « touche » est féminin. [[113:115]] =>   * Sur le titre //Essayer Kubuntu sans installer//((En anglais //Try Kubuntu without installing//)) appuyer sur le touche 'e'. <|> le => suggestions : la
52 Accord de genre erroné : « le » est un déterminant masculin. [[116:122]] =>   * Sur le titre //Essayer Kubuntu sans installer//((En anglais //Try Kubuntu without installing//)) appuyer sur le touche 'e'. <|> touche => suggestions : touché
