
2 Mot inconnu : The [[33:36]] => ====== Dépôts pour Ubuntu 16.04 (The Xenial Xerus) ====== <|> the
2 Mot inconnu : Xerus [[44:49]] => ====== Dépôts pour Ubuntu 16.04 (The Xenial Xerus) ====== <|> xerus

14 Espace(s) en fin de ligne à supprimer. [[47:48]] => ===== Dépôts officiels activés par défaut =====  <|>   => suggestions : ['']

16 Mot inconnu : Restricted [[20:30]] => ==== Dépôts Main et Restricted ==== <|> restricted

20 S’il s’agit d’un adjectif, ne mettez pas de majuscule. [[12:20]] => == Serveurs Français == <|> français => suggestions : ['français']

22 Mot inconnu : deb [[0:3]] => deb http://fr.archive.ubuntu.com/ubuntu/ xenial main restricted <|> deb
22 Mot inconnu : restricted [[53:63]] => deb http://fr.archive.ubuntu.com/ubuntu/ xenial main restricted <|> restricted

23 Mot inconnu : deb [[0:3]] => deb http://security.ubuntu.com/ubuntu xenial-security main restricted <|> deb
23 Mot inconnu : xenial-security [[38:53]] => deb http://security.ubuntu.com/ubuntu xenial-security main restricted <|> xenial-security
23 Mot inconnu : restricted [[59:69]] => deb http://security.ubuntu.com/ubuntu xenial-security main restricted <|> restricted

24 Mot inconnu : deb [[0:3]] => deb http://fr.archive.ubuntu.com/ubuntu/ xenial-updates main restricted <|> deb
24 Mot inconnu : xenial-updates [[41:55]] => deb http://fr.archive.ubuntu.com/ubuntu/ xenial-updates main restricted <|> xenial-updates
24 Mot inconnu : restricted [[61:71]] => deb http://fr.archive.ubuntu.com/ubuntu/ xenial-updates main restricted <|> restricted

26 Mot inconnu : apt-get [[73:80]] => # Dépôts de sources (uniquement utiles pour télécharger les sources avec apt-get source. Dans ce cas, enlever les #) <|> apt-get

27 Mot inconnu : deb-src [[2:9]] => # deb-src http://fr.archive.ubuntu.com/ubuntu/ xenial main restricted <|> deb-src
27 Mot inconnu : restricted [[59:69]] => # deb-src http://fr.archive.ubuntu.com/ubuntu/ xenial main restricted <|> restricted

28 Mot inconnu : deb-src [[2:9]] => # deb-src http://security.ubuntu.com/ubuntu xenial-security main restricted <|> deb-src
28 Mot inconnu : xenial-security [[44:59]] => # deb-src http://security.ubuntu.com/ubuntu xenial-security main restricted <|> xenial-security
28 Mot inconnu : restricted [[65:75]] => # deb-src http://security.ubuntu.com/ubuntu xenial-security main restricted <|> restricted

29 Mot inconnu : deb-src [[2:9]] => # deb-src http://fr.archive.ubuntu.com/ubuntu/ xenial-updates main restricted <|> deb-src
29 Mot inconnu : xenial-updates [[47:61]] => # deb-src http://fr.archive.ubuntu.com/ubuntu/ xenial-updates main restricted <|> xenial-updates
29 Mot inconnu : restricted [[67:77]] => # deb-src http://fr.archive.ubuntu.com/ubuntu/ xenial-updates main restricted <|> restricted

32 S’il s’agit d’un adjectif, ne mettez pas de majuscule. [[12:18]] => == Serveurs Belges == <|> belges => suggestions : ['belges']

34 Mot inconnu : deb [[0:3]] => deb http://be.archive.ubuntu.com/ubuntu/ xenial main restricted <|> deb
34 Mot inconnu : restricted [[53:63]] => deb http://be.archive.ubuntu.com/ubuntu/ xenial main restricted <|> restricted

35 Mot inconnu : deb [[0:3]] => deb http://security.ubuntu.com/ubuntu xenial-security main restricted <|> deb
35 Mot inconnu : xenial-security [[38:53]] => deb http://security.ubuntu.com/ubuntu xenial-security main restricted <|> xenial-security
35 Mot inconnu : restricted [[59:69]] => deb http://security.ubuntu.com/ubuntu xenial-security main restricted <|> restricted

36 Mot inconnu : deb [[0:3]] => deb http://be.archive.ubuntu.com/ubuntu/ xenial-updates main restricted <|> deb
36 Mot inconnu : xenial-updates [[41:55]] => deb http://be.archive.ubuntu.com/ubuntu/ xenial-updates main restricted <|> xenial-updates
36 Mot inconnu : restricted [[61:71]] => deb http://be.archive.ubuntu.com/ubuntu/ xenial-updates main restricted <|> restricted

38 Mot inconnu : apt-get [[73:80]] => # Dépôts de sources (uniquement utiles pour télécharger les sources avec apt-get source. Dans ce cas, enlever les #) <|> apt-get

39 Mot inconnu : deb-src [[2:9]] => # deb-src http://be.archive.ubuntu.com/ubuntu/ xenial main restricted <|> deb-src
39 Mot inconnu : restricted [[59:69]] => # deb-src http://be.archive.ubuntu.com/ubuntu/ xenial main restricted <|> restricted

40 Mot inconnu : deb-src [[2:9]] => # deb-src http://security.ubuntu.com/ubuntu xenial-security main restricted <|> deb-src
40 Mot inconnu : xenial-security [[44:59]] => # deb-src http://security.ubuntu.com/ubuntu xenial-security main restricted <|> xenial-security
40 Mot inconnu : restricted [[65:75]] => # deb-src http://security.ubuntu.com/ubuntu xenial-security main restricted <|> restricted

41 Mot inconnu : deb-src [[2:9]] => # deb-src http://be.archive.ubuntu.com/ubuntu/ xenial-updates main restricted <|> deb-src
41 Mot inconnu : xenial-updates [[47:61]] => # deb-src http://be.archive.ubuntu.com/ubuntu/ xenial-updates main restricted <|> xenial-updates
41 Mot inconnu : restricted [[67:77]] => # deb-src http://be.archive.ubuntu.com/ubuntu/ xenial-updates main restricted <|> restricted

44 S’il s’agit d’un adjectif, ne mettez pas de majuscule. [[12:19]] => == Serveurs Suisses == <|> suisses => suggestions : ['suisses']

46 Mot inconnu : deb [[0:3]] => deb http://ch.archive.ubuntu.com/ubuntu/ xenial main restricted <|> deb
46 Mot inconnu : restricted [[53:63]] => deb http://ch.archive.ubuntu.com/ubuntu/ xenial main restricted <|> restricted

47 Mot inconnu : deb [[0:3]] => deb http://security.ubuntu.com/ubuntu xenial-security main restricted <|> deb
47 Mot inconnu : xenial-security [[38:53]] => deb http://security.ubuntu.com/ubuntu xenial-security main restricted <|> xenial-security
47 Mot inconnu : restricted [[59:69]] => deb http://security.ubuntu.com/ubuntu xenial-security main restricted <|> restricted

48 Mot inconnu : deb [[0:3]] => deb http://ch.archive.ubuntu.com/ubuntu/ xenial-updates main restricted <|> deb
48 Mot inconnu : xenial-updates [[41:55]] => deb http://ch.archive.ubuntu.com/ubuntu/ xenial-updates main restricted <|> xenial-updates
48 Mot inconnu : restricted [[61:71]] => deb http://ch.archive.ubuntu.com/ubuntu/ xenial-updates main restricted <|> restricted

50 Mot inconnu : apt-get [[73:80]] => # Dépôts de sources (uniquement utiles pour télécharger les sources avec apt-get source. Dans ce cas, enlever les #) <|> apt-get

51 Mot inconnu : deb-src [[2:9]] => # deb-src http://ch.archive.ubuntu.com/ubuntu/ xenial main restricted <|> deb-src
51 Mot inconnu : restricted [[59:69]] => # deb-src http://ch.archive.ubuntu.com/ubuntu/ xenial main restricted <|> restricted

52 Mot inconnu : deb-src [[2:9]] => # deb-src http://security.ubuntu.com/ubuntu xenial-security main restricted <|> deb-src
52 Mot inconnu : xenial-security [[44:59]] => # deb-src http://security.ubuntu.com/ubuntu xenial-security main restricted <|> xenial-security
52 Mot inconnu : restricted [[65:75]] => # deb-src http://security.ubuntu.com/ubuntu xenial-security main restricted <|> restricted

53 Mot inconnu : deb-src [[2:9]] => # deb-src http://ch.archive.ubuntu.com/ubuntu/ xenial-updates main restricted <|> deb-src
53 Mot inconnu : xenial-updates [[47:61]] => # deb-src http://ch.archive.ubuntu.com/ubuntu/ xenial-updates main restricted <|> xenial-updates
53 Mot inconnu : restricted [[67:77]] => # deb-src http://ch.archive.ubuntu.com/ubuntu/ xenial-updates main restricted <|> restricted

56 S’il s’agit d’un adjectif, ne mettez pas de majuscule. [[12:21]] => == Serveurs Canadiens == <|> canadiens => suggestions : ['canadiens']

58 Mot inconnu : deb [[0:3]] => deb http://ca.archive.ubuntu.com/ubuntu/ xenial main restricted <|> deb
58 Mot inconnu : restricted [[53:63]] => deb http://ca.archive.ubuntu.com/ubuntu/ xenial main restricted <|> restricted

59 Mot inconnu : deb [[0:3]] => deb http://security.ubuntu.com/ubuntu xenial-security main restricted <|> deb
59 Mot inconnu : xenial-security [[38:53]] => deb http://security.ubuntu.com/ubuntu xenial-security main restricted <|> xenial-security
59 Mot inconnu : restricted [[59:69]] => deb http://security.ubuntu.com/ubuntu xenial-security main restricted <|> restricted

60 Mot inconnu : deb [[0:3]] => deb http://ca.archive.ubuntu.com/ubuntu/ xenial-updates main restricted <|> deb
60 Mot inconnu : xenial-updates [[41:55]] => deb http://ca.archive.ubuntu.com/ubuntu/ xenial-updates main restricted <|> xenial-updates
60 Mot inconnu : restricted [[61:71]] => deb http://ca.archive.ubuntu.com/ubuntu/ xenial-updates main restricted <|> restricted

62 Mot inconnu : apt-get [[73:80]] => # Dépôts de sources (uniquement utiles pour télécharger les sources avec apt-get source. Dans ce cas, enlever les #) <|> apt-get

63 Mot inconnu : deb-src [[2:9]] => # deb-src http://ca.archive.ubuntu.com/ubuntu/ xenial main restricted <|> deb-src
