1 Mot inconnu : GlobalSat [[7:16]] => ====== GlobalSat DG-100 ====== <|> globalsat
5 Espace(s) en fin de ligne à supprimer. [[38:39]] => Ajouter dans le fichier /etc/modules :  <|>   => suggestions : ['']

14 Mot inconnu : gpx [[53:56]] => La première récupère les points dans le fichier test.gpx <|> gpx

23 Mot inconnu : kml [[52:55]] => Voici ma commande pour récupérer la trace au format kml (Google Earth) <|> kml
23 Mot inconnu : Earth [[64:69]] => Voici ma commande pour récupérer la trace au format kml (Google Earth) <|> earth

29 Guillemets typographiques ouvrants. [[53:54]] => Une fois installé, vous retrouverez ce logiciel dans "Application" -> "Accessoires"</note> <|> " => suggestions : ['«\xa0', '“']
29 Guillemets typographiques fermants. [[65:66]] => Une fois installé, vous retrouverez ce logiciel dans "Application" -> "Accessoires"</note> <|> " => suggestions : ['\xa0»', '”']
29 Guillemets typographiques ouvrants. [[70:71]] => Une fois installé, vous retrouverez ce logiciel dans "Application" -> "Accessoires"</note> <|> " => suggestions : ['«\xa0', '“']
29 Guillemets typographiques fermants. [[82:83]] => Une fois installé, vous retrouverez ce logiciel dans "Application" -> "Accessoires"</note> <|> " => suggestions : ['\xa0»', '”']
