9 Il manque un espace. => Idéal pour « prendre » des cours ou des conférences, il sera aussi un très bon outil pour des interviews et des prises de son en vue de montages vidéos comme dans le cadre de ce [[http://fr.lprod.org/wiki/doku.php/ressources:sons:bibliotheque_sons|projet de bibliothèque de sons libres]]. | bibliotheque_sons => suggestions : [' bibliotheque_sons']
9 Mot inconnu : bibliotheque_sons => Idéal pour « prendre » des cours ou des conférences, il sera aussi un très bon outil pour des interviews et des prises de son en vue de montages vidéos comme dans le cadre de ce [[http://fr.lprod.org/wiki/doku.php/ressources:sons:bibliotheque_sons|projet de bibliothèque de sons libres]]. | bibliotheque_sons

18 Mot inconnu : Olympus => ==== Olympus ==== | olympus

20 Espace(s) en fin de ligne à supprimer. => Bien que cette marque ne fasse pas beaucoup d'effort envers GNU/Linux, certains modèles fonctionnent très bien sous Ubuntu.  |   => suggestions : ['']
22 Mot inconnu : REC => Ces appareils disposent en plus de **2 prises mini-jack 3,5 mm** (= prise jack standard des cartes son), une en sortie pour un casque, et une en **entrée (REC) pour ajouter un microphone externe** qui améliore grandement la prise de son. | rec

24 Mot inconnu : WS => === Série WS === | ws

33 Mot inconnu : usb => Le transfert des fichiers sur ces modèles est l'équivalent d'une clé usb, aucun pilote n'est nécessaire, c'est du USB mass storage, l'information est indiquée sur la boîte de vente avec les mentions « aucun pilote nécessaire » ou « USB mass-storage » ou « UMS ». | usb
33 Mot inconnu : mass => Le transfert des fichiers sur ces modèles est l'équivalent d'une clé usb, aucun pilote n'est nécessaire, c'est du USB mass storage, l'information est indiquée sur la boîte de vente avec les mentions « aucun pilote nécessaire » ou « USB mass-storage » ou « UMS ». | mass
33 Mot inconnu : storage => Le transfert des fichiers sur ces modèles est l'équivalent d'une clé usb, aucun pilote n'est nécessaire, c'est du USB mass storage, l'information est indiquée sur la boîte de vente avec les mentions « aucun pilote nécessaire » ou « USB mass-storage » ou « UMS ». | storage
33 Mot inconnu : mass-storage => Le transfert des fichiers sur ces modèles est l'équivalent d'une clé usb, aucun pilote n'est nécessaire, c'est du USB mass storage, l'information est indiquée sur la boîte de vente avec les mentions « aucun pilote nécessaire » ou « USB mass-storage » ou « UMS ». | mass-storage
33 Mot inconnu : UMS => Le transfert des fichiers sur ces modèles est l'équivalent d'une clé usb, aucun pilote n'est nécessaire, c'est du USB mass storage, l'information est indiquée sur la boîte de vente avec les mentions « aucun pilote nécessaire » ou « USB mass-storage » ou « UMS ». | ums

35 Mot inconnu : WMA => Les appareils enregistrent en **WMA**, format propriétaire, qui pourra ensuite être facilement converti en wav, MP3, ou en **format libre OGG Vorbis** avec des logiciels comme [[soundkonverter]] ou [[xcfa]]. | wma
35 Mot inconnu : soundkonverter => Les appareils enregistrent en **WMA**, format propriétaire, qui pourra ensuite être facilement converti en wav, MP3, ou en **format libre OGG Vorbis** avec des logiciels comme [[soundkonverter]] ou [[xcfa]]. | soundkonverter
35 Mot inconnu : xcfa => Les appareils enregistrent en **WMA**, format propriétaire, qui pourra ensuite être facilement converti en wav, MP3, ou en **format libre OGG Vorbis** avec des logiciels comme [[soundkonverter]] ou [[xcfa]]. | xcfa

37 Mot inconnu : VN => === Série VN === | vn

39 Mot inconnu : VN => Les appareils de la série **VN** semblent plus difficiles à faire fonctionner comme en témoignent les forums de discussion (voir en bas section « [[#Liens]] »). | vn

45 Mot inconnu : Philips => ==== Philips ==== | philips

49 Mot inconnu : Philips => Il existe aujourd'hui (fin 2010) une gamme de dictaphones enregistreurs numériques Philips dont la doc indique clairement qu'ils sont plug-and-play avec Linux : exemple Philip's Voice Tracer LFH0612, LFH 615, LFH 646, LFH862 | philips
49 Mot inconnu : plug-and-play => Il existe aujourd'hui (fin 2010) une gamme de dictaphones enregistreurs numériques Philips dont la doc indique clairement qu'ils sont plug-and-play avec Linux : exemple Philip's Voice Tracer LFH0612, LFH 615, LFH 646, LFH862 | plug-and-play
49 Mot inconnu : Philip's => Il existe aujourd'hui (fin 2010) une gamme de dictaphones enregistreurs numériques Philips dont la doc indique clairement qu'ils sont plug-and-play avec Linux : exemple Philip's Voice Tracer LFH0612, LFH 615, LFH 646, LFH862 | philip's
49 Mot inconnu : Voice => Il existe aujourd'hui (fin 2010) une gamme de dictaphones enregistreurs numériques Philips dont la doc indique clairement qu'ils sont plug-and-play avec Linux : exemple Philip's Voice Tracer LFH0612, LFH 615, LFH 646, LFH862 | voice
49 Mot inconnu : LFH0612 => Il existe aujourd'hui (fin 2010) une gamme de dictaphones enregistreurs numériques Philips dont la doc indique clairement qu'ils sont plug-and-play avec Linux : exemple Philip's Voice Tracer LFH0612, LFH 615, LFH 646, LFH862 | lfh0612
49 Mot inconnu : LFH => Il existe aujourd'hui (fin 2010) une gamme de dictaphones enregistreurs numériques Philips dont la doc indique clairement qu'ils sont plug-and-play avec Linux : exemple Philip's Voice Tracer LFH0612, LFH 615, LFH 646, LFH862 | lfh
49 Mot inconnu : LFH => Il existe aujourd'hui (fin 2010) une gamme de dictaphones enregistreurs numériques Philips dont la doc indique clairement qu'ils sont plug-and-play avec Linux : exemple Philip's Voice Tracer LFH0612, LFH 615, LFH 646, LFH862 | lfh
49 Mot inconnu : LFH862 => Il existe aujourd'hui (fin 2010) une gamme de dictaphones enregistreurs numériques Philips dont la doc indique clairement qu'ils sont plug-and-play avec Linux : exemple Philip's Voice Tracer LFH0612, LFH 615, LFH 646, LFH862 | lfh862

52 Mot inconnu : ICD-UX70 => Les Sony ICD-UX70 et Sony ICD-UX80 semblent bien fonctionner sous ubuntu. | icd-ux70
52 Mot inconnu : ICD-UX80 => Les Sony ICD-UX70 et Sony ICD-UX80 semblent bien fonctionner sous ubuntu. | icd-ux80

57 Mot inconnu : Olympus => ==== Olympus ==== | olympus

70 S’il s’agit d’une action que le sujet sait accomplir, le verbe devrait être à l’infinitif. => Pour en savoir plus lisez cette [[http://www.lprod.org/wiki/doku.php/matos:dictaphone#utiliser_un_micro-externe|documentation]]. | lisez => suggestions : ['lire']
87 Mot inconnu : Bellegarde => //Contributeurs : [[utilisateurs:bellegarde|Laurent Bellegarde]].// | bellegarde
