
3 Mot inconnu : Dictconv => ====== Dictconv ====== | dictconv

5 Mot inconnu : Dictconv => Dictconv est une application pour convertir un format de fichier de dictionnaire en un autre format.\\ | dictconv

6 Mot inconnu : ktranslator => Il a été codé par l'auteur de ktranslator et de wordtrans.\\ | ktranslator
6 Mot inconnu : wordtrans => Il a été codé par l'auteur de ktranslator et de wordtrans.\\ | wordtrans

14 Mot inconnu : Babylon => À l'heure actuelle (version 0.2), il convertit des dictionnaires de Babylon, Freedict, Sdictionary et Stardict vers les dictionnaires de DICT, plain text et StarDict. | babylon
14 Mot inconnu : Freedict => À l'heure actuelle (version 0.2), il convertit des dictionnaires de Babylon, Freedict, Sdictionary et Stardict vers les dictionnaires de DICT, plain text et StarDict. | freedict
14 Mot inconnu : Sdictionary => À l'heure actuelle (version 0.2), il convertit des dictionnaires de Babylon, Freedict, Sdictionary et Stardict vers les dictionnaires de DICT, plain text et StarDict. | sdictionary
14 Mot inconnu : Stardict => À l'heure actuelle (version 0.2), il convertit des dictionnaires de Babylon, Freedict, Sdictionary et Stardict vers les dictionnaires de DICT, plain text et StarDict. | stardict
14 Mot inconnu : DICT => À l'heure actuelle (version 0.2), il convertit des dictionnaires de Babylon, Freedict, Sdictionary et Stardict vers les dictionnaires de DICT, plain text et StarDict. | dict
14 Mot inconnu : text => À l'heure actuelle (version 0.2), il convertit des dictionnaires de Babylon, Freedict, Sdictionary et Stardict vers les dictionnaires de DICT, plain text et StarDict. | text
14 Mot inconnu : StarDict => À l'heure actuelle (version 0.2), il convertit des dictionnaires de Babylon, Freedict, Sdictionary et Stardict vers les dictionnaires de DICT, plain text et StarDict. | stardict

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

35 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => On prend pour exemple un dictionnaire au format .bgl à cette [[http://www.babylon.com/gloss/glossaries.php|adresse]].\\ |  . => suggestions : ['. ', '.']
35 Mot inconnu : bgl => On prend pour exemple un dictionnaire au format .bgl à cette [[http://www.babylon.com/gloss/glossaries.php|adresse]].\\ | bgl

36 Mot inconnu : Babylon_English_French => Babylon_English_French.BGL que l'on télécharge sur le bureau. | babylon_english_french
36 Mot inconnu : BGL => Babylon_English_French.BGL que l'on télécharge sur le bureau. | bgl

48 Guillemets typographiques ouvrants. => On crée un nouveau répertoire par exemple "babylon_eng_fr", on les place dedans et on met celui-ci dans le répertoire **dic** de stardict. | " => suggestions : ['«\xa0', '“']
48 Mot inconnu : babylon_eng_fr => On crée un nouveau répertoire par exemple "babylon_eng_fr", on les place dedans et on met celui-ci dans le répertoire **dic** de stardict. | babylon_eng_fr
48 Guillemets typographiques fermants. => On crée un nouveau répertoire par exemple "babylon_eng_fr", on les place dedans et on met celui-ci dans le répertoire **dic** de stardict. | " => suggestions : ['\xa0»', '”']
48 Mot inconnu : dic => On crée un nouveau répertoire par exemple "babylon_eng_fr", on les place dedans et on met celui-ci dans le répertoire **dic** de stardict. | dic
48 Mot inconnu : stardict => On crée un nouveau répertoire par exemple "babylon_eng_fr", on les place dedans et on met celui-ci dans le répertoire **dic** de stardict. | stardict

50 Mot inconnu : StarDict => En convertissant vers StarDict et DICT, le fichier .dict n'est pas compressé. Si vous voulez compresser ce fichier, utilisez le programme **dictzip**. Après vous êtres mis dans le bon dossier, par exemple : | stardict
50 Mot inconnu : DICT => En convertissant vers StarDict et DICT, le fichier .dict n'est pas compressé. Si vous voulez compresser ce fichier, utilisez le programme **dictzip**. Après vous êtres mis dans le bon dossier, par exemple : | dict
50 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => En convertissant vers StarDict et DICT, le fichier .dict n'est pas compressé. Si vous voulez compresser ce fichier, utilisez le programme **dictzip**. Après vous êtres mis dans le bon dossier, par exemple : |  . => suggestions : ['. ', '.']
50 Mot inconnu : dict => En convertissant vers StarDict et DICT, le fichier .dict n'est pas compressé. Si vous voulez compresser ce fichier, utilisez le programme **dictzip**. Après vous êtres mis dans le bon dossier, par exemple : | dict
50 Mot inconnu : dictzip => En convertissant vers StarDict et DICT, le fichier .dict n'est pas compressé. Si vous voulez compresser ce fichier, utilisez le programme **dictzip**. Après vous êtres mis dans le bon dossier, par exemple : | dictzip

57 Accord de genre erroné avec « conversion ». => ====Procédé par conversion indirect==== | indirect => suggestions : ['indirecte']

68 Guillemets typographiques ouvrants. => Il reste les caractères du type "œ" qui n'ont pas été correctement convertis. | " => suggestions : ['«\xa0', '“']
68 Guillemets typographiques fermants. => Il reste les caractères du type "œ" qui n'ont pas été correctement convertis. | " => suggestions : ['\xa0»', '”']

71 Guillemets typographiques ouvrants. => Il vaut mieux faire une relecture "en diagonale" pour retrouver d'autres erreurs du type quelques lettres mises en majuscule "ÉE" pour ée, rarement une apostrophe  sous forme , des mots mis en majuscule quand ils commencent par un "à". Et quelques erreurs dans les articles.\\ | " => suggestions : ['«\xa0', '“']
71 Guillemets typographiques fermants. => Il vaut mieux faire une relecture "en diagonale" pour retrouver d'autres erreurs du type quelques lettres mises en majuscule "ÉE" pour ée, rarement une apostrophe  sous forme , des mots mis en majuscule quand ils commencent par un "à". Et quelques erreurs dans les articles.\\ | " => suggestions : ['\xa0»', '”']
71 Guillemets typographiques ouvrants. => Il vaut mieux faire une relecture "en diagonale" pour retrouver d'autres erreurs du type quelques lettres mises en majuscule "ÉE" pour ée, rarement une apostrophe  sous forme , des mots mis en majuscule quand ils commencent par un "à". Et quelques erreurs dans les articles.\\ | " => suggestions : ['«\xa0', '“']
71 Mot inconnu : ÉE => Il vaut mieux faire une relecture "en diagonale" pour retrouver d'autres erreurs du type quelques lettres mises en majuscule "ÉE" pour ée, rarement une apostrophe  sous forme , des mots mis en majuscule quand ils commencent par un "à". Et quelques erreurs dans les articles.\\ | ée
71 Guillemets typographiques fermants. => Il vaut mieux faire une relecture "en diagonale" pour retrouver d'autres erreurs du type quelques lettres mises en majuscule "ÉE" pour ée, rarement une apostrophe  sous forme , des mots mis en majuscule quand ils commencent par un "à". Et quelques erreurs dans les articles.\\ | " => suggestions : ['\xa0»', '”']
71 Mot inconnu : ée => Il vaut mieux faire une relecture "en diagonale" pour retrouver d'autres erreurs du type quelques lettres mises en majuscule "ÉE" pour ée, rarement une apostrophe  sous forme , des mots mis en majuscule quand ils commencent par un "à". Et quelques erreurs dans les articles.\\ | ée
71 Espace(s) surnuméraire(s) à supprimer. => Il vaut mieux faire une relecture "en diagonale" pour retrouver d'autres erreurs du type quelques lettres mises en majuscule "ÉE" pour ée, rarement une apostrophe  sous forme , des mots mis en majuscule quand ils commencent par un "à". Et quelques erreurs dans les articles.\\ |    => suggestions : [' ']
71 Guillemets typographiques ouvrants. => Il vaut mieux faire une relecture "en diagonale" pour retrouver d'autres erreurs du type quelques lettres mises en majuscule "ÉE" pour ée, rarement une apostrophe  sous forme , des mots mis en majuscule quand ils commencent par un "à". Et quelques erreurs dans les articles.\\ | " => suggestions : ['«\xa0', '“']
71 Guillemets typographiques fermants. => Il vaut mieux faire une relecture "en diagonale" pour retrouver d'autres erreurs du type quelques lettres mises en majuscule "ÉE" pour ée, rarement une apostrophe  sous forme , des mots mis en majuscule quand ils commencent par un "à". Et quelques erreurs dans les articles.\\ | " => suggestions : ['\xa0»', '”']
72 Mot inconnu : Australasia => Ex : ligne 33 Australasia, ligne 24 jacobinic, ligne 149605,73577,147429,147257,147346... | australasia
72 Mot inconnu : jacobinic => Ex : ligne 33 Australasia, ligne 24 jacobinic, ligne 149605,73577,147429,147257,147346... | jacobinic
72 Formatage des grands nombres. => Ex : ligne 33 Australasia, ligne 24 jacobinic, ligne 149605,73577,147429,147257,147346... | 149605 => suggestions : ['149\xa0605']
72 Typographie : points de suspension. Utilisez le caractère dédié. => Ex : ligne 33 Australasia, ligne 24 jacobinic, ligne 149605,73577,147429,147257,147346... | ... => suggestions : ['…']

74 Mot inconnu : gedit => On peut pour s'aider afficher les lignes dans les préférences de gedit.\\ | gedit

76 Mot inconnu : text => Pour finir, convertissez le format plain text en format stardict  | text
76 Mot inconnu : stardict => Pour finir, convertissez le format plain text en format stardict  | stardict
76 Espace(s) en fin de ligne à supprimer. => Pour finir, convertissez le format plain text en format stardict  |   => suggestions : ['']

79 Guillemets fermants. => Dans l'onglet compile on indique le chemin du ".dic", on laisse le format tab file en bas et on clique sur build.\\ |  " => suggestions : ['\xa0»', '”']
79 Mot inconnu : dic => Dans l'onglet compile on indique le chemin du ".dic", on laisse le format tab file en bas et on clique sur build.\\ | dic
79 Guillemets typographiques fermants. => Dans l'onglet compile on indique le chemin du ".dic", on laisse le format tab file en bas et on clique sur build.\\ | " => suggestions : ['\xa0»', '”']
79 Mot inconnu : tab => Dans l'onglet compile on indique le chemin du ".dic", on laisse le format tab file en bas et on clique sur build.\\ | tab

80 Guillemets fermants. => S'il y a des erreurs on peut noter les lignes en cause et les rechercher en ouvrant à nouveau le ".dic". On peut corriger "à la main" puis refaire une nouvelle conversion.\\ |  " => suggestions : ['\xa0»', '”']
80 Mot inconnu : dic => S'il y a des erreurs on peut noter les lignes en cause et les rechercher en ouvrant à nouveau le ".dic". On peut corriger "à la main" puis refaire une nouvelle conversion.\\ | dic
80 Guillemets typographiques fermants. => S'il y a des erreurs on peut noter les lignes en cause et les rechercher en ouvrant à nouveau le ".dic". On peut corriger "à la main" puis refaire une nouvelle conversion.\\ | " => suggestions : ['\xa0»', '”']
80 Guillemets typographiques ouvrants. => S'il y a des erreurs on peut noter les lignes en cause et les rechercher en ouvrant à nouveau le ".dic". On peut corriger "à la main" puis refaire une nouvelle conversion.\\ | " => suggestions : ['«\xa0', '“']
80 Guillemets typographiques fermants. => S'il y a des erreurs on peut noter les lignes en cause et les rechercher en ouvrant à nouveau le ".dic". On peut corriger "à la main" puis refaire une nouvelle conversion.\\ | " => suggestions : ['\xa0»', '”']
82 Formatage des grands nombres. => ex : ligne 72621 avec une mauvaise tabulation | 72621 => suggestions : ['72\xa0621']

90 Mot inconnu : sed => Avec sed, on devrait pouvoir aussi gérer les cas particuliers. | sed
94 Mot inconnu : convert-bgl => ## Nom de ce script: convert-bgl | convert-bgl

98 Mot inconnu : root => ## Pour cela, soit il faut lancer ce script en root (c'est risqué), soit faire ceci: | root

99 Mot inconnu : sudo => # sudo chown $USER:$USER /usr/share/stardict/dic/ | sudo
99 Mot inconnu : chown => # sudo chown $USER:$USER /usr/share/stardict/dic/ | chown

101 Mot inconnu : executable => ## Rendre ce script executable avec: | executable

102 Mot inconnu : chmod => # chmod a+x ./convert-bgl | chmod
102 Mot inconnu : convert-bgl => # chmod a+x ./convert-bgl | convert-bgl

104 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => ## stockés les fichiers .BGL et faire: |  . => suggestions : ['. ', '.']
104 Mot inconnu : BGL => ## stockés les fichiers .BGL et faire: | bgl

105 Mot inconnu : convert-bgl => # ./convert-bgl | convert-bgl

107 Mot inconnu : ls => for i in $(ls *.BGL) | ls
107 Mot inconnu : BGL => for i in $(ls *.BGL) | bgl

117 Mot inconnu : done => done | done
124 Mot inconnu : Tartanpion => Contributeur : Tartanpion | tartanpion
