
4 Mot inconnu : Server => ====== Lotus Domino Server ====== | server
9 Mot inconnu : sudo => <note important> **Pré-requis :** Mise à jour du système avec les dernières bibliothèques. Sous ubuntu, sudo apt-get update. Avoir les droits  | sudo
9 Mot inconnu : apt-get => <note important> **Pré-requis :** Mise à jour du système avec les dernières bibliothèques. Sous ubuntu, sudo apt-get update. Avoir les droits  | apt-get
9 Mot inconnu : update => <note important> **Pré-requis :** Mise à jour du système avec les dernières bibliothèques. Sous ubuntu, sudo apt-get update. Avoir les droits  | update
9 Espace(s) en fin de ligne à supprimer. => <note important> **Pré-requis :** Mise à jour du système avec les dernières bibliothèques. Sous ubuntu, sudo apt-get update. Avoir les droits  |   => suggestions : ['']

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **C1SQ1EN - IBM Lotus Domino 8.5 Linux for xSeries English.tar** |    => suggestions : ['']
20 Mot inconnu : C1SQ1EN =>   * **C1SQ1EN - IBM Lotus Domino 8.5 Linux for xSeries English.tar** | c1sq1en
20 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * **C1SQ1EN - IBM Lotus Domino 8.5 Linux for xSeries English.tar** |  -  => suggestions : [' – ', ' — ', ' − ']
20 Mot inconnu : xSeries =>   * **C1SQ1EN - IBM Lotus Domino 8.5 Linux for xSeries English.tar** | xseries
20 Mot inconnu : English =>   * **C1SQ1EN - IBM Lotus Domino 8.5 Linux for xSeries English.tar** | english
20 Mot inconnu : tar =>   * **C1SQ1EN - IBM Lotus Domino 8.5 Linux for xSeries English.tar** | tar

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **C1X5WFR - IBM Lotus Domino 8.5.0 Language Pack for AIX, Solaris, Linux on xSeries, Linux on zSeries French.tar** |    => suggestions : ['']
21 Mot inconnu : C1X5WFR =>   * **C1X5WFR - IBM Lotus Domino 8.5.0 Language Pack for AIX, Solaris, Linux on xSeries, Linux on zSeries French.tar** | c1x5wfr
21 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * **C1X5WFR - IBM Lotus Domino 8.5.0 Language Pack for AIX, Solaris, Linux on xSeries, Linux on zSeries French.tar** |  -  => suggestions : [' – ', ' — ', ' − ']
21 Mot inconnu : Language =>   * **C1X5WFR - IBM Lotus Domino 8.5.0 Language Pack for AIX, Solaris, Linux on xSeries, Linux on zSeries French.tar** | language
21 Mot inconnu : Solaris =>   * **C1X5WFR - IBM Lotus Domino 8.5.0 Language Pack for AIX, Solaris, Linux on xSeries, Linux on zSeries French.tar** | solaris
21 Mot inconnu : xSeries =>   * **C1X5WFR - IBM Lotus Domino 8.5.0 Language Pack for AIX, Solaris, Linux on xSeries, Linux on zSeries French.tar** | xseries
21 Mot inconnu : zSeries =>   * **C1X5WFR - IBM Lotus Domino 8.5.0 Language Pack for AIX, Solaris, Linux on xSeries, Linux on zSeries French.tar** | zseries
21 Mot inconnu : tar =>   * **C1X5WFR - IBM Lotus Domino 8.5.0 Language Pack for AIX, Solaris, Linux on xSeries, Linux on zSeries French.tar** | tar

23 Mot inconnu : __En => **__En mode graphique :__** Clic droit sur l'archive .tar et "Extraire ici". | __en
23 Mot inconnu : __ => **__En mode graphique :__** Clic droit sur l'archive .tar et "Extraire ici". | __
23 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => **__En mode graphique :__** Clic droit sur l'archive .tar et "Extraire ici". |  . => suggestions : ['. ', '.']
23 Mot inconnu : tar => **__En mode graphique :__** Clic droit sur l'archive .tar et "Extraire ici". | tar
23 Guillemets typographiques ouvrants. => **__En mode graphique :__** Clic droit sur l'archive .tar et "Extraire ici". | " => suggestions : ['«\xa0', '“']
23 Guillemets typographiques fermants. => **__En mode graphique :__** Clic droit sur l'archive .tar et "Extraire ici". | " => suggestions : ['\xa0»', '”']

25 Mot inconnu : __En => **__En mode texte :__** | __en
25 Mot inconnu : __ => **__En mode texte :__** | __

29 Guillemets typographiques ouvrants. => <note tip>Il suffit de taper "tar -xvf C1SQ1EN" puis appuyer sur la touche de tabulation pour que le reste du texte soit mis automatiquement</note> | " => suggestions : ['«\xa0', '“']
29 Mot inconnu : tar => <note tip>Il suffit de taper "tar -xvf C1SQ1EN" puis appuyer sur la touche de tabulation pour que le reste du texte soit mis automatiquement</note> | tar
29 Il manque un espace à côté du tiret. => <note tip>Il suffit de taper "tar -xvf C1SQ1EN" puis appuyer sur la touche de tabulation pour que le reste du texte soit mis automatiquement</note> |  - => suggestions : [' – ', ' — ']
29 Mot inconnu : xvf => <note tip>Il suffit de taper "tar -xvf C1SQ1EN" puis appuyer sur la touche de tabulation pour que le reste du texte soit mis automatiquement</note> | xvf
29 Mot inconnu : C1SQ1EN => <note tip>Il suffit de taper "tar -xvf C1SQ1EN" puis appuyer sur la touche de tabulation pour que le reste du texte soit mis automatiquement</note> | c1sq1en
29 Guillemets typographiques fermants. => <note tip>Il suffit de taper "tar -xvf C1SQ1EN" puis appuyer sur la touche de tabulation pour que le reste du texte soit mis automatiquement</note> | " => suggestions : ['\xa0»', '”']
31 Espace(s) en fin de ligne à supprimer. => Voici ce qui doit défiler à l'écran :  |   => suggestions : ['']

33 Mot inconnu : linux => linux/domino/ | linux

34 Mot inconnu : linux => linux/domino/tools/ | linux
34 Mot inconnu : tools => linux/domino/tools/ | tools

35 Mot inconnu : linux => linux/domino/tools/checkminimumos.pl | linux
35 Mot inconnu : tools => linux/domino/tools/checkminimumos.pl | tools
35 Mot inconnu : checkminimumos => linux/domino/tools/checkminimumos.pl | checkminimumos
35 Il manque un espace. => linux/domino/tools/checkminimumos.pl | pl => suggestions : [' pl']

36 Mot inconnu : linux => linux/domino/tools/install.nls | linux
36 Mot inconnu : tools => linux/domino/tools/install.nls | tools
36 Mot inconnu : install => linux/domino/tools/install.nls | install
36 Mot inconnu : nls => linux/domino/tools/install.nls | nls

37 Mot inconnu : linux => linux/domino/tools/PathUtil.pl | linux
37 Mot inconnu : tools => linux/domino/tools/PathUtil.pl | tools
37 Mot inconnu : PathUtil => linux/domino/tools/PathUtil.pl | pathutil
37 Il manque un espace. => linux/domino/tools/PathUtil.pl | pl => suggestions : [' pl']

38 Mot inconnu : linux => linux/domino/tools/MoveExistingRevision.pl | linux
38 Mot inconnu : tools => linux/domino/tools/MoveExistingRevision.pl | tools
38 Mot inconnu : MoveExistingRevision => linux/domino/tools/MoveExistingRevision.pl | moveexistingrevision
38 Il manque un espace. => linux/domino/tools/MoveExistingRevision.pl | pl => suggestions : [' pl']

39 Mot inconnu : linux => linux/domino/tools/checksoftlink.pl | linux
39 Mot inconnu : tools => linux/domino/tools/checksoftlink.pl | tools
39 Mot inconnu : checksoftlink => linux/domino/tools/checksoftlink.pl | checksoftlink
39 Il manque un espace. => linux/domino/tools/checksoftlink.pl | pl => suggestions : [' pl']

40 Mot inconnu : linux => linux/domino/tools/Lsetup.pl | linux
40 Mot inconnu : tools => linux/domino/tools/Lsetup.pl | tools
40 Mot inconnu : Lsetup => linux/domino/tools/Lsetup.pl | lsetup
40 Il manque un espace. => linux/domino/tools/Lsetup.pl | pl => suggestions : [' pl']

41 Mot inconnu : linux => linux/domino/tools/os390_script_full.dat | linux
41 Mot inconnu : tools => linux/domino/tools/os390_script_full.dat | tools
41 Mot inconnu : os390_script_full => linux/domino/tools/os390_script_full.dat | os390_script_full
41 Mot inconnu : dat => linux/domino/tools/os390_script_full.dat | dat

42 Mot inconnu : linux => linux/domino/tools/ShScript.pm | linux
42 Mot inconnu : tools => linux/domino/tools/ShScript.pm | tools
42 Mot inconnu : ShScript => linux/domino/tools/ShScript.pm | shscript
42 Il manque un espace. => linux/domino/tools/ShScript.pm | pm => suggestions : [' pm']

43 Mot inconnu : linux => linux/domino/tools/install.pl | linux
43 Mot inconnu : tools => linux/domino/tools/install.pl | tools
43 Mot inconnu : install => linux/domino/tools/install.pl | install
43 Il manque un espace. => linux/domino/tools/install.pl | pl => suggestions : [' pl']

44 Mot inconnu : linux => linux/domino/tools/install.sh | linux
44 Mot inconnu : tools => linux/domino/tools/install.sh | tools
44 Mot inconnu : install => linux/domino/tools/install.sh | install
44 Mot inconnu : sh => linux/domino/tools/install.sh | sh

45 Mot inconnu : linux => linux/domino/tools/GetUserId.pl | linux
45 Mot inconnu : tools => linux/domino/tools/GetUserId.pl | tools
45 Mot inconnu : GetUserId => linux/domino/tools/GetUserId.pl | getuserid
45 Il manque un espace. => linux/domino/tools/GetUserId.pl | pl => suggestions : [' pl']

46 Mot inconnu : linux => linux/domino/tools/SysCmd.pl | linux
46 Mot inconnu : tools => linux/domino/tools/SysCmd.pl | tools
46 Mot inconnu : SysCmd => linux/domino/tools/SysCmd.pl | syscmd
46 Il manque un espace. => linux/domino/tools/SysCmd.pl | pl => suggestions : [' pl']

47 Mot inconnu : linux => linux/domino/tools/checkos.dat | linux
47 Mot inconnu : tools => linux/domino/tools/checkos.dat | tools
47 Mot inconnu : checkos => linux/domino/tools/checkos.dat | checkos
47 Mot inconnu : dat => linux/domino/tools/checkos.dat | dat

48 Mot inconnu : linux => linux/domino/tools/ChangeDataSubPermissions.pl | linux
48 Mot inconnu : tools => linux/domino/tools/ChangeDataSubPermissions.pl | tools
48 Mot inconnu : ChangeDataSubPermissions => linux/domino/tools/ChangeDataSubPermissions.pl | changedatasubpermissions
48 Il manque un espace. => linux/domino/tools/ChangeDataSubPermissions.pl | pl => suggestions : [' pl']

49 Mot inconnu : linux => linux/domino/tools/CheckOwnerGroup.pl | linux
49 Mot inconnu : tools => linux/domino/tools/CheckOwnerGroup.pl | tools
49 Mot inconnu : CheckOwnerGroup => linux/domino/tools/CheckOwnerGroup.pl | checkownergroup
49 Il manque un espace. => linux/domino/tools/CheckOwnerGroup.pl | pl => suggestions : [' pl']

50 Mot inconnu : linux => linux/domino/tools/PerlUtil.pl | linux
50 Mot inconnu : tools => linux/domino/tools/PerlUtil.pl | tools
50 Mot inconnu : PerlUtil => linux/domino/tools/PerlUtil.pl | perlutil
50 Il manque un espace. => linux/domino/tools/PerlUtil.pl | pl => suggestions : [' pl']

51 Mot inconnu : linux => linux/domino/tools/media.inf | linux
51 Mot inconnu : tools => linux/domino/tools/media.inf | tools
51 Mot inconnu : inf => linux/domino/tools/media.inf | inf

52 Mot inconnu : linux => linux/domino/tools/setup.jar | linux
52 Mot inconnu : tools => linux/domino/tools/setup.jar | tools
52 Mot inconnu : setup => linux/domino/tools/setup.jar | setup
52 Il manque un espace. => linux/domino/tools/setup.jar | jar => suggestions : [' jar']

53 Mot inconnu : linux => linux/domino/tools/InstBE.pl | linux
53 Mot inconnu : tools => linux/domino/tools/InstBE.pl | tools
53 Mot inconnu : InstBE => linux/domino/tools/InstBE.pl | instbe
53 Il manque un espace. => linux/domino/tools/InstBE.pl | pl => suggestions : [' pl']

54 Mot inconnu : linux => linux/domino/tools/tty.nls | linux
54 Mot inconnu : tools => linux/domino/tools/tty.nls | tools
54 Mot inconnu : tty => linux/domino/tools/tty.nls | tty
54 Mot inconnu : nls => linux/domino/tools/tty.nls | nls

55 Mot inconnu : linux => linux/domino/tools/CreateSoftLink.pl | linux
55 Mot inconnu : tools => linux/domino/tools/CreateSoftLink.pl | tools
55 Mot inconnu : CreateSoftLink => linux/domino/tools/CreateSoftLink.pl | createsoftlink
55 Il manque un espace. => linux/domino/tools/CreateSoftLink.pl | pl => suggestions : [' pl']

56 Mot inconnu : linux => linux/domino/tools/ChangeJavaPermissions.pl | linux
56 Mot inconnu : tools => linux/domino/tools/ChangeJavaPermissions.pl | tools
56 Mot inconnu : ChangeJavaPermissions => linux/domino/tools/ChangeJavaPermissions.pl | changejavapermissions
56 Il manque un espace. => linux/domino/tools/ChangeJavaPermissions.pl | pl => suggestions : [' pl']

57 Mot inconnu : linux => linux/domino/tools/checkos.pl | linux
57 Mot inconnu : tools => linux/domino/tools/checkos.pl | tools
57 Mot inconnu : checkos => linux/domino/tools/checkos.pl | checkos
57 Il manque un espace. => linux/domino/tools/checkos.pl | pl => suggestions : [' pl']

58 Mot inconnu : linux => linux/domino/tools/tty.pl | linux
58 Mot inconnu : tools => linux/domino/tools/tty.pl | tools
58 Mot inconnu : tty => linux/domino/tools/tty.pl | tty
58 Il manque un espace. => linux/domino/tools/tty.pl | pl => suggestions : [' pl']

59 Mot inconnu : linux => linux/domino/tools/nui.cfg | linux
59 Mot inconnu : tools => linux/domino/tools/nui.cfg | tools
59 Mot inconnu : cfg => linux/domino/tools/nui.cfg | cfg

60 Mot inconnu : linux => linux/domino/tools/uxrmfile.txt | linux
60 Mot inconnu : tools => linux/domino/tools/uxrmfile.txt | tools
60 Mot inconnu : uxrmfile => linux/domino/tools/uxrmfile.txt | uxrmfile
60 Mot inconnu : txt => linux/domino/tools/uxrmfile.txt | txt

61 Mot inconnu : linux => linux/domino/tools/InstBE.nls | linux
61 Mot inconnu : tools => linux/domino/tools/InstBE.nls | tools
61 Mot inconnu : InstBE => linux/domino/tools/InstBE.nls | instbe
61 Mot inconnu : nls => linux/domino/tools/InstBE.nls | nls

62 Mot inconnu : linux => linux/domino/tools/uxrmfile64.txt | linux
62 Mot inconnu : tools => linux/domino/tools/uxrmfile64.txt | tools
62 Mot inconnu : uxrmfile64 => linux/domino/tools/uxrmfile64.txt | uxrmfile64
62 Mot inconnu : txt => linux/domino/tools/uxrmfile64.txt | txt

63 Mot inconnu : linux => linux/domino/tools/ProcessLangFiles.pl | linux
63 Mot inconnu : tools => linux/domino/tools/ProcessLangFiles.pl | tools
63 Mot inconnu : ProcessLangFiles => linux/domino/tools/ProcessLangFiles.pl | processlangfiles
63 Il manque un espace. => linux/domino/tools/ProcessLangFiles.pl | pl => suggestions : [' pl']

64 Mot inconnu : linux => linux/domino/tools/CdPath.pl | linux
64 Mot inconnu : tools => linux/domino/tools/CdPath.pl | tools
64 Mot inconnu : CdPath => linux/domino/tools/CdPath.pl | cdpath
64 Il manque un espace. => linux/domino/tools/CdPath.pl | pl => suggestions : [' pl']

65 Mot inconnu : linux => linux/domino/tools/GetGroupId.pl | linux
65 Mot inconnu : tools => linux/domino/tools/GetGroupId.pl | tools
65 Mot inconnu : GetGroupId => linux/domino/tools/GetGroupId.pl | getgroupid
65 Il manque un espace. => linux/domino/tools/GetGroupId.pl | pl => suggestions : [' pl']

66 Mot inconnu : linux => linux/domino/tools/AddSolarisDrivers.pl | linux
66 Mot inconnu : tools => linux/domino/tools/AddSolarisDrivers.pl | tools
66 Mot inconnu : AddSolarisDrivers => linux/domino/tools/AddSolarisDrivers.pl | addsolarisdrivers
66 Il manque un espace. => linux/domino/tools/AddSolarisDrivers.pl | pl => suggestions : [' pl']

67 Mot inconnu : linux => linux/domino/tools/CfgData.pm | linux
67 Mot inconnu : tools => linux/domino/tools/CfgData.pm | tools
67 Mot inconnu : CfgData => linux/domino/tools/CfgData.pm | cfgdata
67 Il manque un espace. => linux/domino/tools/CfgData.pm | pm => suggestions : [' pm']

68 Mot inconnu : linux => linux/domino/tools/GetPreviousRevision.pl | linux
68 Mot inconnu : tools => linux/domino/tools/GetPreviousRevision.pl | tools
68 Mot inconnu : GetPreviousRevision => linux/domino/tools/GetPreviousRevision.pl | getpreviousrevision
68 Il manque un espace. => linux/domino/tools/GetPreviousRevision.pl | pl => suggestions : [' pl']

69 Mot inconnu : linux => linux/domino/tools/setup     linux.bin | linux
69 Mot inconnu : tools => linux/domino/tools/setup     linux.bin | tools
69 Mot inconnu : setup => linux/domino/tools/setup     linux.bin | setup
69 Espace(s) surnuméraire(s) à supprimer. => linux/domino/tools/setup     linux.bin |       => suggestions : [' ']
69 Mot inconnu : linux => linux/domino/tools/setup     linux.bin | linux
69 Mot inconnu : bin => linux/domino/tools/setup     linux.bin | bin

70 Mot inconnu : linux => linux/domino/remote_script.dat | linux
70 Mot inconnu : remote_script => linux/domino/remote_script.dat | remote_script
70 Mot inconnu : dat => linux/domino/remote_script.dat | dat

71 Mot inconnu : linux => linux/domino/install | linux
71 Mot inconnu : install => linux/domino/install | install

72 Mot inconnu : linux => linux/domino/unix_response.dat | linux
72 Mot inconnu : unix_response => linux/domino/unix_response.dat | unix_response
72 Mot inconnu : dat => linux/domino/unix_response.dat | dat

74 Mot inconnu : unix_response => Comme on peut le voir, un fichier **unix_response.dat** est créé. Il peut servir pour l'installation en automatique basé sur fichier "response", appelé mode "silent". | unix_response
74 Mot inconnu : dat => Comme on peut le voir, un fichier **unix_response.dat** est créé. Il peut servir pour l'installation en automatique basé sur fichier "response", appelé mode "silent". | dat
74 Guillemets typographiques ouvrants. => Comme on peut le voir, un fichier **unix_response.dat** est créé. Il peut servir pour l'installation en automatique basé sur fichier "response", appelé mode "silent". | " => suggestions : ['«\xa0', '“']
74 Mot inconnu : response => Comme on peut le voir, un fichier **unix_response.dat** est créé. Il peut servir pour l'installation en automatique basé sur fichier "response", appelé mode "silent". | response
74 Guillemets typographiques fermants. => Comme on peut le voir, un fichier **unix_response.dat** est créé. Il peut servir pour l'installation en automatique basé sur fichier "response", appelé mode "silent". | " => suggestions : ['\xa0»', '”']
74 Guillemets typographiques ouvrants. => Comme on peut le voir, un fichier **unix_response.dat** est créé. Il peut servir pour l'installation en automatique basé sur fichier "response", appelé mode "silent". | " => suggestions : ['«\xa0', '“']
