
3 Mot inconnu : language => ====== Installation du language pack french : ====== | language
8 Mot inconnu : sudo => <note important> **Pré-requis :** Mise à jour du système avec les dernières bibliothèques. Sous ubuntu, sudo apt-get update. Avoir les droits administrateur dans le répertoire où se trouvent les sources. </note> | sudo
8 Mot inconnu : apt-get => <note important> **Pré-requis :** Mise à jour du système avec les dernières bibliothèques. Sous ubuntu, sudo apt-get update. Avoir les droits administrateur dans le répertoire où se trouvent les sources. </note> | apt-get
8 Mot inconnu : update => <note important> **Pré-requis :** Mise à jour du système avec les dernières bibliothèques. Sous ubuntu, sudo apt-get update. Avoir les droits administrateur dans le répertoire où se trouvent les sources. </note> | update
8 Accord de nombre erroné avec « les droits » : « administrateur » devrait être au pluriel. => <note important> **Pré-requis :** Mise à jour du système avec les dernières bibliothèques. Sous ubuntu, sudo apt-get update. Avoir les droits administrateur dans le répertoire où se trouvent les sources. </note> | administrateur => suggestions : ['administrateurs']

15 Mot inconnu : __En => **__En mode graphique :__** Clic droit sur l'archive .tar et "Extraire ici". | __en
15 Mot inconnu : __ => **__En mode graphique :__** Clic droit sur l'archive .tar et "Extraire ici". | __
15 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => **__En mode graphique :__** Clic droit sur l'archive .tar et "Extraire ici". |  . => suggestions : ['. ', '.']
15 Mot inconnu : tar => **__En mode graphique :__** Clic droit sur l'archive .tar et "Extraire ici". | tar
15 Guillemets typographiques ouvrants. => **__En mode graphique :__** Clic droit sur l'archive .tar et "Extraire ici". | " => suggestions : ['«\xa0', '“']
15 Guillemets typographiques fermants. => **__En mode graphique :__** Clic droit sur l'archive .tar et "Extraire ici". | " => suggestions : ['\xa0»', '”']

17 Mot inconnu : __En => **__En mode texte :__** | __en
17 Mot inconnu : __ => **__En mode texte :__** | __

21 Guillemets typographiques ouvrants. => <note tip>Il suffit de taper "tar -xvf C1X5WFR" puis appuyer sur la touche de tabulation pour que le reste du texte soit mis automatiquement</note> | " => suggestions : ['«\xa0', '“']
21 Mot inconnu : tar => <note tip>Il suffit de taper "tar -xvf C1X5WFR" puis appuyer sur la touche de tabulation pour que le reste du texte soit mis automatiquement</note> | tar
21 Il manque un espace à côté du tiret. => <note tip>Il suffit de taper "tar -xvf C1X5WFR" puis appuyer sur la touche de tabulation pour que le reste du texte soit mis automatiquement</note> |  - => suggestions : [' – ', ' — ']
21 Mot inconnu : xvf => <note tip>Il suffit de taper "tar -xvf C1X5WFR" puis appuyer sur la touche de tabulation pour que le reste du texte soit mis automatiquement</note> | xvf
21 Mot inconnu : C1X5WFR => <note tip>Il suffit de taper "tar -xvf C1X5WFR" puis appuyer sur la touche de tabulation pour que le reste du texte soit mis automatiquement</note> | c1x5wfr
21 Guillemets typographiques fermants. => <note tip>Il suffit de taper "tar -xvf C1X5WFR" puis appuyer sur la touche de tabulation pour que le reste du texte soit mis automatiquement</note> | " => suggestions : ['\xa0»', '”']

96 Guillemets typographiques ouvrants. => Le serveur ayant été installé en français, nous choisirons donc "2" | " => suggestions : ['«\xa0', '“']
96 Guillemets typographiques fermants. => Le serveur ayant été installé en français, nous choisirons donc "2" | " => suggestions : ['\xa0»', '”']

141 Guillemets typographiques ouvrants. => Pour continuer, on sélectionne "1" | " => suggestions : ['«\xa0', '“']
141 Guillemets typographiques fermants. => Pour continuer, on sélectionne "1" | " => suggestions : ['\xa0»', '”']

149 Guillemets typographiques ouvrants. => Pour continuer, on saisit "1" | " => suggestions : ['«\xa0', '“']
149 Guillemets typographiques fermants. => Pour continuer, on saisit "1" | " => suggestions : ['\xa0»', '”']

166 Guillemets typographiques ouvrants. => Pour continuer, on saisit "1" | " => suggestions : ['«\xa0', '“']
166 Guillemets typographiques fermants. => Pour continuer, on saisit "1" | " => suggestions : ['\xa0»', '”']

185 Guillemets typographiques ouvrants. => Le serveur étant installé plus haut en français, on continue avec "N" | " => suggestions : ['«\xa0', '“']
185 Guillemets typographiques fermants. => Le serveur étant installé plus haut en français, on continue avec "N" | " => suggestions : ['\xa0»', '”']

195 Guillemets typographiques ouvrants. => Pour continuer, on saisit "1" | " => suggestions : ['«\xa0', '“']
195 Guillemets typographiques fermants. => Pour continuer, on saisit "1" | " => suggestions : ['\xa0»', '”']

215 Guillemets typographiques ouvrants. => Pour continuer, on saisit "1" | " => suggestions : ['«\xa0', '“']
215 Guillemets typographiques fermants. => Pour continuer, on saisit "1" | " => suggestions : ['\xa0»', '”']

242 Guillemets typographiques ouvrants. => Ici on saisit "2" car il est préférable de remplacer le Language Pack, dixit un administrateur Domino :-O | " => suggestions : ['«\xa0', '“']
242 Guillemets typographiques fermants. => Ici on saisit "2" car il est préférable de remplacer le Language Pack, dixit un administrateur Domino :-O | " => suggestions : ['\xa0»', '”']
242 Mot inconnu : Language => Ici on saisit "2" car il est préférable de remplacer le Language Pack, dixit un administrateur Domino :-O | language

251 Guillemets typographiques ouvrants. => La sélection réapparaît, on valide en saisissant "1" | " => suggestions : ['«\xa0', '“']
251 Guillemets typographiques fermants. => La sélection réapparaît, on valide en saisissant "1" | " => suggestions : ['\xa0»', '”']

270 Guillemets typographiques ouvrants. => Pour continuer, on saisit "1" | " => suggestions : ['«\xa0', '“']
270 Guillemets typographiques fermants. => Pour continuer, on saisit "1" | " => suggestions : ['\xa0»', '”']

289 Guillemets typographiques ouvrants. => Pour continuer, on saisit "1" | " => suggestions : ['«\xa0', '“']
289 Guillemets typographiques fermants. => Pour continuer, on saisit "1" | " => suggestions : ['\xa0»', '”']

305 Guillemets typographiques ouvrants. => Pour continuer, on saisit "1" | " => suggestions : ['«\xa0', '“']
305 Guillemets typographiques fermants. => Pour continuer, on saisit "1" | " => suggestions : ['\xa0»', '”']

312 Guillemets typographiques ouvrants. => On valide le choix avec "0" | " => suggestions : ['«\xa0', '“']
312 Guillemets typographiques fermants. => On valide le choix avec "0" | " => suggestions : ['\xa0»', '”']

329 Guillemets typographiques ouvrants. => Pour continuer, on saisit "1" | " => suggestions : ['«\xa0', '“']
329 Guillemets typographiques fermants. => Pour continuer, on saisit "1" | " => suggestions : ['\xa0»', '”']

355 Guillemets typographiques ouvrants. => Pour continuer, on saisit "1" | " => suggestions : ['«\xa0', '“']
355 Guillemets typographiques fermants. => Pour continuer, on saisit "1" | " => suggestions : ['\xa0»', '”']

431 Guillemets typographiques ouvrants. => Pour terminer, on saisit "3" | " => suggestions : ['«\xa0', '“']
431 Guillemets typographiques fermants. => Pour terminer, on saisit "3" | " => suggestions : ['\xa0»', '”']
