
4 Mot inconnu : Emulator [[11:19]] => ====== DOS Emulator ou XDOSEmu ====== <|> emulator
4 Mot inconnu : XDOSEmu [[23:30]] => ====== DOS Emulator ou XDOSEmu ====== <|> xdosemu

6 Mot inconnu : Dosemu [[2:8]] => **Dosemu** est un logiciel destiné à exécuter les vieux programmes (et possiblement les jeux) sur de nouvelles plateformes. Cela réduit considérablement l'entretien sans pour autant sacrifier des développements ou des logiciels (non-libres) parfois onéreux. <|> dosemu

8 Mot inconnu : Dosemu [[2:8]] => **Dosemu** c'est le DOS, sans la médiocrité du DOS. Il propose une sorte d’extension de la veille bête, avec toutes les fonctions Unix qui manquèrent cruellement, même longtemps après que Linux eut démontré leur utilité.  Le projet FreeDos a écrit pour lui bon nombre de logiciels dont, par exemple, un navigateur web (graphique évidement). <|> dosemu
8 Espace(s) surnuméraire(s) à supprimer. [[220:222]] => **Dosemu** c'est le DOS, sans la médiocrité du DOS. Il propose une sorte d’extension de la veille bête, avec toutes les fonctions Unix qui manquèrent cruellement, même longtemps après que Linux eut démontré leur utilité.  Le projet FreeDos a écrit pour lui bon nombre de logiciels dont, par exemple, un navigateur web (graphique évidement). <|>    => suggestions : [' ']
8 Mot inconnu : FreeDos [[232:239]] => **Dosemu** c'est le DOS, sans la médiocrité du DOS. Il propose une sorte d’extension de la veille bête, avec toutes les fonctions Unix qui manquèrent cruellement, même longtemps après que Linux eut démontré leur utilité.  Le projet FreeDos a écrit pour lui bon nombre de logiciels dont, par exemple, un navigateur web (graphique évidement). <|> freedos

17 Mot inconnu : auto-execution [[15:29]] => ==== Fichier d'auto-execution ==== <|> auto-execution

24 Mot inconnu : DosEmulator [[3:14]] => Le DosEmulator émule un SB16, DMA 220h, IRQ 7.  <|> dosemulator
24 Mot inconnu : SB16 [[24:28]] => Le DosEmulator émule un SB16, DMA 220h, IRQ 7.  <|> sb16
24 Mot inconnu : DMA [[30:33]] => Le DosEmulator émule un SB16, DMA 220h, IRQ 7.  <|> dma
24 Mot inconnu : IRQ [[40:43]] => Le DosEmulator émule un SB16, DMA 220h, IRQ 7.  <|> irq
24 Espace(s) en fin de ligne à supprimer. [[46:47]] => Le DosEmulator émule un SB16, DMA 220h, IRQ 7.  <|>   => suggestions : ['']

