
4 Mot inconnu : Drupal => ====== Bien débuter avec Drupal sur Ubuntu ====== | drupal

33 Mot inconnu : Drupal => Dans le cas où vous avez installé Drupal via l'archive: | drupal

39 Mot inconnu : mysql => ===Création de l'utilisateur et la base de donnée mysql=== | mysql

68 Accord de nombre erroné : « champs » est au pluriel. => Allez dans //Configuration -> Translate interface -> import// Puis dans le champs //Language file// naviguez jusqu'au fichier .po téléchargé. | le => suggestions : ['les']
68 Accord de nombre erroné : « champs » devrait être au singulier. => Allez dans //Configuration -> Translate interface -> import// Puis dans le champs //Language file// naviguez jusqu'au fichier .po téléchargé. | champs => suggestions : ['champ']
68 Mot inconnu : Language => Allez dans //Configuration -> Translate interface -> import// Puis dans le champs //Language file// naviguez jusqu'au fichier .po téléchargé. | language
68 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Allez dans //Configuration -> Translate interface -> import// Puis dans le champs //Language file// naviguez jusqu'au fichier .po téléchargé. |  . => suggestions : ['. ', '.']

71 Mot inconnu : Drupal => ==== Permettre à Drupal d'utiliser sendmail et donc d'envoyer des courriels ==== | drupal
71 Mot inconnu : sendmail => ==== Permettre à Drupal d'utiliser sendmail et donc d'envoyer des courriels ==== | sendmail

93 Mot inconnu : upload_max_filesize => <file>upload_max_filesize = 2M</file> | upload_max_filesize

95 Mot inconnu : upload_max_filesize => <file>upload_max_filesize = 1000M</file> | upload_max_filesize
