
4 Mot inconnu : DVD9 [[25:29]] => ====== Convertir un film DVD9 en DVD5 ====== <|> dvd9
4 Mot inconnu : DVD5 [[33:37]] => ====== Convertir un film DVD9 en DVD5 ====== <|> dvd5

7 Mot inconnu : DVDrip [[11:17]] => Tout comme DVDrip, DvdShrink [...] DVD95 vous permettra donc de réduire la taille du DVD pour qu'il tienne sur 4.7 Go via la suppression d'éléments non-essentiels (bonus, pistes audio étrangères, menus, etc). Et ceci de manière très simple. <|> dvdrip
7 Mot inconnu : DvdShrink [[19:28]] => Tout comme DVDrip, DvdShrink [...] DVD95 vous permettra donc de réduire la taille du DVD pour qu'il tienne sur 4.7 Go via la suppression d'éléments non-essentiels (bonus, pistes audio étrangères, menus, etc). Et ceci de manière très simple. <|> dvdshrink
7 Typographie : points de suspension. Utilisez le caractère dédié. [[30:33]] => Tout comme DVDrip, DvdShrink [...] DVD95 vous permettra donc de réduire la taille du DVD pour qu'il tienne sur 4.7 Go via la suppression d'éléments non-essentiels (bonus, pistes audio étrangères, menus, etc). Et ceci de manière très simple. <|> ... => suggestions : …
7 Mot inconnu : DVD95 [[35:40]] => Tout comme DVDrip, DvdShrink [...] DVD95 vous permettra donc de réduire la taille du DVD pour qu'il tienne sur 4.7 Go via la suppression d'éléments non-essentiels (bonus, pistes audio étrangères, menus, etc). Et ceci de manière très simple. <|> dvd95
9 Espace(s) en fin de ligne à supprimer. [[101:102]] => On peut également convertir dans des formats plus petits allants jusqu’à 700 Mo (pour le plus petit).  <|>  

11 Guillemets typographiques ouvrants. [[15:16]] => Pour des films "normaux" de maximum 2 heures, la différence est quasi impossible à voir. Par contre, pour des films de 3h ou plus, la qualité se fait ressentir, d'abord sur l'arrière-plan pixellisé, puis sur les mouvements, et ainsi de suite... <|> " => suggestions : « “
11 Guillemets typographiques fermants. [[23:24]] => Pour des films "normaux" de maximum 2 heures, la différence est quasi impossible à voir. Par contre, pour des films de 3h ou plus, la qualité se fait ressentir, d'abord sur l'arrière-plan pixellisé, puis sur les mouvements, et ainsi de suite... <|> " => suggestions :  »”
11 Mot inconnu : pixellisé [[188:197]] => Pour des films "normaux" de maximum 2 heures, la différence est quasi impossible à voir. Par contre, pour des films de 3h ou plus, la qualité se fait ressentir, d'abord sur l'arrière-plan pixellisé, puis sur les mouvements, et ainsi de suite... <|> pixellisé
11 Typographie : points de suspension. Utilisez le caractère dédié. [[241:244]] => Pour des films "normaux" de maximum 2 heures, la différence est quasi impossible à voir. Par contre, pour des films de 3h ou plus, la qualité se fait ressentir, d'abord sur l'arrière-plan pixellisé, puis sur les mouvements, et ainsi de suite... <|> ... => suggestions : …

13 Mot inconnu : DVD95 [[158:163]] => Actuellement, en France, la copie de DVD commerciaux, pour un usage uniquement privé est autorisée. D'ailleurs, un message est publié sur le site officiel de DVD95 : <|> dvd95

14 Mot inconnu : DADVSI [[42:48]] => > Conformément aux dispositions de la loi DADVSI, DVD95 ne contient pas de code permettant de contourner la protection des DVD vidéos, ce qui rend impossible la copie des DVD commerciaux. <|> dadvsi
14 Mot inconnu : DVD95 [[50:55]] => > Conformément aux dispositions de la loi DADVSI, DVD95 ne contient pas de code permettant de contourner la protection des DVD vidéos, ce qui rend impossible la copie des DVD commerciaux. <|> dvd95

28 Mot inconnu : DVD95 [[136:141]] => Pour éviter le ratage de la gravure, créez d'abord un fichier ISO que et gravez ensuite avec Brasero, sans passer par la jonction entre DVD95 et le logiciel tiers (remplacer Brasero par k3b pour les utilisateurs de Kubuntu). <|> dvd95
28 Mot inconnu : k3b [[186:189]] => Pour éviter le ratage de la gravure, créez d'abord un fichier ISO que et gravez ensuite avec Brasero, sans passer par la jonction entre DVD95 et le logiciel tiers (remplacer Brasero par k3b pour les utilisateurs de Kubuntu). <|> k3b
