
4 Une de ces ponctuations est superflue. [[10:12]] => ====== DVD::Rip ====== <|> :: => suggestions : ::
4 Mot inconnu : Rip [[12:15]] => ====== DVD::Rip ====== <|> rip

6 Mot inconnu : DVDrip [[20:26]] => Le logiciel libre **DVDrip** permet facilement  <|> dvdrip
6 Espace(s) en fin de ligne à supprimer. [[46:47]] => Le logiciel libre **DVDrip** permet facilement  <|>  

24 Mot inconnu : DVDrip [[33:39]] => ==== Dépendances optionnelles de DVDrip ==== <|> dvdrip

26 Mot inconnu : dvdrip [[11:17]] => Pour que **dvdrip** soit pleinement opérationnel et pratique, des paquets optionnels peuvent être ajoutés.\\ <|> dvdrip

28 Espace(s) surnuméraire(s) à supprimer. [[21:23]] => Notez bien que __toutes __ les dépendances ne sont __pas__ nécessaires suivant l'utilisation que vous souhaitez faire, et parce que certaines dépendances doublonnent les actions. <|> es => suggestions :  

39 Espace(s) en fin de ligne à supprimer. [[89:90]] => Ensuite, cochez **//__abc__ Vérifier tout//** pour être sûr que les paramètres sont corrects.  <|> c

40 Espace(s) surnuméraire(s) à supprimer. [[51:53]] => Vous pourrez revenir sur cette fenêtre dans le menu  //Édition -> Préférences//.  <|>    => suggestions :  
40 Espace(s) en fin de ligne à supprimer. [[80:81]] => Vous pourrez revenir sur cette fenêtre dans le menu  //Édition -> Préférences//.  <|>  

47 Espace(s) surnuméraire(s) à supprimer. [[47:49]] => Pour lancer votre extraction allez dans le menu  //Fichier -> nouveau projet// : <|>    => suggestions :  

53 Mot inconnu : DVDrip [[16:22]] => Pour utiliser **DVDrip** avec un processeur multi-cœur : <|> dvdrip
55 Mot inconnu : Add [[28:31]] =>   * cliquez sur le bouton **Add node** et remplissez comme suit : <|> add
55 Mot inconnu : node [[32:36]] =>   * cliquez sur le bouton **Add node** et remplissez comme suit : <|> node

64 Mot inconnu : cpu2 [[64:68]] => Faire la même manœuvre pour tous les processeurs en les nommant cpu2, cpu3, etc. <|> cpu2
64 Mot inconnu : cpu3 [[70:74]] => Faire la même manœuvre pour tous les processeurs en les nommant cpu2, cpu3, etc. <|> cpu3
65 Incohérence avec “sur” : “transcode” est une forme verbale conjuguée. [[26:35]] =>   * Au lieu d'appuyer sur transcode faites : ajouter au cluster <|> transcode
66 Formatage des grands nombres. [[41:46]] =>   * une nouvelle fenêtre s'ouvre, mettre 25000 comme nombre de frames. <|> 25000 => suggestions : 25 000
66 Mot inconnu : frames [[63:69]] =>   * une nouvelle fenêtre s'ouvre, mettre 25000 comme nombre de frames. <|> frames
69 Guillemets typographiques fermants. [[54:55]] =>   * Ajouter une option à Transcode, du genre "-u 256,2" avec en 2ème argument le nombre de threads voulus (=nbcore ou nbcore*2 si HT). <|> " => suggestions :  »”
69 Nombre ordinal singulier. Exemples : 2ᵉ, 3ᵉ, 4ᵉ… [[64:68]] =>   * Ajouter une option à Transcode, du genre "-u 256,2" avec en 2ème argument le nombre de threads voulus (=nbcore ou nbcore*2 si HT). <|> 2ème => suggestions : 2ᵉ
69 Mot inconnu : nbcore [[108:114]] =>   * Ajouter une option à Transcode, du genre "-u 256,2" avec en 2ème argument le nombre de threads voulus (=nbcore ou nbcore*2 si HT). <|> nbcore
69 Mot inconnu : nbcore [[118:124]] =>   * Ajouter une option à Transcode, du genre "-u 256,2" avec en 2ème argument le nombre de threads voulus (=nbcore ou nbcore*2 si HT). <|> nbcore
70 Typographie : points de suspension. Utilisez le caractère dédié. [[52:55]] =>   * Ripper normalement sans utiliser le mode cluster... <|> ... => suggestions : …

80 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>  

82 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>  
