17 Mot inconnu : XEdit [[4:9]] =>   * XEdit : éditeur basé sur emacs. <|> xedit
17 Mot inconnu : emacs [[29:34]] =>   * XEdit : éditeur basé sur emacs. <|> emacs
40 Mot inconnu : Notepad [[4:11]] =>   * Notepad qq : un clone de Notepad++ qui tourne sous Windows. Ne propose pas d'enregistreur de macro comme Notepad++ <|> notepad
40 Mot inconnu : qq [[12:14]] =>   * Notepad qq : un clone de Notepad++ qui tourne sous Windows. Ne propose pas d'enregistreur de macro comme Notepad++ <|> qq
40 Mot inconnu : Notepad [[29:36]] =>   * Notepad qq : un clone de Notepad++ qui tourne sous Windows. Ne propose pas d'enregistreur de macro comme Notepad++ <|> notepad
40 Mot inconnu : Notepad [[109:116]] =>   * Notepad qq : un clone de Notepad++ qui tourne sous Windows. Ne propose pas d'enregistreur de macro comme Notepad++ <|> notepad
48 Mot inconnu : Notepad [[4:11]] =>   * Notepad++ : un excellent editeur de texte avec coloration, enregistreur de macro <|> notepad
48 Mot inconnu : editeur [[29:36]] =>   * Notepad++ : un excellent editeur de texte avec coloration, enregistreur de macro <|> editeur

62 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']

75 Guillemets typographiques ouvrants. [[22:23]] => Les éditeurs de texte "discrets" ("distraction-free writing" en anglais) ont des interfaces épurées au maximum, le but étant de ne pas distraire visuellement l'utilisateur. Ils sont utilisés notamment par les littéraires qui passent beaucoup de temps à écrire. <|> " => suggestions : ['«\xa0', '“']
75 Guillemets typographiques fermants. [[31:32]] => Les éditeurs de texte "discrets" ("distraction-free writing" en anglais) ont des interfaces épurées au maximum, le but étant de ne pas distraire visuellement l'utilisateur. Ils sont utilisés notamment par les littéraires qui passent beaucoup de temps à écrire. <|> " => suggestions : ['\xa0»', '”']
75 Guillemets typographiques ouvrants. [[34:35]] => Les éditeurs de texte "discrets" ("distraction-free writing" en anglais) ont des interfaces épurées au maximum, le but étant de ne pas distraire visuellement l'utilisateur. Ils sont utilisés notamment par les littéraires qui passent beaucoup de temps à écrire. <|> " => suggestions : ['«\xa0', '“']
75 Mot inconnu : distraction-free [[35:51]] => Les éditeurs de texte "discrets" ("distraction-free writing" en anglais) ont des interfaces épurées au maximum, le but étant de ne pas distraire visuellement l'utilisateur. Ils sont utilisés notamment par les littéraires qui passent beaucoup de temps à écrire. <|> distraction-free
75 Mot inconnu : writing [[52:59]] => Les éditeurs de texte "discrets" ("distraction-free writing" en anglais) ont des interfaces épurées au maximum, le but étant de ne pas distraire visuellement l'utilisateur. Ils sont utilisés notamment par les littéraires qui passent beaucoup de temps à écrire. <|> writing
75 Guillemets typographiques fermants. [[59:60]] => Les éditeurs de texte "discrets" ("distraction-free writing" en anglais) ont des interfaces épurées au maximum, le but étant de ne pas distraire visuellement l'utilisateur. Ils sont utilisés notamment par les littéraires qui passent beaucoup de temps à écrire. <|> " => suggestions : ['\xa0»', '”']
