
5 Accentuez les majuscules. => ====== Element ====== | element => suggestions : ['Élement']
5 Mot inconnu : Element => ====== Element ====== | element

7 Accentuez les majuscules. => <note>**//Element// est le nouveau nom de //Riot//, depuis le 15 juillet 2020**</note> | element => suggestions : ['Élement']
7 Mot inconnu : Element => <note>**//Element// est le nouveau nom de //Riot//, depuis le 15 juillet 2020**</note> | element
7 Mot inconnu : Riot => <note>**//Element// est le nouveau nom de //Riot//, depuis le 15 juillet 2020**</note> | riot

9 Accentuez les majuscules. => //Element// (anciennement //Riot//) est un client //Matrix// libre. | element => suggestions : ['Élement']
9 Mot inconnu : Element => //Element// (anciennement //Riot//) est un client //Matrix// libre. | element
9 Mot inconnu : Riot => //Element// (anciennement //Riot//) est un client //Matrix// libre. | riot
9 Mot inconnu : Matrix => //Element// (anciennement //Riot//) est un client //Matrix// libre. | matrix

23 Mot inconnu : Matrix => <note>Il existe de nombreuses solutions clientes, qui sont présentes dans les dépôts, pour utiliser le réseau Matrix : | matrix

34 Accentuez les majuscules. => Cependant si vous voulez pouvoir être joint·e à tout moment, voici comment installer Element sur Ubuntu. | element => suggestions : ['Élement']
34 Mot inconnu : Element => Cependant si vous voulez pouvoir être joint·e à tout moment, voici comment installer Element sur Ubuntu. | element
38 Mot inconnu : Flatpak => ==== Méthode recommandée : en paquet Flatpak ==== | flatpak

45 Mot inconnu : Riot => Relancez votre session si vous ne voyez pas apparaître //Riot// dans les lanceurs d'application. | riot

67 Mot inconnu : Riot => Finalement mettez APT à jour et installez Riot : | riot

70 Apostrophe incorrecte. => **Installation d' Élément (depuis le 15 juillet 2020):** | d'  => suggestions : ['d’']
70 Guillemets typographiques fermants. => **Installation d' Élément (depuis le 15 juillet 2020):** | ' => suggestions : ['”', '’', '›']

77 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

82 Mot inconnu : matrix => Lors du premier lancement vous êtes invité·e à créer un compte. Vous pouvez choisir de le faire sur le serveur par défaut (//matrix.org//) ou sur le serveur de votre choix. | matrix

85 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

87 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

89 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']
