
5 Mot inconnu : Elluminate => ====== Elluminate ====== | elluminate

7 Mot inconnu : Elluminate => L'environnement Elluminate est une salle de classe virtuelle à laquelle les participants d'un cours peuvent se connecter pour interagir en temps réel à l'aide de la voix, du clavardage ou du tableau blanc. Cette technologie est particulièrement utilisée dans le cadre de cours en ligne en mode synchrone. | elluminate

10 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']

17 Mot inconnu : Elluminate => L'installation du logiciel Elluminate se fait automatiquement lorsque vous entrez pour la première fois sur la classe virtuelle.  | elluminate
17 Espace(s) en fin de ligne à supprimer. => L'installation du logiciel Elluminate se fait automatiquement lorsque vous entrez pour la première fois sur la classe virtuelle.  |   => suggestions : ['']

20 Mot inconnu : Elluminate => ===Elluminate cesse soudainement de fonctionner==== | elluminate

22 Élision de l’article devant un mot commençant par une voyelle. => Autrement dit il s'agit de supprimer le contenu du cache de icedtea. | de  => suggestions : ['d’']
22 Mot inconnu : icedtea => Autrement dit il s'agit de supprimer le contenu du cache de icedtea. | icedtea

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(fr)** [[http://scylardor.fr/2013/11/29/elluminate-et-ubuntu/|Article sur le sujet]] |    => suggestions : ['']
34 Il manque un espace. => //Contributeurs principaux : [[utilisateurs:lemrichard]].// | lemrichard => suggestions : [' lemrichard']
