
4 Mot inconnu : Emotiv [[13:19]] => ======Casque Emotiv EPOC - interface neuronale====== <|> emotiv
4 Mot inconnu : EPOC [[20:24]] => ======Casque Emotiv EPOC - interface neuronale====== <|> epoc
4 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[24:27]] => ======Casque Emotiv EPOC - interface neuronale====== <|>  -  => suggestions : [' – ', ' — ', ' − ']

8 Mot inconnu : EPOC [[10:14]] => Le casque EPOC a 14 électrodes (par rapport aux 19 électrodes d'un EEG standard médical, et les 3 caractéristiques du casque NIA OCZ et un électrode du casque NeuroSky). Il a également un gyroscope à deux axes pour la mesure de rotation de la tête. <|> epoc
8 Mot inconnu : EEG [[67:70]] => Le casque EPOC a 14 électrodes (par rapport aux 19 électrodes d'un EEG standard médical, et les 3 caractéristiques du casque NIA OCZ et un électrode du casque NeuroSky). Il a également un gyroscope à deux axes pour la mesure de rotation de la tête. <|> eeg
8 Mot inconnu : OCZ [[129:132]] => Le casque EPOC a 14 électrodes (par rapport aux 19 électrodes d'un EEG standard médical, et les 3 caractéristiques du casque NIA OCZ et un électrode du casque NeuroSky). Il a également un gyroscope à deux axes pour la mesure de rotation de la tête. <|> ocz
8 Accord de genre erroné : « électrode » est féminin. [[136:138]] => Le casque EPOC a 14 électrodes (par rapport aux 19 électrodes d'un EEG standard médical, et les 3 caractéristiques du casque NIA OCZ et un électrode du casque NeuroSky). Il a également un gyroscope à deux axes pour la mesure de rotation de la tête. <|> un => suggestions : ['une']
8 Mot inconnu : NeuroSky [[159:167]] => Le casque EPOC a 14 électrodes (par rapport aux 19 électrodes d'un EEG standard médical, et les 3 caractéristiques du casque NIA OCZ et un électrode du casque NeuroSky). Il a également un gyroscope à deux axes pour la mesure de rotation de la tête. <|> neurosky

14 Accord erroné : “casque” et “formés” ne sont pas accordés. [[28:34]] => Le casque doit d'abord être formés à reconnaître le type de schéma de pensée qui équivaut à une certaine action. Il peut mesurer quatre catégories de pensées : <|> formés => suggestions : ['formé']

21 Mot inconnu : EmoKey [[63:69]] => Pour assurer la compatibilité avec des logiciels non-conformes EmoKey serait prévu pour les commandes lier à des touches ou combinaisons de transformer l'appareil à une HID. <|> emokey
21 Mot inconnu : HID [[169:172]] => Pour assurer la compatibilité avec des logiciels non-conformes EmoKey serait prévu pour les commandes lier à des touches ou combinaisons de transformer l'appareil à une HID. <|> hid

23 Mot inconnu : EPOC [[0:4]] => EPOC peut être utilisé pour obtenir des données EEG (les mesures d'électricité brute), avec le Python Emokit [15] sans avoir besoin d'un logiciel propriétaire de l'EPOC, de la recherche, de la recherche Plus ou Entreprise Plus de licence SDK (750 $, 2500 $ et 7500 $, respectivement)  . <|> epoc
23 Mot inconnu : EEG [[48:51]] => EPOC peut être utilisé pour obtenir des données EEG (les mesures d'électricité brute), avec le Python Emokit [15] sans avoir besoin d'un logiciel propriétaire de l'EPOC, de la recherche, de la recherche Plus ou Entreprise Plus de licence SDK (750 $, 2500 $ et 7500 $, respectivement)  . <|> eeg
23 Mot inconnu : Emokit [[102:108]] => EPOC peut être utilisé pour obtenir des données EEG (les mesures d'électricité brute), avec le Python Emokit [15] sans avoir besoin d'un logiciel propriétaire de l'EPOC, de la recherche, de la recherche Plus ou Entreprise Plus de licence SDK (750 $, 2500 $ et 7500 $, respectivement)  . <|> emokit
23 Mot inconnu : EPOC [[164:168]] => EPOC peut être utilisé pour obtenir des données EEG (les mesures d'électricité brute), avec le Python Emokit [15] sans avoir besoin d'un logiciel propriétaire de l'EPOC, de la recherche, de la recherche Plus ou Entreprise Plus de licence SDK (750 $, 2500 $ et 7500 $, respectivement)  . <|> epoc
23 Mot inconnu : SDK [[238:241]] => EPOC peut être utilisé pour obtenir des données EEG (les mesures d'électricité brute), avec le Python Emokit [15] sans avoir besoin d'un logiciel propriétaire de l'EPOC, de la recherche, de la recherche Plus ou Entreprise Plus de licence SDK (750 $, 2500 $ et 7500 $, respectivement)  . <|> sdk

27 Mot inconnu : Virtualisaion [[4:17]] => ====Virtualisaion==== <|> virtualisaion

34 Accord de nombre erroné avec « des drivers » : « libre » devrait être au pluriel. [[19:24]] => Existe des drivers libre et opensource python/C++ : <|> libre => suggestions : ['libres']
