1 Pas de majuscule sur les mois. => ====== Compte rendu de la réunion du 21 Juin 2006 ====== | juin => suggestions : ['juin']
9 Mot inconnu : mdhooge => Président : mdhooge | mdhooge

13 Mot inconnu : Etaient => Etaient présents :  [ mdhooge ] [ claude ] [ DavidBertho ] | etaient
13 Espace(s) surnuméraire(s) à supprimer. => Etaient présents :  [ mdhooge ] [ claude ] [ DavidBertho ] |    => suggestions : [' ']
13 Pas d’espace après ce signe. => Etaient présents :  [ mdhooge ] [ claude ] [ DavidBertho ] | [  => suggestions : ['[']
13 Mot inconnu : mdhooge => Etaient présents :  [ mdhooge ] [ claude ] [ DavidBertho ] | mdhooge
13 Pas d’espace avant ce signe. => Etaient présents :  [ mdhooge ] [ claude ] [ DavidBertho ] |  ] => suggestions : [']']
13 Pas d’espace après ce signe. => Etaient présents :  [ mdhooge ] [ claude ] [ DavidBertho ] | [  => suggestions : ['[']
13 Pas d’espace avant ce signe. => Etaient présents :  [ mdhooge ] [ claude ] [ DavidBertho ] |  ] => suggestions : [']']
13 Pas d’espace après ce signe. => Etaient présents :  [ mdhooge ] [ claude ] [ DavidBertho ] | [  => suggestions : ['[']
13 Mot inconnu : DavidBertho => Etaient présents :  [ mdhooge ] [ claude ] [ DavidBertho ] | davidbertho
13 Pas d’espace avant ce signe. => Etaient présents :  [ mdhooge ] [ claude ] [ DavidBertho ] |  ] => suggestions : [']']

18 Mot inconnu : ubuntu-fr => Décision de placer la lettre traduite sur ubuntu-fr.org plutôt que sur le site ubuntu.com. http://doc.ubuntu-fr.org/lettre_hebdo sera créée sur le modèle de https://wiki.ubuntu.com/UbuntuWeeklyNewsletter | ubuntu-fr

21 Mot inconnu : ubuntu-fr => Dès qu'une lettre est traduite, un message est envoyé sur la liste de diffusion ubuntu-fr, avec [?//à définir//] devant le sujet. | ubuntu-fr

33 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => A discuter plus tard: ajouter un lien depuis la page d'accueil ?  | a => suggestions : ['À']
33 Espace(s) en fin de ligne à supprimer. => A discuter plus tard: ajouter un lien depuis la page d'accueil ?  |   => suggestions : ['']
