3 Mot inconnu : IRC => \\ Lieu: salon IRC #ubuntu-fr-meeting \\  | irc
3 Espace(s) en fin de ligne à supprimer. => \\ Lieu: salon IRC #ubuntu-fr-meeting \\  |   => suggestions : ['']
4 Espace(s) en fin de ligne à supprimer. => Heure : 21h00 (19h00 UTC)\\  |   => suggestions : ['']

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Bilan des derniers évènements |    => suggestions : ['']

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Braderie de Lille |      => suggestions : ['']

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Software Freedom Day |      => suggestions : ['']
16 Mot inconnu : Freedom =>     * Software Freedom Day | freedom
16 Mot inconnu : Day =>     * Software Freedom Day | day

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Releases Party |      => suggestions : ['']
17 Mot inconnu : Releases =>     * Releases Party | releases
17 Mot inconnu : Party =>     * Releases Party | party

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Ubuntu Party |      => suggestions : ['']
18 Mot inconnu : Party =>     * Ubuntu Party | party

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       * Paris |        => suggestions : ['']

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       * Toulouse |        => suggestions : ['']

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       * Marseille |        => suggestions : ['']

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       * Bordeaux |        => suggestions : ['']

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       * ... |        => suggestions : ['']
23 Typographie : points de suspension. Utilisez le caractère dédié. =>       * ... | ... => suggestions : ['…']

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Prochains évènement |    => suggestions : ['']
24 Accord de nombre erroné avec « évènement ». =>   * Prochains évènement | prochains => suggestions : ['Prochain']
24 Accord de nombre erroné avec « Prochains ». =>   * Prochains évènement | évènement => suggestions : ['évènements']

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Ubuntu Hour sur Paris |      => suggestions : ['']
25 Mot inconnu : Hour =>     * Ubuntu Hour sur Paris | hour

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Des idées pour la fin d'année ou le début ? |      => suggestions : ['']

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Réorganisation de notre présence sur LaunchPad |    => suggestions : ['']
27 Mot inconnu : LaunchPad =>   * Réorganisation de notre présence sur LaunchPad | launchpad

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Soutien financier aux associations du libre |    => suggestions : ['']

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * nouveau logo |    => suggestions : ['']

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * goodies |    => suggestions : ['']
30 Mot inconnu : goodies =>   * goodies | goodies

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * les nouveautés |      => suggestions : ['']

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * les prochains |      => suggestions : ['']

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * statut membre : faisons le point et avançons |    => suggestions : ['']

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Un sujet sur le site http://enventelibre.org/ubuntufr serait intéressant (visibilité, stats, suivi, etc…) |    => suggestions : ['']
40 Mot inconnu : stats =>   * Un sujet sur le site http://enventelibre.org/ubuntufr serait intéressant (visibilité, stats, suivi, etc…) | stats
40 Un seul point après « etc. » =>   * Un sujet sur le site http://enventelibre.org/ubuntufr serait intéressant (visibilité, stats, suivi, etc…) | etc… => suggestions : ['etc.']

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Un autre sujet qui me tient à cœur c'est sur l'adhésion à Ubuntu-fr.org |    => suggestions : ['']

43 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * La mise en place d'un sous-domaine traduire.ubuntu-fr.org qui redirige vers la page wiki de l'équipe de traduction francophone. |    => suggestions : ['']
43 Mot inconnu : ubuntu-fr =>   * La mise en place d'un sous-domaine traduire.ubuntu-fr.org qui redirige vers la page wiki de l'équipe de traduction francophone. | ubuntu-fr
