1 Pas de majuscule sur les mois. => ====== Réunion du 25 Octobre 2011 ====== | octobre => suggestions : ['octobre']
3 Mot inconnu : IRC => \\ Lieu: salon IRC #ubuntu-fr-meeting \\  | irc
3 Espace(s) en fin de ligne à supprimer. => \\ Lieu: salon IRC #ubuntu-fr-meeting \\  |   => suggestions : ['']
4 Mot inconnu : CEST => Heure : 21h00 (CEST)\\  | cest
4 Espace(s) en fin de ligne à supprimer. => Heure : 21h00 (CEST)\\  |   => suggestions : ['']

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Point sur les projets en cours |    => suggestions : ['']

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * goodies |      => suggestions : ['']
15 Mot inconnu : goodies =>     * goodies | goodies

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * uwn (Ubuntu Weekly News)(Lettre Hebdo Ubuntu) |      => suggestions : ['']
16 Mot inconnu : uwn =>     * uwn (Ubuntu Weekly News)(Lettre Hebdo Ubuntu) | uwn
16 Mot inconnu : Weekly =>     * uwn (Ubuntu Weekly News)(Lettre Hebdo Ubuntu) | weekly

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Bilan des derniers événements |    => suggestions : ['']

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Premier Samedi du libre à Paris |      => suggestions : ['']
18 Pas de majuscule sur les jours de la semaine. =>     * Premier Samedi du libre à Paris | samedi => suggestions : ['samedi']

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Pause Ubuntu / Pique nique |      => suggestions : ['']

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Prochains évènements |    => suggestions : ['']

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Ubuntu Party (Paris) |      => suggestions : ['']
21 Mot inconnu : Party =>     * Ubuntu Party (Paris) | party

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Ubuntu Party (Toulouse) |      => suggestions : ['']
22 Mot inconnu : Party =>     * Ubuntu Party (Toulouse) | party

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Le point sur les membres ubuntu-fr |    => suggestions : ['']
23 Mot inconnu : ubuntu-fr =>   * Le point sur les membres ubuntu-fr | ubuntu-fr

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Point sur la modération IRC |    => suggestions : ['']
24 Mot inconnu : IRC =>   * Point sur la modération IRC | irc

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Interactivité IRC/Forums |      => suggestions : ['']
25 Mot inconnu : IRC =>     * Interactivité IRC/Forums | irc
