1 Mot inconnu : breezy_party [[11:23]] => date de la breezy_party  <|> breezy_party
1 Espace(s) en fin de ligne à supprimer. [[23:24]] => date de la breezy_party  <|>   => suggestions : ['']

3 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). [[38:40]] => le vendredi 14 octobre ou autre à voir .heure à fixer. <|>  . => suggestions : ['. ', '.']

4 Mot inconnu : etant [[7:12]] => le but etant de venir avec un portable pour demo de la nouvelle ubuntu si possible. <|> etant
4 Mot inconnu : demo [[44:48]] => le but etant de venir avec un portable pour demo de la nouvelle ubuntu si possible. <|> demo

6 Mot inconnu : caen [[9:13]] => Lieu sur caen <|> caen

9 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>  mes propositions : french café, o'donnell. a vous de proposer .  <|>   => suggestions : ['']
9 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. [[1:4]] =>  mes propositions : french café, o'donnell. a vous de proposer .  <|> mes => suggestions : ['Mes']
9 Mot inconnu : o'donnell [[33:42]] =>  mes propositions : french café, o'donnell. a vous de proposer .  <|> o'donnell
9 Pas d’espace avant un point. [[62:64]] =>  mes propositions : french café, o'donnell. a vous de proposer .  <|>  . => suggestions : ['.']
9 Espace(s) en fin de ligne à supprimer. [[64:65]] =>  mes propositions : french café, o'donnell. a vous de proposer .  <|>   => suggestions : ['']

11 Mot inconnu : interessé [[10:19]] => personnes interessé (se faire connaitre en dessous : prénom,age, pc portable : oui/non) <|> interessé
11 Il manque un espace. [[60:63]] => personnes interessé (se faire connaitre en dessous : prénom,age, pc portable : oui/non) <|> age => suggestions : [' age']

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>  christophe, 36, non .   <|>   => suggestions : ['']
14 Mot inconnu : christophe [[1:11]] =>  christophe, 36, non .   <|> christophe
14 Pas d’espace avant un point. [[20:22]] =>  christophe, 36, non .   <|>  . => suggestions : ['.']
14 Espace(s) en fin de ligne à supprimer. [[22:24]] =>  christophe, 36, non .   <|>    => suggestions : ['']
