
5 Mot inconnu : Evolution => ======  Comment activer l’anti-spam sur Evolution ? ====== | evolution

7 Mot inconnu : Bogofilter => Le filtre anti-spam Bogofilter est installé et activé par défaut. S'il ne vous convient pas, désinstaller Bogofilter avant d'installer Spamassassin. | bogofilter
7 Mot inconnu : Bogofilter => Le filtre anti-spam Bogofilter est installé et activé par défaut. S'il ne vous convient pas, désinstaller Bogofilter avant d'installer Spamassassin. | bogofilter
7 Mot inconnu : Spamassassin => Le filtre anti-spam Bogofilter est installé et activé par défaut. S'il ne vous convient pas, désinstaller Bogofilter avant d'installer Spamassassin. | spamassassin

10 Mot inconnu : Spamassassin => <note important>Attention n'essayez pas d'installer Spamassassin et Bogofilter en même temps !!! Vous pouvez provoquer des bugs !!!</note> | spamassassin
10 Mot inconnu : Bogofilter => <note important>Attention n'essayez pas d'installer Spamassassin et Bogofilter en même temps !!! Vous pouvez provoquer des bugs !!!</note> | bogofilter

13 Mot inconnu : Spamassassin => ===== Spamassassin ===== | spamassassin

24 Mot inconnu : Spamd => ==== Lancer Spamd au démarrage ==== | spamd

28 Mot inconnu : to => <file># Change to one to enable spamd | to
28 Mot inconnu : one => <file># Change to one to enable spamd | one
28 Mot inconnu : to => <file># Change to one to enable spamd | to
28 Mot inconnu : enable => <file># Change to one to enable spamd | enable
28 Mot inconnu : spamd => <file># Change to one to enable spamd | spamd

29 Mot inconnu : ENABLED => ENABLED=0</file> | enabled

31 Espace(s) en fin de ligne à supprimer. => par  |   => suggestions : ['']

32 Mot inconnu : ENABLED => <file>ENABLED=1</file> | enabled

38 Mot inconnu : Pyzor => ==== Installation de Pyzor (optionnel) ==== | pyzor

40 Mot inconnu : Pyzor => Pyzor est un filtre supplémentaire qui se greffe dans spamassassin pour améliorer le filtrage des spam. | pyzor
40 Mot inconnu : spamassassin => Pyzor est un filtre supplémentaire qui se greffe dans spamassassin pour améliorer le filtrage des spam. | spamassassin
40 Accord de nombre erroné : « spam » devrait être au pluriel. => Pyzor est un filtre supplémentaire qui se greffe dans spamassassin pour améliorer le filtrage des spam. | spam => suggestions : ['spams']
53 Mot inconnu : pyzor_options => et ajoutez à la fin la ligne : <file>pyzor_options --homedir /etc/mail/spamassassin</file> | pyzor_options
53 Mot inconnu : homedir => et ajoutez à la fin la ligne : <file>pyzor_options --homedir /etc/mail/spamassassin</file> | homedir

68 Mot inconnu : spamd => Pour que les spams soient filtrés il faut lancer spamd. Il est conseillé de faire en sorte que spamd soit lancé au démarrage (voir au dessus) puis redémarrer le service. | spamd
68 Mot inconnu : spamd => Pour que les spams soient filtrés il faut lancer spamd. Il est conseillé de faire en sorte que spamd soit lancé au démarrage (voir au dessus) puis redémarrer le service. | spamd
68 Il manque un trait d’union. => Pour que les spams soient filtrés il faut lancer spamd. Il est conseillé de faire en sorte que spamd soit lancé au démarrage (voir au dessus) puis redémarrer le service. | au dessus => suggestions : ['au-dessus']

70 Mot inconnu : BogoFilter => ===== BogoFilter ===== | bogofilter

72 Mot inconnu : Bogofilter => Bogofilter est un "concurrent" de spamassassin qui est moins gourmand en ressources, plus rapide et plus efficace !! pourquoi s'en passer ... | bogofilter
72 Guillemets typographiques ouvrants. => Bogofilter est un "concurrent" de spamassassin qui est moins gourmand en ressources, plus rapide et plus efficace !! pourquoi s'en passer ... | " => suggestions : ['«\xa0', '“']
72 Guillemets typographiques fermants. => Bogofilter est un "concurrent" de spamassassin qui est moins gourmand en ressources, plus rapide et plus efficace !! pourquoi s'en passer ... | " => suggestions : ['\xa0»', '”']
72 Mot inconnu : spamassassin => Bogofilter est un "concurrent" de spamassassin qui est moins gourmand en ressources, plus rapide et plus efficace !! pourquoi s'en passer ... | spamassassin
