
4 Mot inconnu : Exalt => ====== Exalt ====== | exalt

12 Il manque un espace. => <file><!DOCTYPE busconfig PUBLIC | doctype => suggestions : [' DOCTYPE']
12 Mot inconnu : DOCTYPE => <file><!DOCTYPE busconfig PUBLIC | doctype
12 Mot inconnu : busconfig => <file><!DOCTYPE busconfig PUBLIC | busconfig

13 Mot inconnu : freedesktop => "-//freedesktop//DTD D-BUS Bus Configuration 1.0//EN" | freedesktop
13 Mot inconnu : DTD => "-//freedesktop//DTD D-BUS Bus Configuration 1.0//EN" | dtd
13 Guillemets typographiques fermants. => "-//freedesktop//DTD D-BUS Bus Configuration 1.0//EN" | " => suggestions : ['\xa0»', '”']

14 Guillemets typographiques ouvrants. => "http://www.freedesktop.org/standards/dbus/1.0/busconfig.dtd"> | " => suggestions : ['«\xa0', '“']

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       <policy user="root"> |        => suggestions : ['']
16 Guillemets typographiques ouvrants. =>       <policy user="root"> | " => suggestions : ['«\xa0', '“']
16 Guillemets typographiques fermants. =>       <policy user="root"> | " => suggestions : ['\xa0»', '”']

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>               <allow own="org.e.Exalt"/> |                => suggestions : ['']
17 Guillemets typographiques ouvrants. =>               <allow own="org.e.Exalt"/> | " => suggestions : ['«\xa0', '“']
17 Guillemets typographiques fermants. =>               <allow own="org.e.Exalt"/> | " => suggestions : ['\xa0»', '”']

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>               <allow send_destination="org.e.Exalt"/> |                => suggestions : ['']
18 Guillemets typographiques ouvrants. =>               <allow send_destination="org.e.Exalt"/> | " => suggestions : ['«\xa0', '“']
18 Guillemets typographiques fermants. =>               <allow send_destination="org.e.Exalt"/> | " => suggestions : ['\xa0»', '”']

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>               <allow send_interface="org.e.Exalt"/> |                => suggestions : ['']
19 Guillemets typographiques ouvrants. =>               <allow send_interface="org.e.Exalt"/> | " => suggestions : ['«\xa0', '“']
19 Guillemets typographiques fermants. =>               <allow send_interface="org.e.Exalt"/> | " => suggestions : ['\xa0»', '”']

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       </policy> |        => suggestions : ['']

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       <policy at_console="true"> |        => suggestions : ['']
21 Guillemets typographiques ouvrants. =>       <policy at_console="true"> | " => suggestions : ['«\xa0', '“']
21 Guillemets typographiques fermants. =>       <policy at_console="true"> | " => suggestions : ['\xa0»', '”']

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>               <allow send_destination="org.e.Exalt"/> |                => suggestions : ['']
22 Guillemets typographiques ouvrants. =>               <allow send_destination="org.e.Exalt"/> | " => suggestions : ['«\xa0', '“']
