
5 Mot inconnu : Folding => ====== Folding@Home : finstall ====== | folding
5 Mot inconnu : finstall => ====== Folding@Home : finstall ====== | finstall

7 Mot inconnu : Folding => Installation et lancement automatique de Folding@Home grâce à l'installateur semi-officiel finstall. | folding
7 Mot inconnu : finstall => Installation et lancement automatique de Folding@Home grâce à l'installateur semi-officiel finstall. | finstall

9 Mot inconnu : finstall => Pour plus d'informations, voir la [[https://help.ubuntu.com/community/FoldingAtHome/finstall|page anglaise de finstall]]. | finstall

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   chmod +x finstall |    => suggestions : ['']
19 Mot inconnu : chmod =>   chmod +x finstall | chmod
19 Mot inconnu : finstall =>   chmod +x finstall | finstall
21 Formatage des grands nombres. => Exécuter le programme ([[http://folding.extremeoverclocking.com/team_list.php|Liste des équipes]], [[https://wiki.ubuntu.com/FoldingAtHomeTeamUbuntu|Team-Ubuntu]]: 45104, ou bien Alliance-Francophone: 51, ou Linux: 163 ou ...), en saisissant : | 45104 => suggestions : ['45\xa0104']
21 Typographie : points de suspension. Utilisez le caractère dédié. => Exécuter le programme ([[http://folding.extremeoverclocking.com/team_list.php|Liste des équipes]], [[https://wiki.ubuntu.com/FoldingAtHomeTeamUbuntu|Team-Ubuntu]]: 45104, ou bien Alliance-Francophone: 51, ou Linux: 163 ou ...), en saisissant : | ... => suggestions : ['…']

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * si vous utilisez Ubuntu 32 bits: |    => suggestions : ['']

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ./finstall |    => suggestions : ['']
24 Mot inconnu : finstall =>   ./finstall | finstall

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * si vous utilisez Ubuntu 64 bits: |    => suggestions : ['']

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ./finstall smp |    => suggestions : ['']
28 Mot inconnu : finstall =>   ./finstall smp | finstall
28 Mot inconnu : smp =>   ./finstall smp | smp

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ~/foldingathome/folding start |    => suggestions : ['']
34 Mot inconnu : foldingathome =>   ~/foldingathome/folding start | foldingathome
34 Mot inconnu : folding =>   ~/foldingathome/folding start | folding
34 Mot inconnu : start =>   ~/foldingathome/folding start | start

38 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ~/foldingathome/folding stop |    => suggestions : ['']
38 Mot inconnu : foldingathome =>   ~/foldingathome/folding stop | foldingathome
38 Mot inconnu : folding =>   ~/foldingathome/folding stop | folding

47 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   #!/bin/bash |    => suggestions : ['']

48 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   # /etc/init.d/foldingathome for Ubuntu |    => suggestions : ['']

49 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   # Start the F@H service. |    => suggestions : ['']
49 Mot inconnu : Start =>   # Start the F@H service. | start
49 Mot inconnu : the =>   # Start the F@H service. | the

50 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   pushd /home/YOUR_USERNAME_HERE/foldingathome/ |    => suggestions : ['']
