
7 Mot inconnu : IRC => <note warning>Ces FAQ concernent logiquement toutes les versions courantes et suivantes. Les commandes données ne sont pas documentées volontairement pour ne pas surcharger les documents et peuvent être potentiellement **dangereuses pour votre système**. Elles sont à utiliser avec l'aide donnée sur le canal IRC [[irc://irc.freenode.net/ubuntu-fr|#ubuntu-fr]]</note> | irc
7 Mot inconnu : irc => <note warning>Ces FAQ concernent logiquement toutes les versions courantes et suivantes. Les commandes données ne sont pas documentées volontairement pour ne pas surcharger les documents et peuvent être potentiellement **dangereuses pour votre système**. Elles sont à utiliser avec l'aide donnée sur le canal IRC [[irc://irc.freenode.net/ubuntu-fr|#ubuntu-fr]]</note> | irc

13 Mot inconnu : pastebinit => pastebinit - < <(ls -al /dev)</code> | pastebinit
13 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => pastebinit - < <(ls -al /dev)</code> |  -  => suggestions : [' – ', ' — ', ' − ']
13 Mot inconnu : ls => pastebinit - < <(ls -al /dev)</code> | ls
13 Il manque un espace à côté du tiret. => pastebinit - < <(ls -al /dev)</code> |  - => suggestions : [' – ', ' — ']

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - [[faq_system|Système]] |    => suggestions : ['']
18 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - [[faq_system|Système]] |  -  => suggestions : [' – ', ' — ', ' − ']
18 Mot inconnu : faq_system =>   - [[faq_system|Système]] | faq_system

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - [[faq_materiel|Gestion du matériel]] |    => suggestions : ['']
19 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - [[faq_materiel|Gestion du matériel]] |  -  => suggestions : [' – ', ' — ', ' − ']
19 Mot inconnu : faq_materiel =>   - [[faq_materiel|Gestion du matériel]] | faq_materiel

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - [[faq_fs|Système de fichier]] |    => suggestions : ['']
20 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - [[faq_fs|Système de fichier]] |  -  => suggestions : [' – ', ' — ', ' − ']
20 Mot inconnu : faq_fs =>   - [[faq_fs|Système de fichier]] | faq_fs

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - [[faq_process|Gestion des processus]] |    => suggestions : ['']
21 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - [[faq_process|Gestion des processus]] |  -  => suggestions : [' – ', ' — ', ' − ']
21 Mot inconnu : faq_process =>   - [[faq_process|Gestion des processus]] | faq_process

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - [[faq_reseau|Gestion du réseau]] |    => suggestions : ['']
22 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - [[faq_reseau|Gestion du réseau]] |  -  => suggestions : [' – ', ' — ', ' − ']
22 Mot inconnu : faq_reseau =>   - [[faq_reseau|Gestion du réseau]] | faq_reseau

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - [[faq_fichier|Gestion des fichiers]] |    => suggestions : ['']
23 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - [[faq_fichier|Gestion des fichiers]] |  -  => suggestions : [' – ', ' — ', ' − ']
23 Mot inconnu : faq_fichier =>   - [[faq_fichier|Gestion des fichiers]] | faq_fichier

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - [[faq_user|Gestion des utilisateurs]] |    => suggestions : ['']
24 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - [[faq_user|Gestion des utilisateurs]] |  -  => suggestions : [' – ', ' — ', ' − ']
24 Mot inconnu : faq_user =>   - [[faq_user|Gestion des utilisateurs]] | faq_user

