
8 Mot inconnu : Fish => ====== Fish Fillets ====== | fish
8 Mot inconnu : Fillets => ====== Fish Fillets ====== | fillets

10 Espace(s) surnuméraire(s) à supprimer. => Vous avez deux poissons à faire sortir de l'écran.  Vous trouverez des tableaux de difficultés croissantes avec votre avancement.  |    => suggestions : [' ']
10 Espace(s) en fin de ligne à supprimer. => Vous avez deux poissons à faire sortir de l'écran.  Vous trouverez des tableaux de difficultés croissantes avec votre avancement.  |   => suggestions : ['']

22 Espace(s) surnuméraire(s) à supprimer. => Le but d'un tableau est de faire sortir les deux poissons de l'écran.  Certains éléments du décor peuvent être déplacés pour laisser suffisamment de place au passage des poissons.  Ces éléments déplaçables se meuvent automatiquement vers le bas jusqu'à ce qu'ils rencontrent un obstacle. |    => suggestions : [' ']
22 Espace(s) surnuméraire(s) à supprimer. => Le but d'un tableau est de faire sortir les deux poissons de l'écran.  Certains éléments du décor peuvent être déplacés pour laisser suffisamment de place au passage des poissons.  Ces éléments déplaçables se meuvent automatiquement vers le bas jusqu'à ce qu'ils rencontrent un obstacle. |    => suggestions : [' ']

24 Espace(s) surnuméraire(s) à supprimer. => Un objet tombant sur un poisson le transforme en squelette.  De même, si un objet est supporté par un autre, le déplacement de cet objet peut supprimer ce support et le poisson est écrasé. |    => suggestions : [' ']

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * supporter un objet qui n'est pas en acier |    => suggestions : ['']

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * pousser un objet horizontalement, à condition que cet objet soit supporté    |    => suggestions : ['']
30 Espace(s) en fin de ligne à supprimer. =>   * pousser un objet horizontalement, à condition que cet objet soit supporté    |     => suggestions : ['']

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * soulever un objet qui n'est pas en acier. |    => suggestions : ['']

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * se mouvoir horizontalement sous un objet qui n'est pas en acier, même s'il n'est pas supporté par un autre. |    => suggestions : ['']

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * supporter un objet |    => suggestions : ['']

36 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * pousser un objet horizontalement, à condition que cet objet soit supporté |    => suggestions : ['']

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * soulever un objet |    => suggestions : ['']

38 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * se mouvoir horizontalement sous un objet, même s'il n'est pas supporté par un autre. |    => suggestions : ['']
42 Il manque un espace. => //Contributeurs: [[utilisateurs:Fabien26]] actualisation,// | fabien26 => suggestions : [' Fabien26']
