
3 Mot inconnu : Foobillard => ====== Foobillard ====== | foobillard

5 Mot inconnu : FooBillard => FooBillard est un jeu gratuit, sous licence GPL2, de simulation réaliste de billard. | foobillard
5 Mot inconnu : GPL2 => FooBillard est un jeu gratuit, sous licence GPL2, de simulation réaliste de billard. | gpl2

10 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion internet active pour télécharger le paquet et ses dépendances |    => suggestions : ['']

18 Mot inconnu : red => Le jeu supporte un mode de rendu anaglyphe (red/cyan). Pour l'activer, cliquer sur "Echap" pendant le jeu, puis dans "Options" allez dans la catégorie "Display". L'activation du mode stéréoscopique se fait en cliquant sur "red/green stereo" puis en choisissant "rg on". Le jeu passera directement en mode anaglyphe. | red
18 Guillemets typographiques ouvrants. => Le jeu supporte un mode de rendu anaglyphe (red/cyan). Pour l'activer, cliquer sur "Echap" pendant le jeu, puis dans "Options" allez dans la catégorie "Display". L'activation du mode stéréoscopique se fait en cliquant sur "red/green stereo" puis en choisissant "rg on". Le jeu passera directement en mode anaglyphe. | " => suggestions : ['«\xa0', '“']
18 Mot inconnu : Echap => Le jeu supporte un mode de rendu anaglyphe (red/cyan). Pour l'activer, cliquer sur "Echap" pendant le jeu, puis dans "Options" allez dans la catégorie "Display". L'activation du mode stéréoscopique se fait en cliquant sur "red/green stereo" puis en choisissant "rg on". Le jeu passera directement en mode anaglyphe. | echap
18 Guillemets typographiques fermants. => Le jeu supporte un mode de rendu anaglyphe (red/cyan). Pour l'activer, cliquer sur "Echap" pendant le jeu, puis dans "Options" allez dans la catégorie "Display". L'activation du mode stéréoscopique se fait en cliquant sur "red/green stereo" puis en choisissant "rg on". Le jeu passera directement en mode anaglyphe. | " => suggestions : ['\xa0»', '”']
18 Guillemets typographiques ouvrants. => Le jeu supporte un mode de rendu anaglyphe (red/cyan). Pour l'activer, cliquer sur "Echap" pendant le jeu, puis dans "Options" allez dans la catégorie "Display". L'activation du mode stéréoscopique se fait en cliquant sur "red/green stereo" puis en choisissant "rg on". Le jeu passera directement en mode anaglyphe. | " => suggestions : ['«\xa0', '“']
18 Guillemets typographiques fermants. => Le jeu supporte un mode de rendu anaglyphe (red/cyan). Pour l'activer, cliquer sur "Echap" pendant le jeu, puis dans "Options" allez dans la catégorie "Display". L'activation du mode stéréoscopique se fait en cliquant sur "red/green stereo" puis en choisissant "rg on". Le jeu passera directement en mode anaglyphe. | " => suggestions : ['\xa0»', '”']
18 Guillemets typographiques ouvrants. => Le jeu supporte un mode de rendu anaglyphe (red/cyan). Pour l'activer, cliquer sur "Echap" pendant le jeu, puis dans "Options" allez dans la catégorie "Display". L'activation du mode stéréoscopique se fait en cliquant sur "red/green stereo" puis en choisissant "rg on". Le jeu passera directement en mode anaglyphe. | " => suggestions : ['«\xa0', '“']
18 Mot inconnu : Display => Le jeu supporte un mode de rendu anaglyphe (red/cyan). Pour l'activer, cliquer sur "Echap" pendant le jeu, puis dans "Options" allez dans la catégorie "Display". L'activation du mode stéréoscopique se fait en cliquant sur "red/green stereo" puis en choisissant "rg on". Le jeu passera directement en mode anaglyphe. | display
18 Guillemets typographiques fermants. => Le jeu supporte un mode de rendu anaglyphe (red/cyan). Pour l'activer, cliquer sur "Echap" pendant le jeu, puis dans "Options" allez dans la catégorie "Display". L'activation du mode stéréoscopique se fait en cliquant sur "red/green stereo" puis en choisissant "rg on". Le jeu passera directement en mode anaglyphe. | " => suggestions : ['\xa0»', '”']
18 Guillemets typographiques ouvrants. => Le jeu supporte un mode de rendu anaglyphe (red/cyan). Pour l'activer, cliquer sur "Echap" pendant le jeu, puis dans "Options" allez dans la catégorie "Display". L'activation du mode stéréoscopique se fait en cliquant sur "red/green stereo" puis en choisissant "rg on". Le jeu passera directement en mode anaglyphe. | " => suggestions : ['«\xa0', '“']
18 Mot inconnu : red => Le jeu supporte un mode de rendu anaglyphe (red/cyan). Pour l'activer, cliquer sur "Echap" pendant le jeu, puis dans "Options" allez dans la catégorie "Display". L'activation du mode stéréoscopique se fait en cliquant sur "red/green stereo" puis en choisissant "rg on". Le jeu passera directement en mode anaglyphe. | red
18 Mot inconnu : stereo => Le jeu supporte un mode de rendu anaglyphe (red/cyan). Pour l'activer, cliquer sur "Echap" pendant le jeu, puis dans "Options" allez dans la catégorie "Display". L'activation du mode stéréoscopique se fait en cliquant sur "red/green stereo" puis en choisissant "rg on". Le jeu passera directement en mode anaglyphe. | stereo
18 Guillemets typographiques fermants. => Le jeu supporte un mode de rendu anaglyphe (red/cyan). Pour l'activer, cliquer sur "Echap" pendant le jeu, puis dans "Options" allez dans la catégorie "Display". L'activation du mode stéréoscopique se fait en cliquant sur "red/green stereo" puis en choisissant "rg on". Le jeu passera directement en mode anaglyphe. | " => suggestions : ['\xa0»', '”']
18 Guillemets typographiques ouvrants. => Le jeu supporte un mode de rendu anaglyphe (red/cyan). Pour l'activer, cliquer sur "Echap" pendant le jeu, puis dans "Options" allez dans la catégorie "Display". L'activation du mode stéréoscopique se fait en cliquant sur "red/green stereo" puis en choisissant "rg on". Le jeu passera directement en mode anaglyphe. | " => suggestions : ['«\xa0', '“']
18 Mot inconnu : rg => Le jeu supporte un mode de rendu anaglyphe (red/cyan). Pour l'activer, cliquer sur "Echap" pendant le jeu, puis dans "Options" allez dans la catégorie "Display". L'activation du mode stéréoscopique se fait en cliquant sur "red/green stereo" puis en choisissant "rg on". Le jeu passera directement en mode anaglyphe. | rg
18 Guillemets typographiques fermants. => Le jeu supporte un mode de rendu anaglyphe (red/cyan). Pour l'activer, cliquer sur "Echap" pendant le jeu, puis dans "Options" allez dans la catégorie "Display". L'activation du mode stéréoscopique se fait en cliquant sur "red/green stereo" puis en choisissant "rg on". Le jeu passera directement en mode anaglyphe. | " => suggestions : ['\xa0»', '”']

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  [[http://foobillard.sourceforge.net|Page du projet sur sourceforge]] |    => suggestions : ['']
22 Mot inconnu : sourceforge =>   *  [[http://foobillard.sourceforge.net|Page du projet sur sourceforge]] | sourceforge
