
5 Mot inconnu : ƒprint => ====== ƒprint : logiciel de lecture d'empreintes digitales ====== | ƒprint

7 Mot inconnu : ƒPrint => **ƒPrint** est un logiciel parmi les plus répandus de lecture biométrique sous Linux.\\ | ƒprint
20 Espace(s) en fin de ligne à supprimer. => On peut comparer ces identifiants avec :  |   => suggestions : ['']
27 Mot inconnu : libpam-fprintd => Il suffit d'installer les paquets **[[apt>libpam-fprintd]]** et **[[apt>fprintd]]**. \\ | libpam-fprintd
27 Mot inconnu : fprintd => Il suffit d'installer les paquets **[[apt>libpam-fprintd]]** et **[[apt>fprintd]]**. \\ | fprintd
28 Espace(s) en fin de ligne à supprimer. => Et voilà, vous allez pouvoir commencer à utiliser votre empreinte digitale !  |   => suggestions : ['']

57 Mot inconnu : Verifier => ==== Verifier l'enregistrement de votre empreinte ==== | verifier

85 Il manque un espace à côté du tiret. => Il suffit de rajouter à la commande ci-dessus l'option -f (ou --enroll-finger) suivi de:  |  - => suggestions : [' – ', ' — ']
85 Mot inconnu : enroll-finger => Il suffit de rajouter à la commande ci-dessus l'option -f (ou --enroll-finger) suivi de:  | enroll-finger
85 Espace(s) en fin de ligne à supprimer. => Il suffit de rajouter à la commande ci-dessus l'option -f (ou --enroll-finger) suivi de:  |   => suggestions : ['']
90 Espace(s) en fin de ligne à supprimer. => Exemple, pour enregistrer l'empreinte du majeur droit:  |   => suggestions : ['']
