
2 Mot inconnu : Freebox => ====== Freebox PRO : Freebox des entreprises & Pro. ====== | freebox
2 Mot inconnu : Freebox => ====== Freebox PRO : Freebox des entreprises & Pro. ====== | freebox

5 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Compatible Fibre 10G EPON |    => suggestions : ['']
5 Mot inconnu : EPON =>   * Compatible Fibre 10G EPON | epon

6 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Wi-Fi AC4400 MU-MIMO, Tri-bande (2,4GHz et 2 canaux 5GHz) |    => suggestions : ['']
6 Mot inconnu : AC4400 =>   * Wi-Fi AC4400 MU-MIMO, Tri-bande (2,4GHz et 2 canaux 5GHz) | ac4400
6 Mot inconnu : MU-MIMO =>   * Wi-Fi AC4400 MU-MIMO, Tri-bande (2,4GHz et 2 canaux 5GHz) | mu-mimo
6 Si “GHz” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   * Wi-Fi AC4400 MU-MIMO, Tri-bande (2,4GHz et 2 canaux 5GHz) | 2,4ghz => suggestions : ['2,4\xa0GHz']

7 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Norme WPA3 (protocole de chiffrement dernière génération) |    => suggestions : ['']
7 Mot inconnu : WPA3 =>   * Norme WPA3 (protocole de chiffrement dernière génération) | wpa3

8 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * 1 port FXS (ligne Fixe Freebox Pro) |    => suggestions : ['']
8 Mot inconnu : FXS =>   * 1 port FXS (ligne Fixe Freebox Pro) | fxs
8 Mot inconnu : Freebox =>   * 1 port FXS (ligne Fixe Freebox Pro) | freebox

9 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Port USB 3.0 type A |    => suggestions : ['']

10 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * 4 ports 1Gbit Ethernet RJ45 |    => suggestions : ['']
10 Mot inconnu : RJ45 =>   * 4 ports 1Gbit Ethernet RJ45 | rj45

