
5 Mot inconnu : Gajim => ====== Configurer Gajim pour Google Talk ====== | gajim
5 Mot inconnu : Talk => ====== Configurer Gajim pour Google Talk ====== | talk

11 Mot inconnu : Talk => Le service Google Talk n'est disponible qu'aux possesseurs actuels de comptes Gmail. L'adresse de contact Jabber est la même que votre adresse courriel Gmail.  Pour ce tutoriel, nous utiliserons l'adresse //login@gmail.com// à titre d'exemple. | talk
11 Mot inconnu : Gmail => Le service Google Talk n'est disponible qu'aux possesseurs actuels de comptes Gmail. L'adresse de contact Jabber est la même que votre adresse courriel Gmail.  Pour ce tutoriel, nous utiliserons l'adresse //login@gmail.com// à titre d'exemple. | gmail
11 Mot inconnu : Jabber => Le service Google Talk n'est disponible qu'aux possesseurs actuels de comptes Gmail. L'adresse de contact Jabber est la même que votre adresse courriel Gmail.  Pour ce tutoriel, nous utiliserons l'adresse //login@gmail.com// à titre d'exemple. | jabber
11 Mot inconnu : Gmail => Le service Google Talk n'est disponible qu'aux possesseurs actuels de comptes Gmail. L'adresse de contact Jabber est la même que votre adresse courriel Gmail.  Pour ce tutoriel, nous utiliserons l'adresse //login@gmail.com// à titre d'exemple. | gmail
11 Espace(s) surnuméraire(s) à supprimer. => Le service Google Talk n'est disponible qu'aux possesseurs actuels de comptes Gmail. L'adresse de contact Jabber est la même que votre adresse courriel Gmail.  Pour ce tutoriel, nous utiliserons l'adresse //login@gmail.com// à titre d'exemple. |    => suggestions : [' ']

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Nom d'utilisateur : votre nom d'utilisateur Gmail, login pour notre exemple |    => suggestions : ['']
20 Mot inconnu : Gmail =>   * Nom d'utilisateur : votre nom d'utilisateur Gmail, login pour notre exemple | gmail

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Mot de passe : votre mot de passe Gmail |    => suggestions : ['']
21 Mot inconnu : Gmail =>   * Mot de passe : votre mot de passe Gmail | gmail

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Serveur : gmail.com |    => suggestions : ['']
22 Mot inconnu : gmail =>   * Serveur : gmail.com | gmail

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Utiliser SSL |    => suggestions : ['']
23 Mot inconnu : SSL =>   * Utiliser SSL | ssl

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Hôte/port personnalisé : talk.google.com sur le port 5223 |    => suggestions : ['']

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Port alternatif: 443\\ Si vous désirez vous connecter depuis un endroit protégé par un pare-feu (bureau, collège, etc), il se peut que celui-ci bloque la connexion.  Pour contourner le problème, remplacez le port 5223 par le port 443.  Celui-ci sera presque assurément débloqué, peu importe où vous vous trouvez. |      => suggestions : ['']
25 Espace(s) surnuméraire(s) à supprimer. =>     * Port alternatif: 443\\ Si vous désirez vous connecter depuis un endroit protégé par un pare-feu (bureau, collège, etc), il se peut que celui-ci bloque la connexion.  Pour contourner le problème, remplacez le port 5223 par le port 443.  Celui-ci sera presque assurément débloqué, peu importe où vous vous trouvez. |    => suggestions : [' ']
25 Espace(s) surnuméraire(s) à supprimer. =>     * Port alternatif: 443\\ Si vous désirez vous connecter depuis un endroit protégé par un pare-feu (bureau, collège, etc), il se peut que celui-ci bloque la connexion.  Pour contourner le problème, remplacez le port 5223 par le port 443.  Celui-ci sera presque assurément débloqué, peu importe où vous vous trouvez. |    => suggestions : [' ']

27 Mot inconnu : Gajim => ===== Configuration de Gajim ===== | gajim

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Cliquez sur le bouton //Ajouter// ;\\ |    => suggestions : ['']

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Choisissez l'option //J'ai déjà un compte que je veux utiliser// et cliquer sur le bouton //Suivant// ;\\ |    => suggestions : ['']

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Renseignez les champs //Identifiant Jabber// en entrant votre adresse gmail et //mot de passe// puis cliquez sur le bouton //Suivant// ;\\ |    => suggestions : ['']
35 Mot inconnu : Jabber =>   * Renseignez les champs //Identifiant Jabber// en entrant votre adresse gmail et //mot de passe// puis cliquez sur le bouton //Suivant// ;\\ | jabber
35 Mot inconnu : gmail =>   * Renseignez les champs //Identifiant Jabber// en entrant votre adresse gmail et //mot de passe// puis cliquez sur le bouton //Suivant// ;\\ | gmail

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ouvrez la fenêtre de configuration avancée avec le bouton //Avancées// ; |    => suggestions : ['']

38 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Dans l'onglet //Connexion//, cochez l'option //Utiliser un nom d'hôte/port personnalisé// et complétez les champs //Nom d'Hôte// et //Port// : **talk.google.com** |    => suggestions : ['']

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Enregistrez les modifications. |    => suggestions : ['']

51 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://trac.gajim.org/wiki/GajimGoogleTalk|La page d'explication originale, en anglais]] |    => suggestions : ['']
55 Il manque un espace. => //Contributeur : Rédigé par [[utilisateurs:arvin]]. // | arvin => suggestions : [' arvin']
