
5 Mot inconnu : GCC => ====== GCC, le jeu de compilateurs GNU ====== | gcc

7 Mot inconnu : GCC => GCC (GNU Compiler Collection) est une suite de logiciels libres de compilation. On l'utilise dans le monde Linux dès que l'on veut transcrire du code source en langage machine, c'est le plus répandu des compilateurs. La suite gère le C et ses dérivés mais aussi le Java ou encore le Fortran. | gcc

44 Espace(s) en fin de ligne à supprimer. => À noter qu'il faut se trouver dans le dossier où se situe le fichier.c.  |   => suggestions : ['']

53 Dialogues et énumérations : il faut tiret cadratin [1] ou demi-cadratin [2] suivi d’un espace insécable. => -o pour output, permet de définir le fichier de sortie. Si absent, le fichier créé est nommé a.out | - => suggestions : ['—\xa0', '–\xa0']
53 Il manque un espace. => -o pour output, permet de définir le fichier de sortie. Si absent, le fichier créé est nommé a.out | out => suggestions : [' out']

55 Il manque un espace avant la parenthèse. => Détermine le langage standard((https://isocpp.org/std/the-standard)): | ( => suggestions : [' (']

63 Accord de nombre erroné : « warning » devrait être au pluriel. => pour que le compilateur retourne des warning sur des parties de codes qui lui semble incorrecte, on utilise généralement : | warning => suggestions : ['warnings']

68 Il manque un espace à côté du tiret. => on peut compléter -Wall avec |  - => suggestions : [' – ', ' — ']

73 Écriture invariable. Utilisez un point médian. => à la différence de l'option //-S// vue plus haut, cela crée le(s) fichier(s) objet(s) | fichier(s) => suggestions : ['fichier·s']
73 Écriture invariable. Utilisez un point médian. => à la différence de l'option //-S// vue plus haut, cela crée le(s) fichier(s) objet(s) | objet(s) => suggestions : ['objet·s']

75 Mot inconnu : debuggage => Compiler avec option de debuggage: | debuggage

78 Mot inconnu : include => Compiler avec des fichiers //include// (header files): | include
78 Mot inconnu : header => Compiler avec des fichiers //include// (header files): | header
80 Accord de nombre erroné : « fichier » devrait être au pluriel. => Nota: vos fichier .h ou .hpp sont généralement avec vos sources, il est inutile d'ajouter cette option pour ces fichiers, en revanche, si vous avez des librairies à lier, il faut spécifier le chemin des fichiers //headers// de ces librairies. | fichier => suggestions : ['fichiers']
80 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Nota: vos fichier .h ou .hpp sont généralement avec vos sources, il est inutile d'ajouter cette option pour ces fichiers, en revanche, si vous avez des librairies à lier, il faut spécifier le chemin des fichiers //headers// de ces librairies. |  . => suggestions : ['. ', '.']
80 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Nota: vos fichier .h ou .hpp sont généralement avec vos sources, il est inutile d'ajouter cette option pour ces fichiers, en revanche, si vous avez des librairies à lier, il faut spécifier le chemin des fichiers //headers// de ces librairies. |  . => suggestions : ['. ', '.']
80 Mot inconnu : hpp => Nota: vos fichier .h ou .hpp sont généralement avec vos sources, il est inutile d'ajouter cette option pour ces fichiers, en revanche, si vous avez des librairies à lier, il faut spécifier le chemin des fichiers //headers// de ces librairies. | hpp
80 Mot inconnu : headers => Nota: vos fichier .h ou .hpp sont généralement avec vos sources, il est inutile d'ajouter cette option pour ces fichiers, en revanche, si vous avez des librairies à lier, il faut spécifier le chemin des fichiers //headers// de ces librairies. | headers

83 Dialogues et énumérations : il faut tiret cadratin [1] ou demi-cadratin [2] suivi d’un espace insécable. => -O1 ou -O2 ... ou -O3 | - => suggestions : ['—\xa0', '–\xa0']
83 Mot inconnu : O1 => -O1 ou -O2 ... ou -O3 | o1
83 Il manque un espace à côté du tiret. => -O1 ou -O2 ... ou -O3 |  - => suggestions : [' – ', ' — ']
83 Typographie des composés chimiques. => -O1 ou -O2 ... ou -O3 | o2 => suggestions : ['O₂']
83 Mot inconnu : O2 => -O1 ou -O2 ... ou -O3 | o2
83 Typographie : points de suspension. Utilisez le caractère dédié. => -O1 ou -O2 ... ou -O3 | ... => suggestions : ['…']
83 Il manque un espace à côté du tiret. => -O1 ou -O2 ... ou -O3 |  - => suggestions : [' – ', ' — ']
83 Typographie des composés chimiques. => -O1 ou -O2 ... ou -O3 | o3 => suggestions : ['O₃']
83 Mot inconnu : O3 => -O1 ou -O2 ... ou -O3 | o3

88 Mot inconnu : GCC => Pour une liste exhaustive des multiples options ou optimisations et pour une syntaxe détaillée de GCC, consulter la [[man|page de manuel]] de gcc (longue de plus de 15000 lignes) . | gcc
88 Mot inconnu : gcc => Pour une liste exhaustive des multiples options ou optimisations et pour une syntaxe détaillée de GCC, consulter la [[man|page de manuel]] de gcc (longue de plus de 15000 lignes) . | gcc
88 Formatage des grands nombres. => Pour une liste exhaustive des multiples options ou optimisations et pour une syntaxe détaillée de GCC, consulter la [[man|page de manuel]] de gcc (longue de plus de 15000 lignes) . | 15000 => suggestions : ['15\xa0000']
