
5 Mot inconnu : GCompris => ====== GCompris : Suite de logiciels ludo-éducatifs ====== | gcompris

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * //découverte de l’ordinateur// : clavier, souris, les mouvements de la souris, ... |    => suggestions : ['']
11 Une de ces ponctuations est superflue. =>   * //découverte de l’ordinateur// : clavier, souris, les mouvements de la souris, ... | , . => suggestions : [',', '.']
11 Typographie : points de suspension. Utilisez le caractère dédié. =>   * //découverte de l’ordinateur// : clavier, souris, les mouvements de la souris, ... | ... => suggestions : ['…']

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * //mathématiques// : révision des tables, dénombrement, les tables à double entrée, symétrie, ... |    => suggestions : ['']
12 Une de ces ponctuations est superflue. =>   * //mathématiques// : révision des tables, dénombrement, les tables à double entrée, symétrie, ... | , . => suggestions : [',', '.']
12 Typographie : points de suspension. Utilisez le caractère dédié. =>   * //mathématiques// : révision des tables, dénombrement, les tables à double entrée, symétrie, ... | ... => suggestions : ['…']

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * //sciences// : l’électricité, l’écluse, le cycle de l’eau, le sous-marin, ... |    => suggestions : ['']
13 Une de ces ponctuations est superflue. =>   * //sciences// : l’électricité, l’écluse, le cycle de l’eau, le sous-marin, ... | , . => suggestions : [',', '.']
13 Typographie : points de suspension. Utilisez le caractère dédié. =>   * //sciences// : l’électricité, l’écluse, le cycle de l’eau, le sous-marin, ... | ... => suggestions : ['…']

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * //géographie// : placer les pays sur une carte |    => suggestions : ['']

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * //jeux// : des casses têtes, les échecs, la mémoire, ... |    => suggestions : ['']
15 Une de ces ponctuations est superflue. =>   * //jeux// : des casses têtes, les échecs, la mémoire, ... | , . => suggestions : [',', '.']
15 Typographie : points de suspension. Utilisez le caractère dédié. =>   * //jeux// : des casses têtes, les échecs, la mémoire, ... | ... => suggestions : ['…']

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * //lecture// : exercice d’entraînement à la lecture |    => suggestions : ['']

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * //autres// : lecture de l’heure, peintures célèbres sous forme de puzzle, dessin vectoriel, création de dessin animé... |    => suggestions : ['']
17 Typographie : points de suspension. Utilisez le caractère dédié. =>   * //autres// : lecture de l’heure, peintures célèbres sous forme de puzzle, dessin vectoriel, création de dessin animé... | ... => suggestions : ['…']
26 Espace(s) surnuméraire(s) à supprimer. => Note: pour la simulation des //schémas électriques// il faut installer le paquet  **[[apt>gnucap|gnucap]]**. |    => suggestions : [' ']

29 Mot inconnu : Gcompris => Pour obtenir la dernière version avec toutes les activités, vous pouvez passer par la compilation des paquets. Voici la procédure indiquée sur le site de Gcompris: | gcompris

