
5 Mot inconnu : SVGAlib => ====== SVGAlib/GTK generator====== | svgalib
5 Mot inconnu : generator => ====== SVGAlib/GTK generator====== | generator

6 Avec une unité de mesure, mettez un espace insécable. => <note warning>Plus développé depuis 10 ans !</note> | 10 ans => suggestions : ['10\xa0ans']

8 Mot inconnu : Generator => Generator est un émulateur Sega Genesis / Mega Drive.\\ | generator
8 Mot inconnu : Genesis => Generator est un émulateur Sega Genesis / Mega Drive.\\ | genesis
8 Mot inconnu : Mega => Generator est un émulateur Sega Genesis / Mega Drive.\\ | mega

10 Mot inconnu : SVGAlib => Deux ports existent pour cet émulateur. L'un, SVGAlib generator, tourne dans un terminal sans qu'un serveur X soit nécessaire. L'autre, GTK generator, utilise SDL et gtk. | svgalib
10 Mot inconnu : generator => Deux ports existent pour cet émulateur. L'un, SVGAlib generator, tourne dans un terminal sans qu'un serveur X soit nécessaire. L'autre, GTK generator, utilise SDL et gtk. | generator
10 Mot inconnu : generator => Deux ports existent pour cet émulateur. L'un, SVGAlib generator, tourne dans un terminal sans qu'un serveur X soit nécessaire. L'autre, GTK generator, utilise SDL et gtk. | generator
10 Mot inconnu : SDL => Deux ports existent pour cet émulateur. L'un, SVGAlib generator, tourne dans un terminal sans qu'un serveur X soit nécessaire. L'autre, GTK generator, utilise SDL et gtk. | sdl

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']

26 Mot inconnu : SVGA => ==== SVGA ==== | svga

54 Mot inconnu : SVGA => ==== SVGA ==== | svga

56 Mot inconnu : SVGAlib => Pour connaître les paramètres de SVGAlib generator, vous pouvez utiliser la commande suivante :  | svgalib
56 Mot inconnu : generator => Pour connaître les paramètres de SVGAlib generator, vous pouvez utiliser la commande suivante :  | generator
56 Espace(s) en fin de ligne à supprimer. => Pour connaître les paramètres de SVGAlib generator, vous pouvez utiliser la commande suivante :  |   => suggestions : ['']

69 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **key0**\\  configuration clavier principale (bouttons=ASD pad=flèches) \\ |    => suggestions : ['']
69 Mot inconnu : key0 =>   * **key0**\\  configuration clavier principale (bouttons=ASD pad=flèches) \\ | key0
69 Mot inconnu : bouttons =>   * **key0**\\  configuration clavier principale (bouttons=ASD pad=flèches) \\ | bouttons
69 Mot inconnu : ASD =>   * **key0**\\  configuration clavier principale (bouttons=ASD pad=flèches) \\ | asd
69 Mot inconnu : pad =>   * **key0**\\  configuration clavier principale (bouttons=ASD pad=flèches) \\ | pad

70 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **key1**\\  clavier gaucher qwerty (bouttons=ZXC pad=DGRF) \\ |    => suggestions : ['']
70 Mot inconnu : key1 =>   * **key1**\\  clavier gaucher qwerty (bouttons=ZXC pad=DGRF) \\ | key1
70 Mot inconnu : bouttons =>   * **key1**\\  clavier gaucher qwerty (bouttons=ZXC pad=DGRF) \\ | bouttons
70 Mot inconnu : ZXC =>   * **key1**\\  clavier gaucher qwerty (bouttons=ZXC pad=DGRF) \\ | zxc
70 Mot inconnu : pad =>   * **key1**\\  clavier gaucher qwerty (bouttons=ZXC pad=DGRF) \\ | pad
70 Mot inconnu : DGRF =>   * **key1**\\  clavier gaucher qwerty (bouttons=ZXC pad=DGRF) \\ | dgrf

71 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **key2**\\  clavier droitier (buttons=,./ pad=arrows) \\ |    => suggestions : ['']
71 Mot inconnu : key2 =>   * **key2**\\  clavier droitier (buttons=,./ pad=arrows) \\ | key2
71 Une de ces ponctuations est superflue. =>   * **key2**\\  clavier droitier (buttons=,./ pad=arrows) \\ | ,. => suggestions : [',', '.']
71 Mot inconnu : pad =>   * **key2**\\  clavier droitier (buttons=,./ pad=arrows) \\ | pad
71 Mot inconnu : arrows =>   * **key2**\\  clavier droitier (buttons=,./ pad=arrows) \\ | arrows

72 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **joy0**\\  Joystick 0 \\ |    => suggestions : ['']
72 Mot inconnu : joy0 =>   * **joy0**\\  Joystick 0 \\ | joy0

73 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **joy1**\\  Joystick 1 \\ |    => suggestions : ['']
73 Mot inconnu : joy1 =>   * **joy1**\\  Joystick 1 \\ | joy1

74 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **none**\\  Aucun joystick\\ |    => suggestions : ['']

77 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [F1]=infos\\ |    => suggestions : ['']

78 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [F2]=charger ou sauvegarder\\ |    => suggestions : ['']
78 Mot inconnu : F2 =>   * [F2]=charger ou sauvegarder\\ | f2

79 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [F4]=capture d'écran\\ |    => suggestions : ['']
79 Mot inconnu : F4 =>   * [F4]=capture d'écran\\ | f4

80 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [F5]=supprimer les infos à l'écran\\ |    => suggestions : ['']
80 Mot inconnu : F5 =>   * [F5]=supprimer les infos à l'écran\\ | f5

81 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [F10]=plein écran\\ |    => suggestions : ['']
81 Mot inconnu : F10 =>   * [F10]=plein écran\\ | f10

82 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [échap]=quitter\\ |    => suggestions : ['']
82 Mot inconnu : échap =>   * [échap]=quitter\\ | échap

86 Mot inconnu : SVGAlib => Pour jouer avec SVGAlib generator, vous pouvez utilisez une commande ressemblant à ceci : | svgalib
86 Mot inconnu : generator => Pour jouer avec SVGAlib generator, vous pouvez utilisez une commande ressemblant à ceci : | generator
86 S’il s’agit d’une action que le sujet peut accomplir, le verbe devrait être à l’infinitif. => Pour jouer avec SVGAlib generator, vous pouvez utilisez une commande ressemblant à ceci : | utilisez => suggestions : ['utiliser']

92 Mot inconnu : Sonic => Par exemple, pour lancer //Sonic// et dont le premier joueur utilise un joystick et le second le clavier :  | sonic
92 Espace(s) en fin de ligne à supprimer. => Par exemple, pour lancer //Sonic// et dont le premier joueur utilise un joystick et le second le clavier :  |   => suggestions : ['']

99 Guillemets typographiques ouvrants. => Voici un exemple d'utilisation si votre console est dans le répertoire 'generator-0.35.gtk': | ' => suggestions : ['“', '‘', '‹']
99 Mot inconnu : generator-0 => Voici un exemple d'utilisation si votre console est dans le répertoire 'generator-0.35.gtk': | generator-0

104 Guillemets typographiques ouvrants. => Vous pouvez aussi démarrer cet émulateur avec un fichier ''rom'' précis: | '' => suggestions : ['«\xa0', '“']
104 Guillemets typographiques fermants. => Vous pouvez aussi démarrer cet émulateur avec un fichier ''rom'' précis: | '' => suggestions : ['\xa0»', '”']

114 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Le site officiel : http://www.squish.net/generator/ |    => suggestions : ['']
118 Il manque un espace. => Contributeurs : [[utilisateurs:manu_newbie]] [[utilisateurs:kmeleon|Kmeleon]]  [[utilisateurs:adam0509|adam0509]] [[utilisateurs:milambert]] FIXME | manu_newbie => suggestions : [' manu_newbie']
