1 Mot inconnu : Gigabyte [[7:15]] => ====== Gigabyte GA-M720-US3 ====== <|> gigabyte
1 Mot inconnu : GA-M720-US3 [[16:27]] => ====== Gigabyte GA-M720-US3 ====== <|> ga-m720-us3

7 Mot inconnu : Chipset [[29:36]] => ^ Marque ^ Modèle ^ Socket ^ Chipset ^Type Memoire ^ Format CM ^ prix ^ date ^ Commentaires ^ <|> chipset
7 Mot inconnu : Memoire [[43:50]] => ^ Marque ^ Modèle ^ Socket ^ Chipset ^Type Memoire ^ Format CM ^ prix ^ date ^ Commentaires ^ <|> memoire

12 Mot inconnu : Phenom [[27:33]] => Elle supporte les nouveaux Phenom II X6 depuis le bios F7K (beta). <|> phenom
12 Mot inconnu : X6 [[37:39]] => Elle supporte les nouveaux Phenom II X6 depuis le bios F7K (beta). <|> x6
12 Accord de nombre erroné : « bios » est au pluriel. [[47:49]] => Elle supporte les nouveaux Phenom II X6 depuis le bios F7K (beta). <|> le => suggestions : ['les']
12 Accord de nombre erroné : « bios » devrait être au singulier. [[50:54]] => Elle supporte les nouveaux Phenom II X6 depuis le bios F7K (beta). <|> bios => suggestions : ['bio']
12 Mot inconnu : F7K [[55:58]] => Elle supporte les nouveaux Phenom II X6 depuis le bios F7K (beta). <|> f7k
12 Mot inconnu : beta [[60:64]] => Elle supporte les nouveaux Phenom II X6 depuis le bios F7K (beta). <|> beta

16 Mot inconnu : it87 [[18:22]] => Charger le module it87 : <|> it87

20 Mot inconnu : it87 [[51:55]] => Puis l'activer au démarrage en ajoutant à la fin **it87** dans fichier suivant : <|> it87

27 Mot inconnu : it87 [[91:95]] => Vous pouvez connaître la température du CPU grâce à la sonde de la carte mère et le module it87 pour cela utiliser cette commande: <|> it87
