
4 Mot inconnu : Gitolite => ====== Gitolite ====== | gitolite

8 Mot inconnu : Gitolite => Gitolite utilise évidement les clés publiques ssh pour l'ajout d'utilisateur, mais il est intéressant car il interdit ses utilisateurs de se connecter à un shell de l'utilisateur des dépôts. C'est l'un des points importants de sécurité auxquels répond Gitolite. | gitolite
8 Confusion probable : l’évidement est l’action de vider quelque chose. L’adverbe s’écrit “évidemment”. => Gitolite utilise évidement les clés publiques ssh pour l'ajout d'utilisateur, mais il est intéressant car il interdit ses utilisateurs de se connecter à un shell de l'utilisateur des dépôts. C'est l'un des points importants de sécurité auxquels répond Gitolite. | évidement => suggestions : ['évidemment']
8 Mot inconnu : ssh => Gitolite utilise évidement les clés publiques ssh pour l'ajout d'utilisateur, mais il est intéressant car il interdit ses utilisateurs de se connecter à un shell de l'utilisateur des dépôts. C'est l'un des points importants de sécurité auxquels répond Gitolite. | ssh
8 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. => Gitolite utilise évidement les clés publiques ssh pour l'ajout d'utilisateur, mais il est intéressant car il interdit ses utilisateurs de se connecter à un shell de l'utilisateur des dépôts. C'est l'un des points importants de sécurité auxquels répond Gitolite. |  car => suggestions : [', car']
8 Mot inconnu : Gitolite => Gitolite utilise évidement les clés publiques ssh pour l'ajout d'utilisateur, mais il est intéressant car il interdit ses utilisateurs de se connecter à un shell de l'utilisateur des dépôts. C'est l'un des points importants de sécurité auxquels répond Gitolite. | gitolite

12 Mot inconnu : Gitolite => Gitolite utilise un utilisateur spécifique sur le serveur pour gérer les dépôts. | gitolite

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ssh-keygen |    => suggestions : ['']
24 Mot inconnu : ssh-keygen =>   ssh-keygen | ssh-keygen

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ssh-copy-id -i ~/.ssh/id_rsa.pub git@localhost |    => suggestions : ['']
28 Mot inconnu : ssh-copy-id =>   ssh-copy-id -i ~/.ssh/id_rsa.pub git@localhost | ssh-copy-id
28 Il manque un espace à côté du tiret. =>   ssh-copy-id -i ~/.ssh/id_rsa.pub git@localhost |  - => suggestions : [' – ', ' — ']
28 Mot inconnu : ssh =>   ssh-copy-id -i ~/.ssh/id_rsa.pub git@localhost | ssh
28 Mot inconnu : id_rsa =>   ssh-copy-id -i ~/.ssh/id_rsa.pub git@localhost | id_rsa
28 Il manque un espace. =>   ssh-copy-id -i ~/.ssh/id_rsa.pub git@localhost | pub => suggestions : [' pub']

37 Mot inconnu : Gitolite => Récupérez les sources de Gitolite sur Github, avec : | gitolite
37 Mot inconnu : Github => Récupérez les sources de Gitolite sur Github, avec : | github

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   git clone https://github.com/sitaramc/gitolite.git |    => suggestions : ['']

43 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cd gitolite |    => suggestions : ['']
43 Mot inconnu : gitolite =>   cd gitolite | gitolite

45 Mot inconnu : Gitolite => Lancez à présent le script d'installation de Gitolite : | gitolite

47 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   src/gl-easy-install git localhost admin |    => suggestions : ['']
47 Mot inconnu : src =>   src/gl-easy-install git localhost admin | src
47 Mot inconnu : gl-easy-install =>   src/gl-easy-install git localhost admin | gl-easy-install
47 Mot inconnu : localhost =>   src/gl-easy-install git localhost admin | localhost

48 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

49 Mot inconnu : github => <note important>La commande précédente n'est plus bonne avec la version actuelle du répertoire github. Les changements semble d'ailleurs assez important il n'est plus sur que cette page ne soit pas obsolète !</note> | github
49 Conjugaison erronée. Accord avec “Les changements…”. Le verbe devrait être à la 3ᵉ personne du pluriel. => <note important>La commande précédente n'est plus bonne avec la version actuelle du répertoire github. Les changements semble d'ailleurs assez important il n'est plus sur que cette page ne soit pas obsolète !</note> | semble => suggestions : ['semblent']
49 Confusion probable : “sur” est une préposition ou un adjectif signifiant acide ou aigre ; utilisez “sûr” pour certain, vrai ou sans danger. => <note important>La commande précédente n'est plus bonne avec la version actuelle du répertoire github. Les changements semble d'ailleurs assez important il n'est plus sur que cette page ne soit pas obsolète !</note> | sur => suggestions : ['sûr']

61 Mot inconnu : Gitolite => La configuration de Gitolite utilisant un dépôt Git spécifique, il sera nécessaire de //commiter// les changements effectués pour qu'ils prennent effet, c'est pour cela qu'il est nécessaire de se situer dans le dossier de configuration pour appliquer des changements. | gitolite

65 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cd ~/gitolite-admin |    => suggestions : ['']
65 Mot inconnu : gitolite-admin =>   cd ~/gitolite-admin | gitolite-admin

78 Mot inconnu : my_repo => Pour ajouter un dépôt //my_repo//, ajoutez donc : | my_repo

87 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   git add conf/gitolite.conf |    => suggestions : ['']
87 Mot inconnu : add =>   git add conf/gitolite.conf | add
