
5 Mot inconnu : glassfish => ======glassfish, ses indispensables, etc...  ====== | glassfish
5 Un seul point après « etc. » => ======glassfish, ses indispensables, etc...  ====== | etc... => suggestions : ['etc.']
5 Espace(s) surnuméraire(s) à supprimer. => ======glassfish, ses indispensables, etc...  ====== |    => suggestions : [' ']

7 Mot inconnu : GlassFish => GlassFish est le nom du serveur d'applications Open Source Java EE 5 et qui sert de fondation au produit Sun Java System Application Server[1] de Sun Microsystems. Sa partie Toplink persistence[2] provient d'Oracle. C'est la réponse aux développeurs Java désireux d'accéder aux sources et de contribuer au développement des serveurs d'applications de nouvelle génération de Sun. | glassfish
7 Mot inconnu : EE => GlassFish est le nom du serveur d'applications Open Source Java EE 5 et qui sert de fondation au produit Sun Java System Application Server[1] de Sun Microsystems. Sa partie Toplink persistence[2] provient d'Oracle. C'est la réponse aux développeurs Java désireux d'accéder aux sources et de contribuer au développement des serveurs d'applications de nouvelle génération de Sun. | ee
7 Mot inconnu : Sun => GlassFish est le nom du serveur d'applications Open Source Java EE 5 et qui sert de fondation au produit Sun Java System Application Server[1] de Sun Microsystems. Sa partie Toplink persistence[2] provient d'Oracle. C'est la réponse aux développeurs Java désireux d'accéder aux sources et de contribuer au développement des serveurs d'applications de nouvelle génération de Sun. | sun
7 Mot inconnu : System => GlassFish est le nom du serveur d'applications Open Source Java EE 5 et qui sert de fondation au produit Sun Java System Application Server[1] de Sun Microsystems. Sa partie Toplink persistence[2] provient d'Oracle. C'est la réponse aux développeurs Java désireux d'accéder aux sources et de contribuer au développement des serveurs d'applications de nouvelle génération de Sun. | system
7 Mot inconnu : Server => GlassFish est le nom du serveur d'applications Open Source Java EE 5 et qui sert de fondation au produit Sun Java System Application Server[1] de Sun Microsystems. Sa partie Toplink persistence[2] provient d'Oracle. C'est la réponse aux développeurs Java désireux d'accéder aux sources et de contribuer au développement des serveurs d'applications de nouvelle génération de Sun. | server
7 Mot inconnu : Sun => GlassFish est le nom du serveur d'applications Open Source Java EE 5 et qui sert de fondation au produit Sun Java System Application Server[1] de Sun Microsystems. Sa partie Toplink persistence[2] provient d'Oracle. C'est la réponse aux développeurs Java désireux d'accéder aux sources et de contribuer au développement des serveurs d'applications de nouvelle génération de Sun. | sun
7 Mot inconnu : Microsystems => GlassFish est le nom du serveur d'applications Open Source Java EE 5 et qui sert de fondation au produit Sun Java System Application Server[1] de Sun Microsystems. Sa partie Toplink persistence[2] provient d'Oracle. C'est la réponse aux développeurs Java désireux d'accéder aux sources et de contribuer au développement des serveurs d'applications de nouvelle génération de Sun. | microsystems
7 Mot inconnu : Toplink => GlassFish est le nom du serveur d'applications Open Source Java EE 5 et qui sert de fondation au produit Sun Java System Application Server[1] de Sun Microsystems. Sa partie Toplink persistence[2] provient d'Oracle. C'est la réponse aux développeurs Java désireux d'accéder aux sources et de contribuer au développement des serveurs d'applications de nouvelle génération de Sun. | toplink
7 Mot inconnu : persistence => GlassFish est le nom du serveur d'applications Open Source Java EE 5 et qui sert de fondation au produit Sun Java System Application Server[1] de Sun Microsystems. Sa partie Toplink persistence[2] provient d'Oracle. C'est la réponse aux développeurs Java désireux d'accéder aux sources et de contribuer au développement des serveurs d'applications de nouvelle génération de Sun. | persistence
7 Mot inconnu : Sun => GlassFish est le nom du serveur d'applications Open Source Java EE 5 et qui sert de fondation au produit Sun Java System Application Server[1] de Sun Microsystems. Sa partie Toplink persistence[2] provient d'Oracle. C'est la réponse aux développeurs Java désireux d'accéder aux sources et de contribuer au développement des serveurs d'applications de nouvelle génération de Sun. | sun

21 Mot inconnu : YoBoY => > Merci de ton aide YoBoY   | yoboy
21 Espace(s) en fin de ligne à supprimer. => > Merci de ton aide YoBoY   |    => suggestions : ['']

22 Mot inconnu : Negstek => >--- Negstek---  | negstek
22 Espace(s) en fin de ligne à supprimer. => >--- Negstek---  |   => suggestions : ['']

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>           - Installez une version du serveur Glassfish égale ou supérieure à V2b41 (gestionnaire de paquets synaptic, les paquets iront alors               dans /usr/share/glassfishv2 ou téléchargez directement à l'adresse https://glassfish.dev.java.net/public/downloadsindex.html |            => suggestions : ['']
