
7 Mot inconnu : Glipper => ====== Glipper ====== | glipper

9 Mot inconnu : Glipper => **Glipper** est un gestionnaire de [[presse-papier]] pour GNOME. Glipper peut aussi fonctionner sous d'autres environnements de bureau et gestionnaires de fenêtres. | glipper
9 Mot inconnu : Glipper => **Glipper** est un gestionnaire de [[presse-papier]] pour GNOME. Glipper peut aussi fonctionner sous d'autres environnements de bureau et gestionnaires de fenêtres. | glipper

11 Mot inconnu : Glipper => Glipper se place dans la zone de notification et collecte tout ce que vous copiez vers le presse-papier. Glipper maintient en même temps un historique du presse-papier "Copie" qui se remplit habituellement avec la combinaison de touches « Ctrl+c » et du presse-papier « Sélection » qui se remplit en sélectionnant du texte. | glipper
11 Mot inconnu : Glipper => Glipper se place dans la zone de notification et collecte tout ce que vous copiez vers le presse-papier. Glipper maintient en même temps un historique du presse-papier "Copie" qui se remplit habituellement avec la combinaison de touches « Ctrl+c » et du presse-papier « Sélection » qui se remplit en sélectionnant du texte. | glipper
11 Guillemets typographiques ouvrants. => Glipper se place dans la zone de notification et collecte tout ce que vous copiez vers le presse-papier. Glipper maintient en même temps un historique du presse-papier "Copie" qui se remplit habituellement avec la combinaison de touches « Ctrl+c » et du presse-papier « Sélection » qui se remplit en sélectionnant du texte. | " => suggestions : ['«\xa0', '“']
11 Guillemets typographiques fermants. => Glipper se place dans la zone de notification et collecte tout ce que vous copiez vers le presse-papier. Glipper maintient en même temps un historique du presse-papier "Copie" qui se remplit habituellement avec la combinaison de touches « Ctrl+c » et du presse-papier « Sélection » qui se remplit en sélectionnant du texte. | " => suggestions : ['\xa0»', '”']

13 Mot inconnu : Glipper => <note important>Glipper n'est plus maintenu et a été retiré des dépots Ubuntu depuis Xenial.</note> | glipper
13 Mot inconnu : dépots => <note important>Glipper n'est plus maintenu et a été retiré des dépots Ubuntu depuis Xenial.</note> | dépots

25 Mot inconnu : Glipper => Lors de l'utilisation d'un gestionnaire de mot de passe, ce dernier étant intelligent, va nettoyer le presse-papiers, mais Glipper en ayant un différent et détaché, le mot de passe apparaîtra en clair dedans à votre insu. | glipper
25 Confusion probable : « différent » est un adjectif, « différend » est le nom qui signifie désaccord. => Lors de l'utilisation d'un gestionnaire de mot de passe, ce dernier étant intelligent, va nettoyer le presse-papiers, mais Glipper en ayant un différent et détaché, le mot de passe apparaîtra en clair dedans à votre insu. | différent => suggestions : ['différend']

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']
