
4 Mot inconnu : gnome-paint [[7:18]] => ====== gnome-paint ====== <|> gnome-paint

6 Mot inconnu : Paint [[8:13]] => **Gnome Paint** est un éditeur graphique simple conçu pour l'environnement de bureau [[GNOME]]. Il s'inspire de Microsoft Paint.  <|> paint
6 Mot inconnu : Paint [[122:127]] => **Gnome Paint** est un éditeur graphique simple conçu pour l'environnement de bureau [[GNOME]]. Il s'inspire de Microsoft Paint.  <|> paint
6 Espace(s) en fin de ligne à supprimer. [[128:129]] => **Gnome Paint** est un éditeur graphique simple conçu pour l'environnement de bureau [[GNOME]]. Il s'inspire de Microsoft Paint.  <|>   => suggestions : ['']

7 Mot inconnu : Paint [[6:11]] => Gnome Paint reconnait les formats suivants : BMP, ICO, JPG, PNG et TIFF. <|> paint
7 Mot inconnu : BMP [[45:48]] => Gnome Paint reconnait les formats suivants : BMP, ICO, JPG, PNG et TIFF. <|> bmp
7 Mot inconnu : ICO [[50:53]] => Gnome Paint reconnait les formats suivants : BMP, ICO, JPG, PNG et TIFF. <|> ico

20 Mot inconnu : XP [[70:72]] => Une fois lancé, ce logiciel s'utilise comme les versions pour Windows XP de Microsoft Paint. <|> xp
20 Mot inconnu : Paint [[86:91]] => Une fois lancé, ce logiciel s'utilise comme les versions pour Windows XP de Microsoft Paint. <|> paint
