
4 Mot inconnu : Battery => ====== Battery Status ====== | battery

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

19 Mot inconnu : Energie => L'indicateur est directement accessible dans le tableau de bord supérieur. S'il n'apparaît pas automatiquement allez dans //Paramètres Système -> Energie//, dans le champs //Afficher le statut de la batterie dans la barre de menu// choisissez //Lorsque la batterie est présente//. | energie
19 Accord de nombre erroné : « champs » est au pluriel. => L'indicateur est directement accessible dans le tableau de bord supérieur. S'il n'apparaît pas automatiquement allez dans //Paramètres Système -> Energie//, dans le champs //Afficher le statut de la batterie dans la barre de menu// choisissez //Lorsque la batterie est présente//. | le => suggestions : ['les']
19 Accord de nombre erroné : « champs » devrait être au singulier. => L'indicateur est directement accessible dans le tableau de bord supérieur. S'il n'apparaît pas automatiquement allez dans //Paramètres Système -> Energie//, dans le champs //Afficher le statut de la batterie dans la barre de menu// choisissez //Lorsque la batterie est présente//. | champs => suggestions : ['champ']

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  Un clic sur l'icône ouvre un menu vous permettant d'afficher: |   => suggestions : ['']

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * L'autonomie dans la barre de menu, |      => suggestions : ['']

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Le pourcentage dans la barre de menu, |      => suggestions : ['']

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Vous donne accès aux réglage liés à l'energie. |      => suggestions : ['']
25 Accord de nombre erroné : « réglage » est au singulier. =>     * Vous donne accès aux réglage liés à l'energie. | aux => suggestions : ['au']
25 Accord de nombre erroné : « réglage » devrait être au pluriel. =>     * Vous donne accès aux réglage liés à l'energie. | réglage => suggestions : ['réglages']
25 Mot inconnu : energie =>     * Vous donne accès aux réglage liés à l'energie. | energie

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     |     => suggestions : ['']

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  * **Vidéo** [[https://www.youtube.com/watch?v=r7rUUB8xM3g|Comprendre le taux de décharge/charge d'une batterie]]\\ |   => suggestions : ['']
