
5 Mot inconnu : Grav => ====== Grav ====== | grav

9 Mot inconnu : CMS => C'est actuellement un des CMS les plus simples à installer et à utiliser. Il propose une interface claire et moderne. [[https://getgrav.org/|Le site officiel]] est en anglais, mais l'interface d'administration est traduite en français. | cms

19 Mot inconnu : Grav => <note>Grav étant une solution destinée à être déployée sur un serveur, toutes les manipulations dont nous traiterons ici se feront en ligne de commande.</note> | grav

34 Mot inconnu : Grav => Grav requiert ensuite l'activation de certains modules PHP qui ne sont pas installés par défaut sous Ubuntu : | grav

44 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         ServerName grav.localhost |          => suggestions : ['']
44 Mot inconnu : ServerName =>         ServerName grav.localhost | servername
44 Mot inconnu : grav =>         ServerName grav.localhost | grav
44 Mot inconnu : localhost =>         ServerName grav.localhost | localhost

45 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         DocumentRoot /var/www/grav |          => suggestions : ['']
45 Mot inconnu : DocumentRoot =>         DocumentRoot /var/www/grav | documentroot

46 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         <Directory /var/www/grav> |          => suggestions : ['']

47 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                 AllowOverride all |                  => suggestions : ['']
47 Mot inconnu : AllowOverride =>                 AllowOverride all | allowoverride
47 Mot inconnu : all =>                 AllowOverride all | all

48 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                 Require all granted |                  => suggestions : ['']
48 Mot inconnu : Require =>                 Require all granted | require
48 Mot inconnu : all =>                 Require all granted | all
48 Mot inconnu : granted =>                 Require all granted | granted

49 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         </Directory> |          => suggestions : ['']

50 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         ErrorLog /var/log/apache2/error.grav.log |          => suggestions : ['']
50 Mot inconnu : ErrorLog =>         ErrorLog /var/log/apache2/error.grav.log | errorlog

51 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         CustomLog /var/log/apache2/access.grav.log combined |          => suggestions : ['']
51 Mot inconnu : CustomLog =>         CustomLog /var/log/apache2/access.grav.log combined | customlog
51 Mot inconnu : combined =>         CustomLog /var/log/apache2/access.grav.log combined | combined

58 Mot inconnu : sudo => sudo systemctl reload apache2</code> | sudo
58 Mot inconnu : systemctl => sudo systemctl reload apache2</code> | systemctl
58 Mot inconnu : reload => sudo systemctl reload apache2</code> | reload
58 Mot inconnu : apache2 => sudo systemctl reload apache2</code> | apache2

62 Mot inconnu : Grav => ==== Installation de Grav ==== | grav

64 Conjugaison erronée. Accord avec « tout ». Le verbe devrait être à la 3ᵉ personne du singulier. => Tout d'abord téléchargeons la dernière version de Grav : | téléchargeons => suggestions : ['télécharge']
64 Mot inconnu : Grav => Tout d'abord téléchargeons la dernière version de Grav : | grav

69 Mot inconnu : sudo => sudo mv /var/www/grav-admin /var/www/grav</code> | sudo
69 Mot inconnu : mv => sudo mv /var/www/grav-admin /var/www/grav</code> | mv

73 Mot inconnu : sudo => sudo chmod -rwx,u+rwX,g+rwX /var/www/grav -R</code> | sudo
73 Mot inconnu : chmod => sudo chmod -rwx,u+rwX,g+rwX /var/www/grav -R</code> | chmod
73 Il manque un espace à côté du tiret. => sudo chmod -rwx,u+rwX,g+rwX /var/www/grav -R</code> |  - => suggestions : [' – ', ' — ']
73 Mot inconnu : rwx => sudo chmod -rwx,u+rwX,g+rwX /var/www/grav -R</code> | rwx
73 Il manque un espace. => sudo chmod -rwx,u+rwX,g+rwX /var/www/grav -R</code> | u => suggestions : [' u']
73 Mot inconnu : rwX => sudo chmod -rwx,u+rwX,g+rwX /var/www/grav -R</code> | rwx
73 Il manque un espace. => sudo chmod -rwx,u+rwX,g+rwX /var/www/grav -R</code> | g => suggestions : [' g']
73 Mot inconnu : rwX => sudo chmod -rwx,u+rwX,g+rwX /var/www/grav -R</code> | rwx
73 Il manque un espace à côté du tiret. => sudo chmod -rwx,u+rwX,g+rwX /var/www/grav -R</code> |  - => suggestions : [' – ', ' — ']

75 Mot inconnu : Grav => Grav devrait alors être accessible à l'adresse http://grav.localhost/ | grav

77 Mot inconnu : email => Il reste maintenant à renseigner un nom d'utilisateur, un email et un mot de passe pour l'administrateur du site. | email

80 Mot inconnu : Save => Cliquez ensuite sur //Save// en haut à droite. Après actualisation votre interface devrait apparaître en français. | save

86 La locution “entre autres”, toujours au pluriel. => L'interface est limpide et permet entre autre de parcourir, d'installer et d'activer des thèmes et des plugins. | autre => suggestions : ['autres']

92 Accord avec “permettent”. => Les contenus modulaires peuvent être de plusieurs types. Il permettent principalement de diviser une page en plusieurs sections, ce qui rend possible par ex. la création de sites sur une seule page. | il => suggestions : ['Ils']
92 Conjugaison erronée. Accord avec “Il”. Le verbe devrait être à la 3ᵉ personne du singulier. => Les contenus modulaires peuvent être de plusieurs types. Il permettent principalement de diviser une page en plusieurs sections, ce qui rend possible par ex. la création de sites sur une seule page. | permettent => suggestions : ['permet']

96 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://learn.getgrav.org/|Documentation officielle]] - Malheureusement seulement en anglais pour le moment. |    => suggestions : ['']
96 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * [[https://learn.getgrav.org/|Documentation officielle]] - Malheureusement seulement en anglais pour le moment. |  -  => suggestions : [' – ', ' — ', ' − ']
