
4 Mot inconnu : Guild [[7:12]] => ====== Guild Wars 2 ====== <|> guild
4 Mot inconnu : Wars [[13:17]] => ====== Guild Wars 2 ====== <|> wars

5 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>  

7 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>  

9 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>  

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>  

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>  

27 Conjugaison erronée. Ce verbe devrait être à la 3ᵉ personne. [[94:98]] => <note>ces 2 lignes de commandes partent du principe que vous avez Ubuntu en français et que n'êtes pas encore dans le dossier "Téléchargements"</note> <|> êtes => suggestions : sont
27 Guillemets typographiques ouvrants. [[126:127]] => <note>ces 2 lignes de commandes partent du principe que vous avez Ubuntu en français et que n'êtes pas encore dans le dossier "Téléchargements"</note> <|> " => suggestions : « “
27 Guillemets typographiques fermants. [[142:143]] => <note>ces 2 lignes de commandes partent du principe que vous avez Ubuntu en français et que n'êtes pas encore dans le dossier "Téléchargements"</note> <|> " => suggestions :  »”

34 Guillemets typographiques ouvrants. [[44:45]] => Quand le lanceur vous y invite sélectionnez "Installer", <|> " => suggestions : « “
34 Guillemets typographiques fermants. [[54:55]] => Quand le lanceur vous y invite sélectionnez "Installer", <|> " => suggestions :  »”
36 Mot inconnu : Wars [[76:80]] => Sélectionnez le dossier d'installation (exemple : Z:\home\jusdepatate\Guild Wars 2), <|> wars

38 Forme interrogative ? Mettez un trait d’union. [[26:40]] => Quand vous y êtes invité, connectez vous. <|> connectez vous => suggestions : connectez-vous

47 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>  

49 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>  

51 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>  

52 Mot inconnu : GuildWars2 [[34:44]] => Vous pouvez vous créer un fichier GuildWars2.desktop contenant ceci : <|> guildwars2

67 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>  

69 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>  

71 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>  

73 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>  

81 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>  

83 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>  
