
5 Mot inconnu : Gxine => ====== Gxine: lecteur multimédia ====== | gxine

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']

27 Mot inconnu : gxine => Pour ouvrir une vidéo, faites un clic droit dans la fenêtre de gxine > Ouvrir un fichier. | gxine

32 Mot inconnu : gxine => **gxine** a l'avantage d'afficher les sous-titres **EN DESSOUS** de l'image (dans la barre noire) lorsque l'on visionne un film en mode plein-écran (dans le cas de fichiers .srt, .sub etc; pour les sous-titres de DVD le logiciel n'a pas la main), contrairement aux autres lecteurs vidéo qui l'incrustent dans l'image, comme au cinéma (VLC, Totem ou MPlayer au moins).\\ | gxine
32 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => **gxine** a l'avantage d'afficher les sous-titres **EN DESSOUS** de l'image (dans la barre noire) lorsque l'on visionne un film en mode plein-écran (dans le cas de fichiers .srt, .sub etc; pour les sous-titres de DVD le logiciel n'a pas la main), contrairement aux autres lecteurs vidéo qui l'incrustent dans l'image, comme au cinéma (VLC, Totem ou MPlayer au moins).\\ |  . => suggestions : ['. ', '.']
32 Mot inconnu : srt => **gxine** a l'avantage d'afficher les sous-titres **EN DESSOUS** de l'image (dans la barre noire) lorsque l'on visionne un film en mode plein-écran (dans le cas de fichiers .srt, .sub etc; pour les sous-titres de DVD le logiciel n'a pas la main), contrairement aux autres lecteurs vidéo qui l'incrustent dans l'image, comme au cinéma (VLC, Totem ou MPlayer au moins).\\ | srt
32 Une de ces ponctuations est superflue. => **gxine** a l'avantage d'afficher les sous-titres **EN DESSOUS** de l'image (dans la barre noire) lorsque l'on visionne un film en mode plein-écran (dans le cas de fichiers .srt, .sub etc; pour les sous-titres de DVD le logiciel n'a pas la main), contrairement aux autres lecteurs vidéo qui l'incrustent dans l'image, comme au cinéma (VLC, Totem ou MPlayer au moins).\\ | , . => suggestions : [',', '.']
32 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => **gxine** a l'avantage d'afficher les sous-titres **EN DESSOUS** de l'image (dans la barre noire) lorsque l'on visionne un film en mode plein-écran (dans le cas de fichiers .srt, .sub etc; pour les sous-titres de DVD le logiciel n'a pas la main), contrairement aux autres lecteurs vidéo qui l'incrustent dans l'image, comme au cinéma (VLC, Totem ou MPlayer au moins).\\ |  . => suggestions : ['. ', '.']
32 Mot inconnu : sub => **gxine** a l'avantage d'afficher les sous-titres **EN DESSOUS** de l'image (dans la barre noire) lorsque l'on visionne un film en mode plein-écran (dans le cas de fichiers .srt, .sub etc; pour les sous-titres de DVD le logiciel n'a pas la main), contrairement aux autres lecteurs vidéo qui l'incrustent dans l'image, comme au cinéma (VLC, Totem ou MPlayer au moins).\\ | sub
32 Mot inconnu : VLC => **gxine** a l'avantage d'afficher les sous-titres **EN DESSOUS** de l'image (dans la barre noire) lorsque l'on visionne un film en mode plein-écran (dans le cas de fichiers .srt, .sub etc; pour les sous-titres de DVD le logiciel n'a pas la main), contrairement aux autres lecteurs vidéo qui l'incrustent dans l'image, comme au cinéma (VLC, Totem ou MPlayer au moins).\\ | vlc
32 Mot inconnu : MPlayer => **gxine** a l'avantage d'afficher les sous-titres **EN DESSOUS** de l'image (dans la barre noire) lorsque l'on visionne un film en mode plein-écran (dans le cas de fichiers .srt, .sub etc; pour les sous-titres de DVD le logiciel n'a pas la main), contrairement aux autres lecteurs vidéo qui l'incrustent dans l'image, comme au cinéma (VLC, Totem ou MPlayer au moins).\\ | mplayer

35 Mot inconnu : xine => Il est possible de changer la police des sous-titres en éditant le fichier de configuration **''~/.xine/config''**. À  la ligne :<file>subtitles.separate.font:sans</file> | xine
35 Guillemets typographiques fermants. => Il est possible de changer la police des sous-titres en éditant le fichier de configuration **''~/.xine/config''**. À  la ligne :<file>subtitles.separate.font:sans</file> | '' => suggestions : ['\xa0»', '”']
35 Espace(s) surnuméraire(s) à supprimer. => Il est possible de changer la police des sous-titres en éditant le fichier de configuration **''~/.xine/config''**. À  la ligne :<file>subtitles.separate.font:sans</file> |    => suggestions : [' ']
35 Il manque un espace. => Il est possible de changer la police des sous-titres en éditant le fichier de configuration **''~/.xine/config''**. À  la ligne :<file>subtitles.separate.font:sans</file> | sans => suggestions : [' sans']

36 Guillemets typographiques ouvrants. => Modifiez le nom de la police par défaut ''sans'' par le nom de la police de votre choix. Si cela ne fonctionne pas mettez le chemin complet vers la police, par exemple ''/usr/share/fonts/truetype/msttcorefonts/impact.ttf''. | '' => suggestions : ['«\xa0', '“']
36 Guillemets typographiques fermants. => Modifiez le nom de la police par défaut ''sans'' par le nom de la police de votre choix. Si cela ne fonctionne pas mettez le chemin complet vers la police, par exemple ''/usr/share/fonts/truetype/msttcorefonts/impact.ttf''. | '' => suggestions : ['\xa0»', '”']

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://www.xine-project.org/home|Site officiel]] |    => suggestions : ['']
