
4 Mot inconnu : HjSplit => ====== HjSplit ====== | hjsplit

6 Mot inconnu : HjSplit => **HjSplit** était un logiciel multiplateforme permettant de découper et recoller un fichier en plusieurs morceaux, afin que ceux-ci puissent être envoyés sous la forme de plusieurs fichiers de moindre taille — reconnaissables par leurs extensions de type ''.001'', ''.002''… ou encore ''.part01'', ''.part02''… — lorsque la capacité de transfert était limitée, sur des forums internet par exemple. Si cette pratique est tombée en désuétude avec les progrès technologiques, il peut être utile de recoller d’anciens fichiers envoyés à l’époque où ils étaient indispensables. | hjsplit
6 Guillemets fermants. => **HjSplit** était un logiciel multiplateforme permettant de découper et recoller un fichier en plusieurs morceaux, afin que ceux-ci puissent être envoyés sous la forme de plusieurs fichiers de moindre taille — reconnaissables par leurs extensions de type ''.001'', ''.002''… ou encore ''.part01'', ''.part02''… — lorsque la capacité de transfert était limitée, sur des forums internet par exemple. Si cette pratique est tombée en désuétude avec les progrès technologiques, il peut être utile de recoller d’anciens fichiers envoyés à l’époque où ils étaient indispensables. |  '' => suggestions : ['\xa0»', '”']
6 Guillemets typographiques fermants. => **HjSplit** était un logiciel multiplateforme permettant de découper et recoller un fichier en plusieurs morceaux, afin que ceux-ci puissent être envoyés sous la forme de plusieurs fichiers de moindre taille — reconnaissables par leurs extensions de type ''.001'', ''.002''… ou encore ''.part01'', ''.part02''… — lorsque la capacité de transfert était limitée, sur des forums internet par exemple. Si cette pratique est tombée en désuétude avec les progrès technologiques, il peut être utile de recoller d’anciens fichiers envoyés à l’époque où ils étaient indispensables. | '' => suggestions : ['\xa0»', '”']
6 Guillemets fermants. => **HjSplit** était un logiciel multiplateforme permettant de découper et recoller un fichier en plusieurs morceaux, afin que ceux-ci puissent être envoyés sous la forme de plusieurs fichiers de moindre taille — reconnaissables par leurs extensions de type ''.001'', ''.002''… ou encore ''.part01'', ''.part02''… — lorsque la capacité de transfert était limitée, sur des forums internet par exemple. Si cette pratique est tombée en désuétude avec les progrès technologiques, il peut être utile de recoller d’anciens fichiers envoyés à l’époque où ils étaient indispensables. |  '' => suggestions : ['\xa0»', '”']
6 Guillemets typographiques fermants. => **HjSplit** était un logiciel multiplateforme permettant de découper et recoller un fichier en plusieurs morceaux, afin que ceux-ci puissent être envoyés sous la forme de plusieurs fichiers de moindre taille — reconnaissables par leurs extensions de type ''.001'', ''.002''… ou encore ''.part01'', ''.part02''… — lorsque la capacité de transfert était limitée, sur des forums internet par exemple. Si cette pratique est tombée en désuétude avec les progrès technologiques, il peut être utile de recoller d’anciens fichiers envoyés à l’époque où ils étaient indispensables. | '' => suggestions : ['\xa0»', '”']
6 Guillemets fermants. => **HjSplit** était un logiciel multiplateforme permettant de découper et recoller un fichier en plusieurs morceaux, afin que ceux-ci puissent être envoyés sous la forme de plusieurs fichiers de moindre taille — reconnaissables par leurs extensions de type ''.001'', ''.002''… ou encore ''.part01'', ''.part02''… — lorsque la capacité de transfert était limitée, sur des forums internet par exemple. Si cette pratique est tombée en désuétude avec les progrès technologiques, il peut être utile de recoller d’anciens fichiers envoyés à l’époque où ils étaient indispensables. |  '' => suggestions : ['\xa0»', '”']
6 Mot inconnu : part01 => **HjSplit** était un logiciel multiplateforme permettant de découper et recoller un fichier en plusieurs morceaux, afin que ceux-ci puissent être envoyés sous la forme de plusieurs fichiers de moindre taille — reconnaissables par leurs extensions de type ''.001'', ''.002''… ou encore ''.part01'', ''.part02''… — lorsque la capacité de transfert était limitée, sur des forums internet par exemple. Si cette pratique est tombée en désuétude avec les progrès technologiques, il peut être utile de recoller d’anciens fichiers envoyés à l’époque où ils étaient indispensables. | part01
6 Guillemets typographiques fermants. => **HjSplit** était un logiciel multiplateforme permettant de découper et recoller un fichier en plusieurs morceaux, afin que ceux-ci puissent être envoyés sous la forme de plusieurs fichiers de moindre taille — reconnaissables par leurs extensions de type ''.001'', ''.002''… ou encore ''.part01'', ''.part02''… — lorsque la capacité de transfert était limitée, sur des forums internet par exemple. Si cette pratique est tombée en désuétude avec les progrès technologiques, il peut être utile de recoller d’anciens fichiers envoyés à l’époque où ils étaient indispensables. | '' => suggestions : ['\xa0»', '”']
6 Guillemets fermants. => **HjSplit** était un logiciel multiplateforme permettant de découper et recoller un fichier en plusieurs morceaux, afin que ceux-ci puissent être envoyés sous la forme de plusieurs fichiers de moindre taille — reconnaissables par leurs extensions de type ''.001'', ''.002''… ou encore ''.part01'', ''.part02''… — lorsque la capacité de transfert était limitée, sur des forums internet par exemple. Si cette pratique est tombée en désuétude avec les progrès technologiques, il peut être utile de recoller d’anciens fichiers envoyés à l’époque où ils étaient indispensables. |  '' => suggestions : ['\xa0»', '”']
