
5 Mot inconnu : Epson => ====== Installation D'une imprimante Epson AcuLaser C900 ====== <|> epson
5 Mot inconnu : AcuLaser => ====== Installation D'une imprimante Epson AcuLaser C900 ====== <|> aculaser
5 Mot inconnu : C900 => ====== Installation D'une imprimante Epson AcuLaser C900 ====== <|> c900
7 Mot inconnu : cups => Cette imprimante ne peut pas (encore?) s'installer via le gestionnaire cups fourni dans ubuntu. <|> cups

8 Mot inconnu : Ullrich => Il faut donc se débrouiller tout seul (du moins avec Ullrich;-) ) !!! <|> ullrich
8 Pas d’espace avant ce signe. => Il faut donc se débrouiller tout seul (du moins avec Ullrich;-) ) !!! <|>  ) => suggestions : [')']

11 Mot inconnu : psutils => ===== Installation de psutils et de a2ps ===== <|> psutils
11 Élision de l’article devant un mot commençant par une voyelle. => ===== Installation de psutils et de a2ps ===== <|> de  => suggestions : ['d’']
11 Mot inconnu : a2ps => ===== Installation de psutils et de a2ps ===== <|> a2ps

24 Mot inconnu : cups => ===== Installation de l'imprimante dans cups ===== <|> cups

26 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => A présent il faut installer l'imprimante. <|> a => suggestions : ['À']

34 Mot inconnu : readme => En principe, il suffit de se laisser guider. Quittez le readme en pressant q, puis répondez aux questions qu'on vous pose. <|> readme

35 Espace(s) en fin de ligne à supprimer. => Les paquets manquants sont directement pris en charge par le script, et sont téléchargés automatiquement.   <|>    => suggestions : ['']

43 Mot inconnu : mabase => ===== Au cas où le site mabase.ch ne répond pas ===== <|> mabase

45 Mot inconnu : libstdc-6 => Si le site ne répond pas, il faut manuellement télécharger [[http://downloads.sourceforge.net/alc900-cups/libstdc-6.2-2.zip?modtime=1108158451&big_mirror=0|libstdc-6.2-2]] et [[http://downloads.sourceforge.net/alc900-cups/pipsplus-0.1b-1.zip?modtime=1106081828&big_mirror=0|pipsplus]]. <|> libstdc-6

47 Mot inconnu : alc900-cups-0 => Il faut à présent extraire le contenu de ces deux archives dans le dossier alc900-cups-0.19.i386 . Puis relancer le script  <|> alc900-cups-0
47 Mot inconnu : i386 => Il faut à présent extraire le contenu de ces deux archives dans le dossier alc900-cups-0.19.i386 . Puis relancer le script  <|> i386
47 Pas d’espace avant un point. => Il faut à présent extraire le contenu de ces deux archives dans le dossier alc900-cups-0.19.i386 . Puis relancer le script  <|>  . => suggestions : ['.']
47 Espace(s) en fin de ligne à supprimer. => Il faut à présent extraire le contenu de ces deux archives dans le dossier alc900-cups-0.19.i386 . Puis relancer le script  <|>   => suggestions : ['']

54 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => A présent, tout doit marcher, le script va lancer l'utilitaire d'installation d'imprimante, et tout est ok (il suffit d'entrer les réponses aux questions). <|> a => suggestions : ['À']
54 Mot inconnu : ok => A présent, tout doit marcher, le script va lancer l'utilitaire d'installation d'imprimante, et tout est ok (il suffit d'entrer les réponses aux questions). <|> ok

59 Mot inconnu : Ullrich => Un très grand merci à Ullrich pour son script efficace et sa réactivité sur le forum !!! <|> ullrich
