
3 Mot inconnu : Privacy => ====== Privacy Indicator : un indicateur de vie privée pour Unity ====== | privacy
3 Mot inconnu : Indicator => ====== Privacy Indicator : un indicateur de vie privée pour Unity ====== | indicator
3 Mot inconnu : Unity => ====== Privacy Indicator : un indicateur de vie privée pour Unity ====== | unity

8 Mot inconnu : Privacy => **Indicateur de confidentialité** (**Privacy Indicator**) est un indicateur d'application développé par Florian Diesch s'intégrant à l'interface [[Unity]] d'Ubuntu. L'objectif de cet indicateur est de rendre facile les changements de paramètres de vie privée et la collection automatique des données de l'utilisateur. Si ces options peuvent être modifiées à travers d'autres panneaux de configuration, Indicateur de confidentialité rend la tâche plus aisée en créant un //one-stop shop// immédiatement sous la main pour paramétrer l'accès aux données. | privacy
8 Mot inconnu : Indicator => **Indicateur de confidentialité** (**Privacy Indicator**) est un indicateur d'application développé par Florian Diesch s'intégrant à l'interface [[Unity]] d'Ubuntu. L'objectif de cet indicateur est de rendre facile les changements de paramètres de vie privée et la collection automatique des données de l'utilisateur. Si ces options peuvent être modifiées à travers d'autres panneaux de configuration, Indicateur de confidentialité rend la tâche plus aisée en créant un //one-stop shop// immédiatement sous la main pour paramétrer l'accès aux données. | indicator
8 Mot inconnu : Diesch => **Indicateur de confidentialité** (**Privacy Indicator**) est un indicateur d'application développé par Florian Diesch s'intégrant à l'interface [[Unity]] d'Ubuntu. L'objectif de cet indicateur est de rendre facile les changements de paramètres de vie privée et la collection automatique des données de l'utilisateur. Si ces options peuvent être modifiées à travers d'autres panneaux de configuration, Indicateur de confidentialité rend la tâche plus aisée en créant un //one-stop shop// immédiatement sous la main pour paramétrer l'accès aux données. | diesch
8 Mot inconnu : Unity => **Indicateur de confidentialité** (**Privacy Indicator**) est un indicateur d'application développé par Florian Diesch s'intégrant à l'interface [[Unity]] d'Ubuntu. L'objectif de cet indicateur est de rendre facile les changements de paramètres de vie privée et la collection automatique des données de l'utilisateur. Si ces options peuvent être modifiées à travers d'autres panneaux de configuration, Indicateur de confidentialité rend la tâche plus aisée en créant un //one-stop shop// immédiatement sous la main pour paramétrer l'accès aux données. | unity
8 Mot inconnu : one-stop => **Indicateur de confidentialité** (**Privacy Indicator**) est un indicateur d'application développé par Florian Diesch s'intégrant à l'interface [[Unity]] d'Ubuntu. L'objectif de cet indicateur est de rendre facile les changements de paramètres de vie privée et la collection automatique des données de l'utilisateur. Si ces options peuvent être modifiées à travers d'autres panneaux de configuration, Indicateur de confidentialité rend la tâche plus aisée en créant un //one-stop shop// immédiatement sous la main pour paramétrer l'accès aux données. | one-stop
8 Mot inconnu : shop => **Indicateur de confidentialité** (**Privacy Indicator**) est un indicateur d'application développé par Florian Diesch s'intégrant à l'interface [[Unity]] d'Ubuntu. L'objectif de cet indicateur est de rendre facile les changements de paramètres de vie privée et la collection automatique des données de l'utilisateur. Si ces options peuvent être modifiées à travers d'autres panneaux de configuration, Indicateur de confidentialité rend la tâche plus aisée en créant un //one-stop shop// immédiatement sous la main pour paramétrer l'accès aux données. | shop

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

22 Mot inconnu : Unity => Une fois l'installation complétée, chargez **Indicateur de confidentialité** à partir du tableau de bord de Unity. | unity

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']
